"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Giannis Antetokounmpo","SF/PFSFPF","MIL","vs SAC","2nd",106.25,11600,36,61.3,55,1.5,34.3,20.2,36.7,36.9,46.83,46.83,"%",87,4,33,65.25,5.6
"LeBron James","SF/PFSFPF","CLE","vs MEM","18th",108.75,11400,28.5,77.7,56.3,1.54,30.1,18.7,36.6,35.27,49.59,49.59,"%",75,4.4,39,55.5,4.9
"DeMarcus Cousins","PF/CPFC","NOP","@ POR","9th",101.5,10400,32.5,77,54.8,1.56,33.7,18.9,35.2,37,51.58,51.58,"%",77,5,34,50,4.8
"Joel Embiid","C","PHI","vs DET","26th",108.5,9700,35,82.7,46.3,1.59,34.3,16.6,29.1,32.48,55.44,55.44,"%",71,5.7,31,38,3.9
"Ben Simmons","PG/SFPGSF","PHI","vs DET","11th",108.5,9600,32.8,65.7,46.5,1.32,25.4,15.2,35.1,35.5,46.9,46.9,"%",80,4.9,39,28.5,3
"Kyrie Irving","PG","BOS","vs PHX","28th",114,9200,31,72.5,38.9,1.25,32.1,17.7,31.1,32.36,48.77,48.77,"%",69,5.3,31,30,3.3
"Damian Lillard","PG","POR","vs NOP","24th",108.5,8900,31,65.5,44,1.23,30.8,19,35.9,37.36,45.8,45.8,"%",78,5.1,40,50.75,5.7
"Andre Drummond","C","DET","@ PHI","11th",104.5,8600,25.4,61.2,44.1,1.34,21.5,10.4,32.8,32.3,40.73,40.73,"%",77,4.7,35,49.75,5.8
"Dennis Schroder","PG","ATL","@ BKN","30th",106,8500,33.7,60.1,35.1,1.11,30.3,17.2,31.6,33.89,45.04,45.04,"%",79,5.3,31,38.75,4.6
"Al Horford","PF/CPFC","BOS","vs PHX","19th",114,8100,26.7,49.2,34.6,1.08,18.5,10,32,32.32,36.33,36.33,"%",81,4.5,32,40.75,5
"Marc Gasol","C","MEM","@ CLE","20th",96.75,7900,22.1,60.1,40.5,1.19,28.5,15.5,33.9,33.54,38.4,38.4,"%",73,4.9,40,49.5,6.3
"Louis Williams","PG/SGPGSG","LAC","@ DAL","16th",102.5,7800,19.9,63,30.3,1.05,28,13.8,28.8,37.41,38.38,38.38,"%",59,4.9,32,27,3.5
"Kevin Love","PF/CPFC","CLE","vs MEM","10th",108.75,7700,18.9,61.8,37.8,1.3,26.8,13,29.1,30.6,37.3,37.3,"%",68,4.8,30,39.25,5.1
"Devin Booker","SG/SFSGSF","PHX","@ BOS","7th",102,7500,15.1,58.7,36.3,1.1,29,17.9,32.9,35,33.74,33.74,"%",66,4.5,39,50.5,6.7
"DeAndre Jordan","C","LAC","@ DAL","16th",102.5,7300,16.1,53.9,31.6,0.99,13.1,6.4,31.9,34.89,32.27,32.27,"%",66,4.4,30,40.25,5.5
"Eric Bledsoe","PG/SGPGSG","MIL","vs SAC","21st",106.25,7100,16.9,55.8,32.2,1.11,28,13.8,29.1,29.88,33.56,33.56,"%",65,4.7,32,30.5,4.3
"Jusuf Nurkic","C","POR","vs NOP","24th",108.5,7000,17.1,59.8,31.3,1.13,29.7,13.7,27.7,30.04,35.42,35.42,"%",61,5.1,24,14,2
"Spencer Dinwiddie","PG/SGPGSG","BKN","vs ATL","20th",111,7000,19.3,58.1,28,1.1,20.5,10.3,25.5,31.04,35.94,35.94,"%",60,5.1,30,42,6
"Khris Middleton","SG/SFSGSF","MIL","vs SAC","12th",106.25,6900,12.8,61.4,35.3,0.97,25.2,16,36.3,33.47,33.6,33.6,"%",61,4.9,34,30.5,4.4
"Tyreke Evans","SG/SFSGSF","MEM","@ CLE","23rd",96.75,6900,27.5,58.9,31.3,1.11,27.5,13.3,28.1,35,40.92,40.92,"%",71,5.9,39,63.25,9.2
"Will Barton","SG/SFSGSF","DEN","vs LAL","12th",113.25,6800,10.9,51.6,29,1,21.9,11.7,29.1,30.34,28.34,28.34,"%",60,4.2,28,34.5,5.1
"Harrison Barnes","SF/PFSFPF","DAL","vs LAC","9th",106.5,6700,20.3,46.6,32.6,0.93,24.9,15.2,34.9,34.92,31.6,31.6,"%",77,4.7,29,23.5,3.5
"C.J. McCollum","PG/SGPGSG","POR","vs NOP","25th",108.5,6700,22.6,49.8,33.8,0.94,25.4,17.4,36,37.36,34.22,34.22,"%",77,5.1,34,26.5,4
"Lonzo Ball","PG","LAL","@ DEN","22nd",109.25,6600,14,63.2,33,1,18.1,11.2,33,34.6,35.08,35.08,"%",57,5.3,33,29.75,4.5
"T.J. Warren","SF/PFSFPF","PHX","@ BOS","7th",102,6400,9.7,55,30.4,1,25.2,15.3,30.4,32.29,29.13,29.13,"%",57,4.6,35,37.25,5.8
"Tobias Harris","SF/PFSFPF","DET","@ PHI","29th",104.5,6400,19.7,54,30.6,0.95,22.6,15.1,32.1,32.9,34.38,34.38,"%",68,5.4,35,39.25,6.1
"Brandon Ingram","SG/SFSGSF","LAL","@ DEN","8th",109.25,6300,12,48.6,29.5,0.89,21.6,12.7,33.3,34.4,27.69,27.69,"%",65,4.4,27,24.5,3.9
"Jaylen Brown","SG/SFSGSF","BOS","vs PHX","20th",114,6300,18,45.1,27.6,0.88,21.5,12,31.2,31.82,29.62,29.62,"%",72,4.7,32,27,4.3
"Rondae Hollis-Jefferson","SF/PFSFPF","BKN","vs ATL","26th",111,6300,14.3,50.2,26.6,1,22,10,26.5,28.3,29.69,29.69,"%",61,4.7,21,18,2.9
"Jayson Tatum","SF/PFSFPF","BOS","vs PHX","20th",114,6200,15.5,43.1,26.2,0.87,18.5,9.3,30,30.93,27.31,27.31,"%",70,4.4,26,33.5,5.4
"Austin Rivers","PG/SGPGSG","LAC","@ DAL","16th",102.5,6100,16.1,45.8,24.9,0.75,20.8,12.8,33.1,37.69,28.83,28.83,"%",66,4.7,29,19.75,3.2
"Reggie Jackson","PG","DET","@ PHI","15th",104.5,6100,16.2,42.8,28.9,1.07,25.8,12.1,27,27.2,27.58,27.58,"%",74,4.5,29,33.75,5.5
"Kent Bazemore","SG/SFSGSF","ATL","@ BKN","11th",106,6000,13.5,45.2,27.3,0.98,22.8,10.6,28,28.52,27.07,27.07,"%",67,4.5,31,22,3.7
"Jrue Holiday","PG/SGPGSG","NOP","@ POR","10th",101.5,6000,15.6,48.4,31.7,0.88,21,13.6,35.9,36.2,29.65,29.65,"%",70,4.9,37,33.75,5.6
"Robert Covington","SF/PFSFPF","PHI","vs DET","24th",108.5,5900,12.5,48.2,30,0.97,18.9,11.3,31,30.82,27.8,27.8,"%",66,4.7,38,49.5,8.4
"DeMarre Carroll","SF/PFSFPF","BKN","vs ATL","27th",111,5900,21.2,46.8,28.7,0.99,19.6,10.4,29.1,31.2,32.2,32.2,"%",74,5.5,30,28.5,4.8
"Kentavious Caldwell-Pope","SG","LAL","@ DEN","11th",109.25,5900,15.1,44,28.6,0.83,18.1,11.8,34.4,35.4,27.44,27.44,"%",71,4.7,22,13,2.2
"Dennis Smith Jr.","PG/SGPGSG","DAL","vs LAC","2nd",106.5,5800,10.5,43.1,27,0.97,30,14.7,27.8,28.47,24.48,24.48,"%",66,4.2,23,24.25,4.2
"Gary Harris","SG","DEN","vs LAL","17th",113.25,5800,21.7,44,26.8,0.83,18,11.4,32.3,35.78,31.27,31.27,"%",76,5.4,34,32,5.5
"Marcus Smart","SG/SFSGSF","BOS","vs PHX","28th",114,5700,18.9,46.3,25.9,0.85,19.7,9.9,30.3,31.14,30.64,30.64,"%",70,5.4,28,31.5,5.5
"Avery Bradley","PG/SGPGSG","DET","@ PHI","9th",104.5,5600,15.7,40.7,26.2,0.84,25.1,14,31.3,33,26.43,26.43,"%",73,4.7,29,10.5,1.9
"Kyle Kuzma","SF/PFSFPF","LAL","@ DEN","8th",109.25,5600,9.7,38,28,0.91,21.7,12.8,30.7,27.3,21.84,21.84,"%",71,3.9,26,29,5.2
"Mario Chalmers","PG","MEM","@ CLE","23rd",96.75,5600,5.2,36.3,20.3,0.85,19.9,7.6,24,20,18.56,18.56,"%",56,3.3,15,11.5,2.1
"Taurean Prince","SG/SFSGSF","ATL","@ BKN","11th",106,5600,11.4,43.9,25.9,0.85,21,11.4,30.3,30.98,25.31,25.31,"%",64,4.5,28,24,4.3
"Dwyane Wade","PG/SGPGSG","CLE","vs MEM","3rd",108.75,5600,11.4,51.8,24.9,1.08,25.2,10,23,26.34,28.74,28.74,"%",54,5.1,24,29.5,5.3
"Larry Nance Jr.","SF/PFSFPF","LAL","@ DEN","8th",109.25,5500,8.9,39.3,25.4,1.09,16.1,6.6,23.2,23.17,21.9,21.9,"%",66,4,23,10.5,1.9
"Trevor Booker","PF/CPFC","BKN","vs ATL","24th",111,5500,11.4,43.8,23.3,1.06,21.1,8.6,22,22.55,25.26,25.26,"%",60,4.6,15,2.25,0.4
"Dario Saric","PF/CPFC","PHI","vs DET","11th",108.5,5400,11.8,47.8,24,0.87,18.2,10.1,27.7,31.18,27.25,27.25,"%",57,5,30,27.25,5
"J.J. Redick","SG/SFSGSF","PHI","vs DET","8th",108.5,5300,13.3,43.9,26.6,0.82,19.3,13.1,32.6,32.64,26.41,26.41,"%",67,5,35,33,6.2
"Willie Cauley-Stein","PF/CPFC","SAC","@ MIL","29th",93.25,5200,15.4,51.4,24.8,1,20.2,8.7,24.8,26.82,30.82,30.82,"%",59,5.9,8,5,1
"Allen Crabbe","SG/SFSGSF","BKN","vs ATL","26th",111,5100,12.4,45.3,22.1,0.82,18.2,10.2,26.8,32,26.46,26.46,"%",57,5.2,25,19.75,3.9
"Julius Randle","PF/CPFC","LAL","@ DEN","29th",109.25,5100,16.7,42.7,25,1.15,24.7,8.7,21.8,20.2,27.84,27.84,"%",70,5.5,21,26.5,5.2
"Dirk Nowitzki","PF/CPFC","DAL","vs LAC","16th",106.5,5000,14,40.9,23,0.94,20.2,9.6,24.4,25.68,25.55,25.55,"%",67,5.1,24,27.25,5.5
"Brook Lopez","C","LAL","@ DEN","18th",109.25,5000,1.8,46,25.9,1.14,25.5,11.3,22.7,17,20.77,20.77,"%",51,4.2,23,27.75,5.6
"Caris LeVert","SG/SFSGSF","BKN","vs ATL","26th",111,5000,14.2,33.4,22.9,0.91,21.5,9.8,25.2,23.21,22.42,22.42,"%",76,4.5,25,15.25,3.1
"Zach Randolph","PF/CPFC","SAC","@ MIL","4th",93.25,5000,5.7,43.9,26,1.08,27.1,11.8,24,23.7,22.04,22.04,"%",58,4.4,33,33.25,6.7
"Marcus Morris","SF/PFSFPF","BOS","vs PHX","20th",114,4900,17.9,35.7,24.3,1.04,24.2,10.5,23.4,24.37,25.49,25.49,"%",79,5.2,27,27,5.5
"Jordan Clarkson","PG/SGPGSG","LAL","@ DEN","11th",109.25,4900,14.2,46.7,24.7,1.11,29,12.3,22.2,28.1,28.13,28.13,"%",63,5.7,28,21.75,4.4
"Jamal Murray","PG/SGPGSG","DEN","vs LAL","17th",113.25,4900,9.8,46,21.9,0.82,24.2,11.9,26.6,29.46,25.28,25.28,"%",53,5.2,33,44.5,9.1
"Wesley Matthews","SG/SFSGSF","DAL","vs LAC","28th",106.5,4900,8.3,44.8,23.1,0.67,16.6,10.4,34.5,34.96,23.91,23.91,"%",55,4.9,23,20,4.1
"Malcolm Brogdon","PG/SGPGSG","MIL","vs SAC","12th",106.25,4900,5.9,38.7,24.6,0.83,20,10.6,29.7,24.48,19.95,19.95,"%",62,4.1,25,21.75,4.4
"Kenneth Faried","PF/CPFC","DEN","vs LAL","17th",113.25,4800,3.1,40.4,12.4,0.98,17.6,4.1,12.6,20.42,19.07,19.07,"%",14,4,26,27.25,5.7
"John Henson","C","MIL","vs SAC","30th",106.25,4800,11.3,47.1,21.5,0.95,15.5,5.5,22.7,26.7,26.67,26.67,"%",52,5.6,28,24,5
"Wesley Johnson","SG/SFSGSF","LAC","@ DAL","10th",102.5,4800,7.6,39.8,18.2,0.74,14.1,6.2,24.7,34.35,21.4,21.4,"%",50,4.5,27,16.5,3.4
"Greg Monroe","PF/CPFC","PHX","@ BOS","13th",102,4700,5.6,51.3,20.5,1.09,21.8,7.8,18.8,22.7,25.2,25.2,"%",36,5.4,19,20,4.3
"JaMychal Green","SF/PFSFPF","MEM","@ CLE","18th",96.75,4700,13.7,40.2,18.8,0.79,19,7.2,23.9,29.82,25.08,25.08,"%",60,5.3,31,29.75,6.3
"Marco Belinelli","SG","ATL","@ BKN","27th",106,4700,10.9,41.8,22.2,0.87,20.4,10,25.5,27,24.11,24.11,"%",60,5.1,24,18.5,3.9
"Juan Jose Barea","PG/SGPGSG","DAL","vs LAC","2nd",106.5,4700,10.7,34.7,24.3,1.13,27.3,10.4,21.6,21.14,20.99,20.99,"%",72,4.5,24,43,9.1
"Rajon Rondo","PG","NOP","@ POR","10th",101.5,4600,3.5,37,20.4,0.92,16.6,6.1,22.1,25.2,17.87,17.87,"%",53,3.9,28,38.5,8.4
"Ersan Ilyasova","SF/PFSFPF","ATL","@ BKN","13th",106,4500,14.1,46.1,16,0.8,14.9,6.4,20,34.7,27.79,27.79,"%",43,6.2,23,24.25,5.4
"Joe Harris","SG/SFSGSF","BKN","vs ATL","26th",111,4500,10.6,35.8,18.2,0.8,17,8.1,22.7,24.2,21.39,21.39,"%",60,4.8,26,21.75,4.8
"De'Aaron Fox","PG","SAC","@ MIL","6th",93.25,4500,9.3,33.8,21.7,0.84,23.6,10.4,25.7,27.8,19.77,19.77,"%",68,4.4,20,27.5,6.1
"Josh Jackson","SG/SFSGSF","PHX","@ BOS","7th",102,4400,4.8,33.8,18.1,0.86,24.6,9.3,21,20.99,17.25,17.25,"%",54,3.9,14,7.75,1.8
"Buddy Hield","SG/SFSGSF","SAC","@ MIL","29th",93.25,4400,4.9,42.6,20.8,0.98,25,10.1,21.3,19.85,21.06,21.06,"%",48,4.8,29,36,8.2
"Mike James","PG","PHX","@ BOS","13th",102,4400,8.5,39.2,22.8,1.03,25.5,10.3,22.2,20.85,21.66,21.66,"%",61,4.9,23,20.75,4.7
"Al-Farouq Aminu","SF/PFSFPF","POR","vs NOP","13th",108.5,4300,3.9,39.5,25.3,0.88,12.6,7,28.8,22,19.16,19.16,"%",60,4.5,25,13.25,3.1
"Tyson Chandler","C","PHX","@ BOS","13th",102,4300,3.7,27,21.2,0.86,11.2,4.5,24.6,15.1,13.71,13.71,"%",69,3.2,28,42.5,9.9
"Luke Babbitt","SF/PFSFPF","ATL","@ BKN","11th",106,4300,0.8,30.5,14.5,0.72,16.7,6.4,20.1,19,13.53,13.53,"%",41,3.1,20,26,6
"Terry Rozier","PG/SGPGSG","BOS","vs PHX","28th",114,4200,5.5,39.9,20.5,0.9,19.6,8.7,22.7,20.43,20.23,20.23,"%",52,4.8,19,11.75,2.8
"Tyler Ulis","PG","PHX","@ BOS","13th",102,4200,8,35.3,17.8,0.81,20.3,7.8,22.1,25.11,19.66,19.66,"%",56,4.7,24,10,2.4
"J.R. Smith","SG/SFSGSF","CLE","vs MEM","3rd",108.75,4100,7.8,32.1,17.1,0.56,13.4,8,30.5,34.6,18.2,18.2,"%",59,4.4,33,33.25,8.1
"Noah Vonleh","PF/CPFC","POR","vs NOP","28th",108.5,4100,7.5,38.7,17.6,0.79,10.3,3.9,22.3,26,20.9,20.9,"%",49,5.1,13,17.75,4.3
"Ishmael Smith","PG","DET","@ PHI","15th",104.5,4000,11,31.2,19.2,0.99,23.4,8.5,19.3,19.7,19.68,19.68,"%",70,4.9,18,12,3
"Montrezl Harrell","PF/CPFC","LAC","@ DAL","23rd",102.5,4000,15.9,37,10.3,1.16,21.1,3.1,8.9,20.3,24.95,24.95,"%",42,6.2,24,19,4.8
"George Hill","PG/SGPGSG","SAC","@ MIL","6th",93.25,4000,4.9,33,18.6,0.73,16.3,7.5,25.6,25.29,16.94,16.94,"%",57,4.2,18,8.5,2.1
"Marquese Chriss","PF/CPFC","PHX","@ BOS","5th",102,4000,5,35.3,17.4,0.89,16.3,5.8,19.6,24.49,17.98,17.98,"%",50,4.5,21,9.5,2.4
"Yogi Ferrell","PG/SGPGSG","DAL","vs LAC","2nd",106.5,4000,0.4,26.2,17.2,0.62,16.2,7.4,27.8,22.7,11.46,11.46,"%",57,2.9,20,15.5,3.9
