"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,966720674,"pepesilvia055",0,313.75,"PF Kevin Durant C Jordan Bell SF Kyle Kuzma PG Patrick McCaw F Wilson Chandler SG CJ McCollum G Shabazz Napier UTIL Nikola Jokic",NA,"CJ McCollum","SG","69.89%",22.75
2,966947170,"AGMoney23 (9/20)",0,312.25,"SG Klay Thompson PF Draymond Green G Kentavious Caldwell-Pope F Jordan Bell SF Kyle Kuzma PG Lonzo Ball UTIL Shabazz Napier C Nikola Jokic",NA,"Kevin Durant","PF","61.48%",65.25
3,967378906,"Rannman21 (5/7)",0,310.5,"PF Kevin Durant UTIL Julius Randle SF Kyle Kuzma G Brandon Ingram SG Evan Turner F Mason Plumlee PG Shabazz Napier C Nikola Jokic",NA,"Shabazz Napier","PG","58.20%",33
4,966761357,"DPrax7",0,309,"F Kevin Durant C Jordan Bell SF Kyle Kuzma PG Lonzo Ball PF Wilson Chandler UTIL Al-Farouq Aminu SG CJ McCollum G Shabazz Napier",NA,"Kyle Kuzma","PF","50.88%",53.5
5,966947008,"AGMoney23 (7/20)",0,308,"SF Kevin Durant SG Klay Thompson C Julius Randle PF Kyle Kuzma PG Lonzo Ball UTIL Ed Davis F Mason Plumlee G Shabazz Napier",NA,"Draymond Green","C","49.96%",40.25
5,967257303,"ThrowUpTheX24",0,308,"F David West SF Kevin Durant PF Draymond Green C Julius Randle PG Lonzo Ball UTIL Wilson Chandler G Shabazz Napier SG Gary Harris",NA,"Nikola Jokic","C","48.02%",50.25
7,966950224,"AGMoney23 (19/20)",0,307.5,"SF Kevin Durant C Draymond Green SG Kentavious Caldwell-Pope F Jordan Bell PF Kyle Kuzma UTIL Mason Plumlee PG Shabazz Napier G Jamal Murray",NA,"Evan Turner","F","47.60%",14.5
8,967043825,"jay585 (7/11)",0,306.5,"SF Kevin Durant UTIL Jordan Bell C Julius Randle PF Kyle Kuzma F Will Barton PG Shabazz Napier SG Gary Harris G Jamal Murray",NA,"Al-Farouq Aminu","PF","42.22%",16.5
9,966728377,"Malickiville (5/5)",0,306,"SF Kevin Durant PF Draymond Green SG Kentavious Caldwell-Pope F Jordan Bell C Julius Randle PG Lonzo Ball G Evan Turner UTIL Shabazz Napier",NA,"Brandon Ingram","F","41.38%",21.25
9,966733632,"Ferguson7 (2/3)",0,306,"SF Kevin Durant PF Draymond Green SG Kentavious Caldwell-Pope F Jordan Bell C Julius Randle UTIL Lonzo Ball G Evan Turner PG Shabazz Napier",NA,"Klay Thompson","G","36.50%",24.75
11,967273400,"A504Refugee",0,305.25,"PF Kevin Durant G Klay Thompson SF Omri Casspi SG Kentavious Caldwell-Pope C Julius Randle F Kyle Kuzma UTIL Wilson Chandler PG Shabazz Napier",NA,"Jusuf Nurkic","UTIL","34.06%",9.25
12,966574449,"lurchrules18",0,305,"F Kevin Durant SG Klay Thompson UTIL Jordan Bell PF Kyle Kuzma PG Lonzo Ball SF Al-Farouq Aminu C Mason Plumlee G Shabazz Napier",NA,"Lonzo Ball","PG","31.96%",39.75
13,967393502,"carterdee (1/2)",0,304.5,"SF Kevin Durant F Julius Randle UTIL Kyle Kuzma PG Lonzo Ball C Mason Plumlee G Shabazz Napier PF Trey Lyles SG Jamal Murray",NA,"Jamal Murray","SG","29.02%",14.5
14,966580172,"perilous (7/20)",0,304,"SG Klay Thompson UTIL Draymond Green SF Kyle Kuzma PG Lonzo Ball PF Wilson Chandler F Will Barton G Shabazz Napier C Nikola Jokic",NA,"Mason Plumlee","C","25.90%",30.25
14,967043722,"jay585 (5/11)",0,304,"SF Kevin Durant C Jordan Bell PF Julius Randle F Mason Plumlee G Will Barton PG Shabazz Napier UTIL Nikola Jokic SG Jamal Murray",NA,"Will Barton","SG","22.88%",26.25
16,967369421,"Rannman21 (2/7)",0,303.5,"F Kevin Durant G Klay Thompson PF Julius Randle SF Kyle Kuzma UTIL Lonzo Ball SG Evan Turner C Mason Plumlee PG Shabazz Napier",NA,"Wilson Chandler","UTIL","19.34%",36.25
