"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Dragan Bender",3400,"PHO@BOS 12/02/2017 01:00PM ET",13.489,"PHO"
"C","Miles Plumlee",3400,"ATL@BKN 12/02/2017 03:00PM ET",0.375,"ATL"
"SG","Troy Daniels",3300,"PHO@BOS 12/02/2017 01:00PM ET",9.239,"PHO"
"PG","Isaiah Taylor",3300,"ATL@BKN 12/02/2017 03:00PM ET",11.679,"ATL"
"PF/C","Quincy Acy",3300,"ATL@BKN 12/02/2017 03:00PM ET",13.156,"BKN"
"PF","Tyler Cavanaugh",3300,"ATL@BKN 12/02/2017 03:00PM ET",7.729,"ATL"
"SG/SF","Semi Ojeleye",3200,"PHO@BOS 12/02/2017 01:00PM ET",6.318,"BOS"
"PG","Shane Larkin",3200,"PHO@BOS 12/02/2017 01:00PM ET",5.809,"BOS"
"C","Alan Williams",3200,"PHO@BOS 12/02/2017 01:00PM ET",0,"PHO"
"C","Timofey Mozgov",3200,"ATL@BKN 12/02/2017 03:00PM ET",11.703,"BKN"
"SG","Sindarius Thornwell",3200,"LAC@DAL 12/02/2017 02:00PM ET",8.275,"LAC"
"PF","Maxi Kleber",3200,"LAC@DAL 12/02/2017 02:00PM ET",9.313,"DAL"
"C","Nerlens Noel",3200,"LAC@DAL 12/02/2017 02:00PM ET",12.132,"DAL"
"C","Salah Mejri",3100,"LAC@DAL 12/02/2017 02:00PM ET",14.015,"DAL"
"SF","Derrick Jones Jr.",3000,"PHO@BOS 12/02/2017 01:00PM ET",4.417,"PHO"
"PF","Abdel Nader",3000,"PHO@BOS 12/02/2017 01:00PM ET",3.432,"BOS"
"PF/C","Guerschon Yabusele",3000,"PHO@BOS 12/02/2017 01:00PM ET",4.393,"BOS"
"SG/SF","Davon Reed",3000,"PHO@BOS 12/02/2017 01:00PM ET",0,"PHO"
"PG/SG","Brandon Knight",3000,"PHO@BOS 12/02/2017 01:00PM ET",0,"PHO"
"PF","Alec Peters",3000,"PHO@BOS 12/02/2017 01:00PM ET",5.625,"PHO"
"SG/SF","Gordon Hayward",3000,"PHO@BOS 12/02/2017 01:00PM ET",3.25,"BOS"
"SG","Jabari Bird",3000,"PHO@BOS 12/02/2017 01:00PM ET",2.125,"BOS"
"SG","Kadeem Allen",3000,"PHO@BOS 12/02/2017 01:00PM ET",0,"BOS"
"PG","Josh Magette",3000,"ATL@BKN 12/02/2017 03:00PM ET",6.188,"ATL"
"PG/SG","Tyler Dorsey",3000,"ATL@BKN 12/02/2017 03:00PM ET",3.714,"ATL"
"SG","Nicolas Brussino",3000,"ATL@BKN 12/02/2017 03:00PM ET",1.25,"ATL"
"PG/SG","Jeremy Lin",3000,"ATL@BKN 12/02/2017 03:00PM ET",23,"BKN"
"PG","Jacob Wiley",3000,"ATL@BKN 12/02/2017 03:00PM ET",5.813,"BKN"
"SG","Yakuba Ouattara",3000,"ATL@BKN 12/02/2017 03:00PM ET",0,"BKN"
"C","Willie Reed",3000,"LAC@DAL 12/02/2017 02:00PM ET",11.329,"LAC"
"PF/C","Brice Johnson",3000,"LAC@DAL 12/02/2017 02:00PM ET",5.3,"LAC"
"PG","Jawun Evans",3000,"LAC@DAL 12/02/2017 02:00PM ET",8.654,"LAC"
"SG","C.J. Williams",3000,"LAC@DAL 12/02/2017 02:00PM ET",5.214,"LAC"
"SF/PF","Jamil Wilson",3000,"LAC@DAL 12/02/2017 02:00PM ET",4.5,"LAC"
"PF/C","Josh McRoberts",3000,"LAC@DAL 12/02/2017 02:00PM ET",0,"DAL"
"SG","Antonius Cleveland",3000,"LAC@DAL 12/02/2017 02:00PM ET",2.625,"DAL"
"C","Jeff Withey",3000,"LAC@DAL 12/02/2017 02:00PM ET",3.464,"DAL"
"SF","Dorian Finney-Smith",3000,"LAC@DAL 12/02/2017 02:00PM ET",5.875,"DAL"
"PF/C","Johnathan Motley",3000,"LAC@DAL 12/02/2017 02:00PM ET",0,"DAL"
