"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Delon Wright",3500,"PHO@TOR 12/05/2017 07:30PM ET",16.536,"TOR","PHO",0,0,0
"SF/PF","OG Anunoby",3500,"PHO@TOR 12/05/2017 07:30PM ET",12.381,"TOR","PHO",11.28,13.6,21.5
"PF","Caleb Swanigan",3400,"WAS@POR 12/05/2017 10:00PM ET",8.038,"POR","WAS",0,0,0
"SG","Jodie Meeks",3400,"WAS@POR 12/05/2017 10:00PM ET",11.602,"WAS","POR",12.58,11.7,0.5
"SF/PF","Maurice Harkless",3400,"WAS@POR 12/05/2017 10:00PM ET",13.326,"POR","WAS",0,0,8.5
"PF/C","Jakob Poeltl",3400,"PHO@TOR 12/05/2017 07:30PM ET",15.524,"TOR","PHO",20.13,18.9,21.25
"PG","Fred VanVleet",3400,"PHO@TOR 12/05/2017 07:30PM ET",14.56,"TOR","PHO",18.55,19,21.5
"C","Lucas Nogueira",3400,"PHO@TOR 12/05/2017 07:30PM ET",11.265,"TOR","PHO",0,0,0
"PF/C","Dragan Bender",3400,"PHO@TOR 12/05/2017 07:30PM ET",13.417,"PHO","TOR",11.33,12,1.25
"PF/C","Jason Smith",3300,"WAS@POR 12/05/2017 10:00PM ET",5.938,"WAS","POR",0,0,0
"C","Ian Mahinmi",3300,"WAS@POR 12/05/2017 10:00PM ET",9.818,"WAS","POR",14.42,13.6,12
"PF/C","Ed Davis",3300,"WAS@POR 12/05/2017 10:00PM ET",16.522,"POR","WAS",9.66,9.3,1.25
"PG/SG","Raymond Felton",3300,"UTA@OKC 12/05/2017 08:00PM ET",14.023,"OKC","UTA",12.98,11.7,3
"SG/SF","Alex Abrines",3300,"UTA@OKC 12/05/2017 08:00PM ET",7.863,"OKC","UTA",0,0,5.25
"C","Dakari Johnson",3300,"UTA@OKC 12/05/2017 08:00PM ET",5.795,"OKC","UTA",0,0,0
"SG","Troy Daniels",3300,"PHO@TOR 12/05/2017 07:30PM ET",9.063,"PHO","TOR",4.59,6.9,18
"PF/C","Meyers Leonard",3200,"WAS@POR 12/05/2017 10:00PM ET",11.219,"POR","WAS",7.78,0,3.25
