"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","LeBron James",11600,"SAC@CLE 12/06/2017 07:00PM ET",55.781,"CLE","SAC",0,55,69.75
"PF/C","DeMarcus Cousins",11300,"DEN@NO 12/06/2017 08:00PM ET",54.75,"NO","DEN",0,60.4,81
"SF/PF","Giannis Antetokounmpo",11100,"DET@MIL 12/06/2017 08:00PM ET",55.5,"MIL","DET",0,55.4,49
"PF/C","Anthony Davis",10500,"DEN@NO 12/06/2017 08:00PM ET",49,"NO","DEN",0,0,0
"SF/PF","Kevin Durant",10100,"GS@CHA 12/06/2017 08:00PM ET",45.113,"GS","CHA",0,49.3,72.25
"PG/SG","Stephen Curry",9700,"GS@CHA 12/06/2017 08:00PM ET",46.924,"GS","CHA",0,0,0
"C","Andre Drummond",9100,"DET@MIL 12/06/2017 08:00PM ET",44.207,"DET","MIL",0,45.3,62
"PG/SG","Victor Oladipo",8900,"CHI@IND 12/06/2017 07:00PM ET",40.957,"IND","CHI",0,42,45.5
"PG","Kyrie Irving",8500,"DAL@BOS 12/06/2017 07:30PM ET",38.604,"BOS","DAL",0,42.5,35.5
"PF/C","Kevin Love",8400,"SAC@CLE 12/06/2017 07:00PM ET",38.188,"CLE","SAC",0,39.6,38.75
"C","Nikola Jokic",8300,"DEN@NO 12/06/2017 08:00PM ET",39.881,"DEN","NO",0,0,0
"PG","Dennis Schroder",8200,"ATL@ORL 12/06/2017 07:00PM ET",35.083,"ATL","ORL",0,39.6,46.25
"SF/PF","Aaron Gordon",8100,"ATL@ORL 12/06/2017 07:00PM ET",36.5,"ORL","ATL",0,38.7,48.25
"PF/C","Kristaps Porzingis",8100,"MEM@NY 12/06/2017 07:30PM ET",41.118,"NY","MEM",0,0,0
"C","Karl-Anthony Towns",8100,"MIN@LAC 12/06/2017 10:30PM ET",40.79,"MIN","LAC",0,42.7,53.5
"PF/C","LaMarcus Aldridge",8100,"MIA@SA 12/06/2017 08:30PM ET",40.174,"SA","MIA",0,38.9,24.5
"C","Marc Gasol",8000,"MEM@NY 12/06/2017 07:30PM ET",40.783,"MEM","NY",0,39,34.5
"PF/C","Blake Griffin",8000,"MIN@LAC 12/06/2017 10:30PM ET",43.763,"LAC","MIN",0,0,0
"PF/C","Draymond Green",7900,"GS@CHA 12/06/2017 08:00PM ET",35.521,"GS","CHA",0,0,0
"PG","Kemba Walker",7800,"GS@CHA 12/06/2017 08:00PM ET",38.9,"CHA","GS",0,37.8,44
"SF/PF","Kawhi Leonard",7700,"MIA@SA 12/06/2017 08:30PM ET",0,"SA","MIA",0,0,0
"SG/SF","Tyreke Evans",7600,"MEM@NY 12/06/2017 07:30PM ET",33.163,"MEM","NY",0,35.6,22.25
"SG","Jimmy Butler",7600,"MIN@LAC 12/06/2017 10:30PM ET",36.707,"MIN","LAC",0,42.4,40.5
"C","Nikola Vucevic",7500,"ATL@ORL 12/06/2017 07:00PM ET",36.01,"ORL","ATL",0,38.9,61.5
"C","Hassan Whiteside",7500,"MIA@SA 12/06/2017 08:30PM ET",36.95,"MIA","SA",0,0,0
"PF/C","Al Horford",7400,"DAL@BOS 12/06/2017 07:30PM ET",35.272,"BOS","DAL",0,35.2,50.5
"SG","Klay Thompson",7400,"GS@CHA 12/06/2017 08:00PM ET",33.36,"GS","CHA",0,35.8,32
"C","Dwight Howard",7300,"GS@CHA 12/06/2017 08:00PM ET",34.614,"CHA","GS",0,35.5,26.75
"PG/SG","Lou Williams",7100,"MIN@LAC 12/06/2017 10:30PM ET",30.841,"LAC","MIN",0,37.6,0
