"Place_lo","Place_hi","Payout"
"1","1","2000"
"2","2","1000"
"3","3","500"
"4","4","300"
"5","5","200"
"6","6","150"
"7","7","125"
"8","10","100"
"11","15","75"
"16","20","60"
"21","25","50"
"26","35","40"
"36","45","30"
"46","60","25"
"61","80","20"
"81","100","15"
"101","150","12"
"151","225","10"
"226","375","9"
"376","575","8"
"576","825","7"
"826","1175","6"
"1176","1675","5"
"1676","2675","4"
"2676","4425","3"
"4426","7715","2.5"
"7716","15015","2"
