"Place_lo","Place_hi","Payout"
"1","1","500"
"2","2","350"
"3","3","250"
"4","5","150"
"6","8","100"
"9","12","75"
"13","17","50"
"18","32","30"
"33","57","20"
"58","103","15"
"104","163","12"
"164","248","9"
"249","373","7"
"374","623","6"
"624","1073","5"
