Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,974528525,maddogg1007,0,316.5,UTIL James Harden PG Eric Bledsoe F Tobias Harris C Dario Saric SF Jayson Tatum G Ish Smith PF Bismack Biyombo SG Tyus Jones,,Tyus Jones,G,94.95%,28
2,974419073,jeffylube (7/12),0,307.5,SG James Harden UTIL Jimmy Butler PF Tobias Harris C Dario Saric SF Evan Fournier G Ish Smith F Bismack Biyombo PG Tyus Jones,,Ish Smith,PG,89.01%,37.75
2,974419076,jeffylube (8/12),0,307.5,SG James Harden UTIL Jimmy Butler PF Tobias Harris C Dario Saric SF Evan Fournier G Ish Smith F Bismack Biyombo PG Tyus Jones,,James Harden,PG,86.11%,60.5
4,974492123,thedylonfive,0,307.25,C Andre Drummond UTIL Karl-Anthony Towns F Tobias Harris PF Dario Saric SF Jayson Tatum SG Marcus Smart PG Ish Smith G Tyus Jones,,Karl-Anthony Towns,C,77.26%,39.25
5,974323878,TheKurgan100,0,306.5,PG James Harden C Andre Drummond SG Eric Gordon SF Jayson Tatum UTIL Ish Smith F Courtney Lee PF Bismack Biyombo G Tyus Jones,,Bismack Biyombo,PF,49.30%,32.75
6,974469462,gtd24 (4/30),0,306,SG James Harden PG Kyrie Irving G Elfrid Payton SF Tobias Harris C John Henson PF Bismack Biyombo F Michael Beasley UTIL Tyus Jones,,Marcus Smart,SF,46.84%,37.5
7,974497140,younggun35 (1/6),0,305.25,UTIL James Harden SG Jimmy Butler C Dario Saric PF Taj Gibson F Jayson Tatum SF Marcus Smart PG Ish Smith G Tyus Jones,,Jayson Tatum,PF,44.78%,32.75
7,974497150,younggun35 (4/6),0,305.25,UTIL James Harden SG Jimmy Butler C Dario Saric PF Taj Gibson F Jayson Tatum SF Marcus Smart PG Ish Smith G Tyus Jones,,Jimmy Butler,SG,37.09%,39.25
9,974210968,tmoneyfreshjams07 (1/2),0,305,SG James Harden C Karl-Anthony Towns UTIL CJ McCollum SF Jayson Tatum PG Ish Smith PF Bismack Biyombo F Reggie Bullock G Tyus Jones,,Reggie Bullock,SF,36.89%,23.75
9,974211044,tmoneyfreshjams07 (2/2),0,305,SG James Harden C Karl-Anthony Towns UTIL CJ McCollum SF Jayson Tatum PG Ish Smith PF Bismack Biyombo F Reggie Bullock G Tyus Jones,,Trevor Ariza,F,29.73%,22
