"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Jamil Wilson","SF/PFSFPF","LAC","@ MEM","13th",99,3700,5.4,30.1,12,0.69,15.6,5.2,17.5,23.43,15.98,15.98,"%",41,4.3,21,11.5,3.1
"Tyler Ulis","PG","PHX","vs MIN","17th",104.25,3700,3.5,33.3,17.4,0.75,19.6,7.8,23.1,22.29,16.29,16.29,"%",51,4.4,17,11,3
"Ed Davis","PF/CPFC","POR","@ LAL","16th",99,3700,8.6,31.5,16.1,0.93,14,3.8,17.3,19.93,18.38,18.38,"%",59,5,28,10.75,2.9
"Jerami Grant","SF/PFSFPF","OKC","@ UTA","6th",97.75,3700,2.6,26.9,16.5,0.8,16.3,5.7,20.6,17.67,13.02,13.02,"%",58,3.5,17,10,2.7
"Aron Baynes","C","BOS","vs CHI","11th",105.75,3700,1,26.5,14.8,0.83,16.8,5,17.9,16.66,11.9,11.9,"%",51,3.2,14,19.25,5.2
"Jerian Grant","PG/SGPGSG","CHI","@ BOS","18th",98.75,3700,1.2,32.9,20.8,0.93,19,6.9,22.4,13.65,14.77,14.77,"%",57,4,23,21,5.7
"Marco Belinelli","SG","ATL","vs DAL","12th",100.75,3700,4,35.8,20.6,0.86,21.9,9.7,23.9,21,17.66,17.66,"%",56,4.8,15,4.75,1.3
"Devin Harris","PG/SGPGSG","DAL","@ ATL","23rd",101.75,3600,6.9,33.7,16,0.88,23.3,6.5,18.1,19.37,18.42,18.42,"%",52,5.1,17,16.75,4.7
"Sam Dekker","SF/PFSFPF","LAC","@ MEM","13th",99,3600,2.5,25.2,9.6,0.73,17.7,4.3,13.1,17.68,12.23,12.23,"%",32,3.4,18,11.75,3.3
"Garrett Temple","PG/SGPGSG","SAC","vs SAS","2nd",95,3600,3,30.6,16.2,0.67,16.3,7.2,24.3,25.84,14.81,14.81,"%",51,4.1,31,27.5,7.6
"Kosta Koufos","C","SAC","vs SAS","13th",95,3600,3.7,32.1,16.5,0.93,14.2,4.4,17.8,16.32,15.83,15.83,"%",51,4.4,18,10.5,2.9
"Marquese Chriss","PF/CPFC","PHX","vs MIN","6th",104.25,3600,0.6,30.5,16.3,0.84,15.9,5.6,19.5,18.96,13.39,13.39,"%",48,3.7,25,23,6.4
"Thabo Sefolosha","SG/SFSGSF","UTA","vs OKC","10th",98.75,3600,1.5,29.3,17.5,0.85,16.1,6,20.5,16.32,13.43,13.43,"%",55,3.7,15,12.5,3.5
"David West","PF/CPFC","GSW","vs DEN","17th",111.5,3500,12.7,32.2,17.1,1.37,22,4.8,12.5,14.96,21.06,21.06,"%",67,6,11,7.5,2.1
"Tony Snell","SG/SFSGSF","MIL","@ CHA","24th",105.25,3500,4.3,27.9,15.7,0.52,10.3,6,30.4,28,14.45,14.45,"%",57,4.1,33,20,5.7
"Jarell Martin","PF/CPFC","MEM","vs LAC","15th",98,3500,3.4,28,10.9,0.69,17.3,4.2,15.7,19.57,13.93,13.93,"%",36,4,17,19.75,5.6
"Montrezl Harrell","PF/CPFC","LAC","@ MEM","8th",99,3500,4.8,27.1,12.9,1.12,22.1,4.4,11.5,14.1,14.35,14.35,"%",51,4.1,12,13.75,3.9
"Tomas Satoransky","PG/SGPGSG","WAS","vs ORL","17th",111,3500,0.6,30.5,13.5,0.78,15.3,4.1,17.2,15,13.44,13.44,"%",37,3.8,17,20,5.7
"Bryn Forbes","PG/SGPGSG","SAS","@ SAC","16th",101,3500,5.3,30.8,11.6,0.59,16.2,6.3,19.6,29.16,16.21,16.21,"%",37,4.6,26,13,3.7
"Corey Brewer","SG/SFSGSF","LAL","vs POR","12th",101,3500,7,33.3,7.7,0.68,13.2,2.5,11.3,21.12,18.27,18.27,"%",2,5.2,13,2.25,0.6
"Miles Plumlee","C","ATL","vs DAL","11th",100.75,3500,2.7,27.4,11.2,0.67,12.7,3.3,16.6,20.39,13.31,13.31,"%",37,3.8,20,12,3.4
"DeAndre Bembry","SG/SFSGSF","ATL","vs DAL","14th",100.75,3500,0,26.7,11.4,0.68,20.9,4.9,16.8,15.64,9.85,9.85,"%",26,2.8,0,0,NA
"Tyus Jones","PG/SGPGSG","MIN","@ PHX","28th",112.25,3400,0,32.9,12.4,0.76,10.8,3.1,16.3,13.55,13.14,13.14,"%",20,3.9,14,11,3.2
"Dragan Bender","SF/PFSFPF","PHX","vs MIN","6th",104.25,3400,3.5,26.6,12.8,0.62,12.6,5.1,20.7,26.11,13.37,13.37,"%",49,3.9,22,8.75,2.6
"Gorgui Dieng","PF/CPFC","MIN","@ PHX","22nd",112.25,3400,1,30.3,15.7,0.92,17.3,5,17.1,15,13.52,13.52,"%",47,4,22,30.25,8.9
"Zach Collins","PF/CPFC","POR","@ LAL","16th",99,3400,1.3,29.6,8.6,0.76,24.2,3.8,11.3,17.5,13.42,13.42,"%",6,3.9,30,26,7.6
"Maurice Harkless","SF/PFSFPF","POR","@ LAL","21st",99,3400,0,12.8,12.8,0.59,11.6,4.7,21.7,0,0,0,"%",50,0,25,35,10.3
"Nik Stauskas","PG/SGPGSG","BKN","@ IND","16th",103,3400,0,29,7.8,0.76,17.1,3,10.2,10.67,7.11,7.11,"%",0,2.1,13,11.5,3.4
"Jarrett Allen","PF/CPFC","BKN","@ IND","18th",103,3400,6.5,27.7,13.5,0.84,13.7,4,16,18.18,15.6,15.6,"%",55,4.6,18,11.5,3.4
"Tyler Zeller","C","BKN","@ IND","18th",103,3400,8.6,29.5,16.7,0.91,19.7,5.8,18.4,19.68,17.52,17.52,"%",64,5.2,21,19.25,5.7
"Andre Roberson","SG/SFSGSF","OKC","@ UTA","1st",97.75,3400,4.6,25.8,15.8,0.61,9.9,4.3,25.9,23.9,13.69,13.69,"%",62,4,25,5.25,1.5
"Daniel Theis","PF/CPFC","BOS","vs CHI","11th",105.75,3400,2.1,26.9,12.2,0.97,19.4,3.4,12.6,14.11,12.76,12.76,"%",42,3.8,24,37.25,11
"Tyler Cavanaugh","PF","ATL","vs DAL","24th",100.75,3400,0,26,13.4,0.88,15.1,4.4,15.2,9.09,8.5,8.5,"%",35,2.5,14,13.75,4
"Kevon Looney","SF/PFSFPF","GSW","vs DEN","17th",111.5,3400,0,19.4,8.5,0.87,13,2.1,9.8,7.36,6.96,6.96,"%",27,2,6,3.5,1
"Jameer Nelson","PG/SGPGSG","NOP","@ MIA","10th",106,3400,3.8,28.3,16.9,0.7,12.4,5,24,20.65,14.27,14.27,"%",59,4.2,20,12.25,3.6
"Thon Maker","PF/CPFC","MIL","@ CHA","20th",105.25,3400,4.6,25.4,12.4,0.68,12.9,3.8,18.2,20,13.54,13.54,"%",52,4,12,13.75,4
"C.J. Williams","SG","LAC","@ MEM","13th",99,3400,7.1,25.5,10.1,0.61,14.8,4.6,16.6,24.86,14.94,14.94,"%",48,4.4,31,16.75,4.9
"Jawun Evans","PG","LAC","@ MEM","5th",99,3400,0,24.5,11.8,0.75,21.8,5.8,15.8,12.36,8.11,8.11,"%",31,2.4,9,3.5,1
"Arron Afflalo","SG/SFSGSF","ORL","@ WAS","3rd",100,3400,0,16.1,5.5,0.43,10.7,2.7,12.9,11.88,5.01,5.01,"%",0,1.5,11,0,NA
"Ian Mahinmi","C","WAS","vs ORL","20th",111,3400,4.6,25.5,10.7,0.74,13.9,2.7,14.4,17.68,13.53,13.53,"%",44,4,22,17,5
"Shelvin Mack","PG/SGPGSG","ORL","@ WAS","14th",100,3400,0.6,26.8,13.5,0.77,13.6,4.1,17.5,16.38,11.86,11.86,"%",45,3.5,0,0,NA
"Brandon Paul","SG","SAS","@ SAC","6th",101,3400,0,26.5,8.2,0.67,13.6,2.9,12.3,13.26,8.29,8.29,"%",0,2.4,0,0,NA
"Davis Bertans","SF/PFSFPF","SAS","@ SAC","2nd",101,3400,0,27.3,9.8,0.92,21,3.7,10.6,11.52,9.58,9.58,"%",9,2.8,9,2.5,0.7
"Nick Young","SG","GSW","vs DEN","4th",111.5,3300,0,25.6,11.1,0.83,21.3,5.2,13.3,13.4,9.13,9.13,"%",26,2.8,18,8.25,2.5
"Darius Miller","SF","NOP","@ MIA","19th",106,3300,5,32.8,13,0.64,15.1,5.6,20.4,25.2,16.88,16.88,"%",39,5.1,20,21,6.4
"Dante Cunningham","SF/PFSFPF","NOP","@ MIA","19th",106,3300,6.4,28.6,13.6,0.6,10.8,5,22.5,22.88,15.9,15.9,"%",53,4.8,26,18.25,5.5
"DeAndre Liggins","SG/SFSGSF","MIL","@ CHA","19th",105.25,3300,0.2,18.6,7.4,0.5,9.8,2.3,14.9,18,8.1,8.1,"%",29,2.5,12,8,2.4
"Michael Carter-Williams","PG","CHA","vs MIL","4th",106.25,3300,0.6,24,13.6,0.83,18,4.5,16.3,14.89,10.62,10.62,"%",51,3.2,14,10.25,3.1
"Skal Labissiere","PF/CPFC","SAC","vs SAS","4th",95,3300,0,20.5,14.5,0.94,24.7,6.4,15.4,7.21,5.96,5.96,"%",50,1.8,0,0,NA
"Pat Connaughton","SG/SFSGSF","POR","@ LAL","20th",99,3300,3.1,28.1,11.3,0.61,14.2,4.8,18.6,22.08,13.84,13.84,"%",37,4.2,25,16.75,5.1
"Quincy Acy","PF/CPFC","BKN","@ IND","26th",103,3300,6.7,24.2,12,0.69,16.9,4.9,17.3,18.73,14.18,14.18,"%",58,4.3,11,8.5,2.6
"Alex Abrines","SG/SFSGSF","OKC","@ UTA","1st",97.75,3300,0,21.4,9.5,0.57,14.6,4.2,16.7,11.96,6.95,6.95,"%",24,2.1,16,9.25,2.8
"Shane Larkin","PG","BOS","vs CHI","26th",105.75,3300,0,23.4,7.8,0.74,16.5,3.4,10.6,9.8,8.09,8.09,"%",2,2.5,0,0,NA
"Paul Zipser","SG/SFSGSF","CHI","@ BOS","1st",98.75,3300,0,18.9,10.1,0.64,17.4,4.9,15.9,9.9,6.03,6.03,"%",37,1.8,17,11.25,3.4
"Patrick Patterson","PF/CPFC","OKC","@ UTA","9th",97.75,3200,0.7,20.2,8.1,0.58,11.2,2.9,14,14.17,9.05,9.05,"%",31,2.8,11,13.5,4.2
"Semi Ojeleye","SG/SFSGSF","BOS","vs CHI","17th",105.75,3200,0.2,15.9,6.2,0.45,9.7,2.4,13.7,14.51,6.96,6.96,"%",28,2.2,11,8.25,2.6
"Malik Beasley","SG","DEN","@ GSW","14th",103.5,3200,0,14.3,7,0.68,18.6,3.5,10.3,4.08,3.22,3.22,"%",21,1,9,2,0.6
"JaVale McGee","C","GSW","vs DEN","24th",111.5,3200,0,10.8,8.9,1.16,18.8,2.7,7.7,0,0,0,"%",39,0,6,3.5,1.1
"Matthew Dellavedova","PG/SGPGSG","MIL","@ CHA","15th",105.25,3200,3.1,19.2,12.2,0.65,17.1,4.9,18.7,15,9.99,9.99,"%",62,3.1,18,12.25,3.8
"Ben McLemore","SG/SFSGSF","MEM","vs LAC","27th",98,3200,0,22.7,12,0.69,20.1,6.2,17.4,11.83,9.27,9.27,"%",44,2.9,0,0,NA
"James Ennis","SG/SFSGSF","MEM","vs LAC","5th",98,3200,0,26.5,13.9,0.6,12.8,4.8,23.2,21.24,11.21,11.21,"%",45,3.5,27,17.5,5.5
"Wesley Iwundu","SG/SFSGSF","ORL","@ WAS","16th",100,3200,5,21.8,6.3,0.54,18.5,3.3,11.7,22.77,12.2,12.2,"%",23,3.8,24,16.5,5.2
"Quinn Cook","PG","GSW","vs DEN","25th",111.5,3100,0,18.1,8.2,0.69,13,3.4,11.9,8.9,6.41,6.41,"%",29,2.1,3,3.5,1.1
"Jodie Meeks","SG","WAS","vs ORL","17th",111,3100,0,23,11,0.67,18.8,5.8,16.5,14.28,9.58,9.58,"%",39,3.1,19,20,6.5
"Bismack Biyombo","PF/CPFC","ORL","@ WAS","16th",100,3100,4.5,23.3,11.9,0.82,14.1,3.1,14.6,15,12.53,12.53,"%",55,4,24,13.25,4.3
"Vince Carter","SG/SFSGSF","SAC","vs SAS","2nd",95,3100,0,15.1,8.6,0.64,14.2,3.5,13.4,6.79,3.97,3.97,"%",35,1.3,0,0,NA
"Raymond Felton","PG/SGPGSG","OKC","@ UTA","9th",97.75,3100,5.3,24.8,14.1,0.87,19.8,6.5,16.2,15.82,13.65,13.65,"%",61,4.4,11,7.5,2.4
"Luke Babbitt","SF/PFSFPF","ATL","vs DAL","14th",100.75,3100,0,22.5,12.8,0.71,15.1,5.4,18.1,8.24,5.8,5.8,"%",35,1.9,0,0,NA
"Dwight Powell","PF/CPFC","DAL","@ ATL","19th",101.75,3100,6.3,32.2,15.9,0.92,17,4.7,17.3,17.46,17.39,17.39,"%",53,5.6,22,23,7.4
"Udonis Haslem","PF/CPFC","MIA","vs NOP","27th",102,3000,2,4.8,2.3,0.58,3.7,0.3,4,5,3.24,3.24,"%",65,1.1,13,0.25,0.1
"Quincy Pondexter","SG/SFSGSF","CHI","@ BOS","9th",98.75,3000,0,10.8,5.4,0.57,18.2,2.6,9.4,0,0,0,"%",0,0,5,3.75,1.3
"Andrew Bogut","C","LAL","vs POR","10th",101,3000,4.1,25,7.7,0.92,10,1.2,8.4,13.91,13.01,13.01,"%",22,4.3,14,11.5,3.8
"Jamel Artis","SG/SFSGSF","ORL","@ WAS","3rd",100,3000,0,10.4,5.6,0.52,10.8,3.3,10.7,4.75,2.6,2.6,"%",30,0.9,21,7,2.3
"Cristiano Da Silva Felicio","PF/CPFC","CHI","@ BOS","10th",98.75,3000,0,8.9,8.9,0.64,13.1,2.7,13.8,0,0,0,"%",50,0,5,3.75,1.3
"Adreian Payne","PF","ORL","@ WAS","21st",100,3000,6,20,10.5,1.11,27.7,3,9.5,7.49,11.97,11.97,"%",0,4,19,13.25,4.4
"Chris McCullough","PF/CPFC","WAS","vs ORL","22nd",111,3000,0,7.6,5.9,1.04,31.3,3.1,5.7,0,0,0,"%",36,0,3,7.75,2.6
"Cheick Diallo","PF","NOP","@ MIA","1st",106,3000,0,9.1,6.6,0.88,17.2,2.5,7.5,0,0,0,"%",31,0,4,4.75,1.6
"Jason Smith","PF/CPFC","WAS","vs ORL","22nd",111,3000,0,11,7.1,0.7,23.5,4.1,10.1,0,0,0,"%",22,0,3,4.5,1.5
"Marreese Speights","PF/CPFC","ORL","@ WAS","21st",100,3000,2.4,28.8,12.1,0.99,30,6.8,12.2,13.26,13.72,13.72,"%",38,4.6,12,4.75,1.6
"Ian Clark","PG/SGPGSG","NOP","@ MIA","18th",106,3000,0,17.8,9.3,0.63,18.3,4.7,14.7,7.35,4.07,4.07,"%",26,1.4,22,25.5,8.5
"Salah Mejri","C","DAL","@ ATL","14th",101.75,3000,0,26,11.9,1.08,12.2,1.9,11,9.3,8.53,8.53,"%",27,2.8,10,8.5,2.8
"Sterling Brown","SG","MIL","@ CHA","19th",105.25,3000,7.5,17.2,6.4,0.91,20.9,2.8,7,12.72,11.7,11.7,"%",57,3.9,7,1.25,0.4
"TJ Leaf","SF/PFSFPF","IND","vs BKN","18th",112,3000,0,11,6.4,0.7,15.2,3,9.2,0,0,0,"%",14,0,4,6,2
"Justin Jackson","SG/SFSGSF","SAC","vs SAS","23rd",95,3000,3.2,22.8,9.7,0.53,16.2,6,18.2,20.2,11.59,11.59,"%",42,3.9,8,1.25,0.4
"Joffrey Lauvergne","PF/CPFC","SAS","@ SAC","25th",101,3000,0,20.6,10.1,0.93,19.7,3.9,10.9,7.84,7.9,7.9,"%",37,2.6,0,0,NA
"Sean Kilpatrick","PG/SGPGSG","MIL","@ CHA","19th",105.25,3000,0,19.7,9.5,0.87,22,5.2,10.9,6.06,5.36,5.36,"%",24,1.8,14,19.5,6.5
"Johnny O'Bryant","PF/CPFC","CHA","vs MIL","5th",106.25,3000,1.2,27.5,10.3,1.05,30.1,5.2,9.8,14.26,12.49,12.49,"%",27,4.2,8,7,2.3
"Treveon Graham","SG/SFSGSF","CHA","vs MIL","29th",106.25,3000,0,15.4,10.5,0.65,14.5,3.8,16.1,5.64,4.3,4.3,"%",47,1.4,28,18,6
"Marcus Georges-Hunt","SG/SFSGSF","MIN","@ PHX","18th",112.25,3000,0,9.6,2.2,0.46,15,1,4.8,7.84,3.6,3.6,"%",0,1.2,5,4.5,1.5
"Kobi Simmons","SG","MEM","vs LAC","6th",98,3000,0,10.5,4,0.55,10.6,1.8,7.3,6.6,3.35,3.35,"%",11,1.1,25,17,5.7
"Josh Huestis","SF/PFSFPF","OKC","@ UTA","6th",97.75,3000,0.6,16.9,7,0.58,14.7,2.6,12.1,15.75,7.59,7.59,"%",34,2.5,15,5.25,1.8
"Royce O'Neale","SF","UTA","vs OKC","10th",98.75,3000,0,17.2,8.2,0.78,18.6,2.7,10.5,0,0,0,"%",0,0,4,3.75,1.3
"Danuel House","SG/SFSGSF","PHX","vs MIN","11th",104.25,3000,3.9,12.5,7,0.55,18.5,3.8,12.8,14.4,7.59,7.59,"%",65,2.5,8,7.75,2.6
"Sindarius Thornwell","SG","LAC","@ MEM","13th",99,3000,0,16.6,8.3,0.55,14.1,3.2,15.2,10.4,5.19,5.19,"%",31,1.7,0,0,NA
"Deyonta Davis","PF/CPFC","MEM","vs LAC","26th",98,3000,0,19.5,9.6,0.88,14.9,2.6,10.9,6.6,6.43,6.43,"%",32,2.1,4,7.25,2.4
"Willie Reed","C","LAC","@ MEM","8th",99,3000,0,14.1,10.2,1.06,18.8,3,9.6,0,0,0,"%",31,0,10,4.5,1.5
"Brandan Wright","PF/CPFC","MEM","vs LAC","15th",98,3000,9.8,40,13.3,0.94,16.2,4.1,14.2,23,22.77,22.77,"%",35,7.6,11,10.5,3.5
"Jake Layman","SF/PFSFPF","POR","@ LAL","21st",99,3000,5.1,16.5,3.7,0.59,14.1,2.1,6.3,15.26,9.98,9.98,"%",12,3.3,0,0,NA
"Abdel Nader","PF","BOS","vs CHI","17th",105.75,3000,0,9.6,4.4,0.62,16,2.2,7.1,0,0,0,"%",0,0,14,6.5,2.2
"Derrick Walton Jr.","PG/SGPGSG","MIA","vs NOP","24th",102,3000,1.3,19.8,4.8,0.73,11.2,1.1,6.6,13.2,9.23,9.23,"%",0,3.1,11,7,2.3
