"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19","2017-12-20","2017-12-22"
"Steven Adams_OKC",NA,NA,20,NA,38,NA,NA,33.75,NA,NA,43.25,NA,0,NA,26.25,34.5
"Rodney Hood_UTA",NA,0,NA,0,0,NA,0,0,NA,NA,24.5,NA,19.75,NA,18.5,NA
"Spencer Dinwiddie_BKN",NA,NA,34.25,NA,NA,42,29.75,NA,NA,43,NA,50.25,NA,NA,28.25,28
"Mike Conley_MEM",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA
"Eric Bledsoe_MIL",NA,42.25,NA,37.75,NA,30.5,28.75,NA,36.75,NA,32.25,NA,27.25,38.75,NA,55.25
"Josh Richardson_MIA",NA,23,26.25,NA,35.5,NA,NA,NA,25,NA,19,NA,44.75,NA,35.5,42.5
"Taurean Prince_ATL",NA,NA,NA,20.5,NA,24,19,NA,29.5,41.75,NA,14.5,NA,NA,21.5,18.25
"Gary Harris_DEN",NA,26.25,NA,39.25,NA,32,37.75,NA,38.75,36.5,53.25,NA,NA,NA,0,29.5
"Rondae Hollis-Jefferson_BKN",NA,NA,0,NA,NA,18,37.5,NA,NA,36,NA,48.25,NA,NA,31.5,46.25
"Jeff Teague_MIN",NA,0,0,NA,31.25,NA,15.25,NA,35.75,23.75,NA,24.5,38.75,NA,36.5,NA
"James Johnson_MIA",NA,25.75,17.5,NA,24,NA,NA,NA,20.75,NA,34.5,NA,7.75,NA,0,0
"Thaddeus Young_IND",NA,NA,30.5,NA,26.75,NA,33,NA,28.75,NA,46,NA,NA,NA,20,NA
"Zach Randolph_SAC",23,18.75,NA,NA,48.75,33.25,NA,NA,48,34.75,NA,28.75,NA,34.25,36.5,NA
"Kawhi Leonard_SA",NA,NA,0,NA,0,NA,0,NA,0,26.5,NA,NA,0,NA,0,NA
"Andrew Wiggins_MIN",NA,23.5,48,NA,33.75,NA,21.25,NA,20.5,37.75,NA,24.25,23.25,NA,22.25,NA
"Goran Dragic_MIA",NA,17.5,13,NA,17,NA,NA,NA,22.5,NA,22.25,NA,19.5,NA,0,0
"Carmelo Anthony_OKC",NA,NA,30.75,NA,18,NA,NA,31.5,NA,NA,24.75,NA,21.25,NA,30.25,33.25
"Taj Gibson_MIN",NA,32.25,31,NA,16,NA,27.75,NA,43.5,32.5,NA,22.5,37.5,NA,22.25,NA
"Pau Gasol_SA",NA,NA,19,NA,25.5,NA,38.5,NA,24.25,13.75,NA,NA,2.75,NA,52.75,NA
"Otto Porter_WAS",NA,33.5,21,NA,38.25,NA,24,22,NA,21.75,31.25,NA,NA,0,NA,14
"Elfrid Payton_ORL",NA,NA,43.25,NA,33.5,NA,27.5,NA,25.25,NA,24.5,NA,NA,NA,35.5,31.25
"Dion Waiters_MIA",NA,32.25,27.25,NA,26.75,NA,NA,NA,33.75,NA,24.5,NA,28,NA,23.75,9.75
"Kelly Olynyk_MIA",NA,8.75,28.75,NA,23,NA,NA,NA,28.5,NA,20,NA,33.25,NA,48.75,23.5
"Jamal Murray_DEN",NA,14.75,NA,10.5,NA,44.5,28,NA,27.75,40.5,53.5,NA,NA,NA,45,14.5
"Evan Fournier_ORL",NA,NA,23.75,NA,33.75,NA,25.75,NA,37.5,NA,0,NA,NA,NA,0,0
"Will Barton_DEN",NA,14.5,NA,51.5,NA,34.5,46,NA,28.25,30,0,NA,NA,NA,24.25,26.25
"Jayson Tatum_BOS",NA,NA,NA,25.5,NA,33.5,26,NA,34,NA,25,NA,40.75,NA,24.25,NA
"Ricky Rubio_UTA",NA,30,NA,31.25,16.75,NA,18.75,22,NA,NA,25,NA,18.5,NA,8.5,NA
"Derrick Favors_UTA",NA,50.25,NA,35.5,43.75,NA,23.5,18.5,NA,NA,18,NA,0,NA,11.5,NA
"Kentavious Caldwell-Pope_LAL",46,NA,31.75,NA,NA,13,NA,NA,NA,41,NA,0,NA,NA,0,28.75
"Danilo Gallinari_LAC",0,NA,NA,0,NA,0,NA,NA,13.5,NA,0,NA,0,NA,0,0
"Rajon Rondo_NO",NA,NA,15.75,NA,40.5,38.5,38.75,NA,28.5,NA,18.25,NA,NA,6,NA,20.75
"Alex Len_PHO",NA,37.5,11.25,NA,NA,0,10.75,25.25,NA,25,31.5,NA,50.25,NA,24.25,NA
"Marcin Gortat_WAS",NA,19.25,12,NA,40.5,NA,20.25,26.75,NA,20.25,30.5,NA,NA,37.5,NA,12.25
"John Collins_ATL",NA,NA,NA,27.75,NA,0,0,NA,0,0,NA,29.25,NA,NA,29.25,32.25
"Jaylen Brown_BOS",NA,NA,NA,8.75,NA,27,19.25,NA,0,NA,39.75,NA,21.25,NA,29,NA
"Darren Collison_IND",NA,NA,21.5,NA,34.75,NA,41.5,NA,18.75,NA,24.75,NA,NA,NA,13.75,NA
"Domantas Sabonis_IND",NA,NA,14.25,NA,17,NA,29,NA,13.25,NA,15.5,NA,NA,NA,15.5,NA
"Austin Rivers_LAC",39,NA,NA,36.5,NA,19.75,NA,NA,35.5,NA,15.5,NA,0,NA,35.5,54
"Tyler Johnson_MIA",NA,6.25,24.25,NA,16,NA,NA,NA,35.75,NA,0,NA,13.5,NA,35.25,33.25
"Dewayne Dedmon_ATL",NA,NA,NA,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,0
"Justin Holiday_CHI",NA,49.25,NA,26.25,27.5,NA,31.5,NA,16,NA,21.5,NA,NA,NA,22.5,NA
"Marcus Smart_BOS",NA,NA,NA,19,NA,31.5,24,NA,7.25,NA,26.25,NA,22,NA,29,NA
"Julius Randle_LAL",16.75,NA,29.5,NA,NA,26.5,NA,NA,NA,21.5,NA,23.5,NA,NA,6.25,42.5
"Nicolas Batum_CHA",NA,NA,19.75,NA,25.75,NA,36.25,NA,30.25,NA,25.75,NA,38,NA,9.5,23.75
"Caris LeVert_BKN",NA,NA,31,NA,NA,15.25,33.5,NA,NA,31.25,NA,34.25,NA,NA,26.5,29
"Larry Nance_LAL",29,NA,22.5,NA,NA,10.5,NA,NA,NA,17.75,NA,29.5,NA,NA,32.25,9.5
"Al-Farouq Aminu_POR",NA,NA,NA,11.75,NA,13.25,NA,27,NA,NA,34.25,NA,9.25,NA,29.5,16.5
"Willie Cauley-Stein_SAC",43,23.5,NA,NA,28.75,5,NA,NA,0,23.5,NA,17.25,NA,21.5,26.25,NA
"Rudy Gay_SA",NA,NA,20.25,NA,27.25,NA,36.5,NA,35.25,35.75,NA,NA,16.5,NA,10.75,NA
"Jeremy Lamb_CHA",NA,NA,30.75,NA,24.5,NA,17.5,NA,14,NA,9.75,NA,20,NA,41.25,21
"Dennis Smith_DAL",NA,NA,16,NA,NA,24.25,30.25,NA,25,0,NA,0,0,NA,28.75,19
"Lauri Markkanen_CHI",NA,27,NA,33.25,22.75,NA,28.75,NA,20.5,NA,0,NA,NA,NA,17.25,NA
"Shabazz Napier_POR",NA,NA,NA,10.25,NA,32.75,NA,3,NA,NA,17.75,NA,13,NA,20.25,33
"Joe Ingles_UTA",NA,18,NA,24,32.25,NA,18.5,30,NA,NA,23.5,NA,31,NA,12,NA
"Danny Green_SA",NA,NA,17,NA,15.75,NA,29.5,NA,29.75,11.75,NA,NA,0,NA,16.5,NA
"Jabari Parker_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,0
"Jordan Clarkson_LAL",34,NA,41,NA,NA,21.75,NA,NA,NA,24,NA,17.75,NA,NA,9.75,13.25
"Denzel Valentine_CHI",NA,24.5,NA,23.75,17,NA,13.75,NA,32.5,NA,19.75,NA,NA,NA,40.5,NA
"DeMarre Carroll_BKN",NA,NA,33.25,NA,NA,28.5,29,NA,NA,29,NA,25.25,NA,NA,29.75,31.5
"Isaiah Canaan_PHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.25,NA,18.5,NA
"Mike Scott_WAS",NA,25.25,2.75,NA,10.25,NA,4.75,23.75,NA,15.75,18.25,NA,NA,31,NA,17.75
"JJ Barea_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"Zach LaVine_CHI",NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA
"Greg Monroe_PHO",NA,0,32.75,NA,NA,20,0,34,NA,0,37.25,NA,0,NA,0,NA
"Kyle Anderson_SA",NA,NA,25.5,NA,12,NA,0,NA,0,0,NA,NA,0,NA,23,NA
"Milos Teodosic_LAC",0,NA,NA,0,NA,0,NA,NA,0,NA,28.5,NA,28.5,NA,24.25,0
"JaMychal Green_MEM",NA,NA,23.5,NA,9.75,29.75,29.75,NA,11.75,NA,37.75,NA,15.5,NA,14.5,NA
"Yogi Ferrell_DAL",NA,NA,17.75,NA,NA,15.5,22,NA,23.75,32,NA,18.75,43.75,NA,25.25,34.5
"Bobby Portis_CHI",NA,17.25,NA,15.5,0,NA,26.75,NA,21.25,NA,24,NA,NA,NA,23.75,NA
"Marcus Morris_BOS",NA,NA,NA,29.25,NA,27,15.5,NA,0,NA,0,NA,0,NA,0,NA
"Alec Burks_UTA",NA,22.5,NA,53.25,35.75,NA,41.25,21,NA,NA,20.75,NA,8.75,NA,32.75,NA
"Kelly Oubre_WAS",NA,29.5,39.75,NA,19.75,NA,11.25,30,NA,26.25,22,NA,NA,16.5,NA,19
"E'Twaun Moore_NO",NA,NA,11,NA,30.25,22.75,39.5,NA,22.75,NA,34.25,NA,NA,22.5,NA,14.5
"Omri Casspi_GS",16,NA,0,NA,19.5,NA,4.25,NA,13.25,NA,NA,39.75,NA,NA,22,21.25
"Mason Plumlee_DEN",NA,4,NA,19.75,NA,28,18.75,NA,13.75,32.25,28.5,NA,NA,NA,40.5,30.25
"Wesley Matthews_DAL",NA,NA,15.25,NA,NA,20,22.75,NA,11.25,28.75,NA,13.5,22,NA,14.5,15.5
"Dirk Nowitzki_DAL",NA,NA,21.25,NA,NA,27.25,20,NA,26.5,11.5,NA,33.25,27.5,NA,21.5,31.5
"Ersan Ilyasova_ATL",NA,NA,NA,37.25,NA,24.25,15.5,NA,26.75,14.5,NA,28.75,NA,NA,17.75,30.75
"Buddy Hield_SAC",6.75,17.5,NA,NA,1.5,36,NA,NA,34,17.5,NA,14.25,NA,39.25,6,NA
"Mario Hezonja_ORL",NA,NA,4,NA,11.75,NA,0.75,NA,0,NA,41.75,NA,NA,NA,15,22
"Malcolm Brogdon_MIL",NA,25.5,NA,16.75,NA,21.75,17.5,NA,24.25,NA,19.75,NA,34.5,24.75,NA,32
"Wilson Chandler_DEN",NA,0,NA,0,NA,0,16.75,NA,16.5,25,26.75,NA,NA,NA,28.5,36.25
"Trey Lyles_DEN",NA,10,NA,22,NA,24.75,22,NA,35.25,26,21.5,NA,NA,NA,18.25,25.75
"Robin Lopez_CHI",NA,24.25,NA,29,28.25,NA,27.25,NA,24.75,NA,33.5,NA,NA,NA,24.25,NA
"Lance Stephenson_IND",NA,NA,24.5,NA,13.5,NA,18.75,NA,12,NA,22,NA,NA,NA,30,NA
"Brook Lopez_LAL",11.75,NA,11.75,NA,NA,27.75,NA,NA,NA,24.5,NA,13.75,NA,NA,0,0
"Tyson Chandler_PHO",NA,12.25,0,NA,NA,42.5,37.5,0,NA,25,0,NA,13.5,NA,10,NA
"George Hill_SAC",21.5,7.5,NA,NA,22.75,8.5,NA,NA,27.25,36.75,NA,24,NA,0,37.25,NA
"Bojan Bogdanovic_IND",NA,NA,19.25,NA,15.25,NA,28,NA,27,NA,29,NA,NA,NA,23.75,NA
"De'Aaron Fox_SAC",20,7.25,NA,NA,24.25,27.5,NA,NA,10.25,12,NA,4,NA,4.25,0,NA
"Tony Parker_SA",NA,NA,19.5,NA,13.75,NA,15.5,NA,28.75,18.25,NA,NA,0,NA,0,NA
"Dejounte Murray_SA",NA,NA,3,NA,3.5,NA,3.75,NA,0,0,NA,NA,28.5,NA,17.75,NA
"Markieff Morris_WAS",NA,7,9.5,NA,41.25,NA,15.75,22.5,NA,6.75,0,NA,NA,17.5,NA,16
"John Henson_MIL",NA,22.25,NA,29.5,NA,24,6.75,NA,21,NA,29.5,NA,17.5,31,NA,16
"Jordan Bell_GS",12.25,NA,15.5,NA,29,NA,6.25,NA,18.25,NA,NA,30.5,NA,NA,18,42
"Allen Crabbe_BKN",NA,NA,0,NA,NA,19.75,16.5,NA,NA,28.75,NA,10.5,NA,NA,21.25,20.5
"Patty Mills_SA",NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,0,NA
"Michael Kidd-Gilchrist_CHA",NA,NA,14.75,NA,25.25,NA,26.5,NA,11.75,NA,38.25,NA,21,NA,22.5,24.75
"Andre Iguodala_GS",19.25,NA,16,NA,0,NA,24,NA,29,NA,NA,20.75,NA,NA,0,5
"Terry Rozier_BOS",NA,NA,NA,12.5,NA,11.75,16,NA,25.25,NA,17,NA,21,NA,9.25,NA
"Evan Turner_POR",NA,NA,NA,19.25,NA,8,NA,5.75,NA,NA,15.5,NA,19.25,NA,18.25,14.5
"Bogdan Bogdanovic_SAC",18,11.5,NA,NA,29.75,22,NA,NA,18.5,24.75,NA,21.5,NA,8.75,20.25,NA
"Wesley Johnson_LAC",9.25,NA,NA,21.25,NA,16.5,NA,NA,21.75,NA,10.25,NA,10.25,NA,0,0
"Bam Adebayo_MIA",NA,31.5,18.75,NA,17.75,NA,NA,NA,14.75,NA,22.25,NA,17.75,NA,11.75,33
"Seth Curry_DAL",NA,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0
