"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Jameer Nelson",3500,"NO@POR 12/02/2017 10:00PM ET",18.105,"NO"
"PG/SG","Shabazz Napier",3500,"NO@POR 12/02/2017 10:00PM ET",13.694,"POR"
"PF","Caleb Swanigan",3500,"NO@POR 12/02/2017 10:00PM ET",8.038,"POR"
"PG/SF","DeAndre Liggins",3500,"SAC@MIL 12/02/2017 08:30PM ET",7.794,"MIL"
"PF/C","Channing Frye",3400,"MEM@CLE 12/02/2017 07:30PM ET",9.888,"CLE"
"PG/SG","Andrew Harrison",3400,"MEM@CLE 12/02/2017 07:30PM ET",9.893,"MEM"
"PF/C","Jarell Martin",3400,"MEM@CLE 12/02/2017 07:30PM ET",12.132,"MEM"
"SG/SF","Pat Connaughton",3400,"NO@POR 12/02/2017 10:00PM ET",11.875,"POR"
"SF","Darius Miller",3400,"NO@POR 12/02/2017 10:00PM ET",11.952,"NO"
"SF/PF","Maurice Harkless",3400,"NO@POR 12/02/2017 10:00PM ET",13.932,"POR"
"PG/SG","Jerryd Bayless",3400,"DET@PHI 12/02/2017 07:30PM ET",17.417,"PHI"
"SG","Luke Kennard",3400,"DET@PHI 12/02/2017 07:30PM ET",11.817,"DET"
"SF/PF","Anthony Tolliver",3400,"DET@PHI 12/02/2017 07:30PM ET",14.191,"DET"
"C","Ivica Zubac",3400,"LAL@DEN 12/02/2017 09:00PM ET",1.6,"LAL"
"PF/C","Skal Labissiere",3400,"SAC@MIL 12/02/2017 08:30PM ET",16.095,"SAC"
"C","Kosta Koufos",3400,"SAC@MIL 12/02/2017 08:30PM ET",16.262,"SAC"
"PF/C","Brandan Wright",3300,"MEM@CLE 12/02/2017 07:30PM ET",13.983,"MEM"
"PF/C","Ed Davis",3300,"NO@POR 12/02/2017 10:00PM ET",16.773,"POR"
"SF/PF","Dante Cunningham",3300,"NO@POR 12/02/2017 10:00PM ET",12.333,"NO"
"SG/SF","Justin Jackson",3300,"SAC@MIL 12/02/2017 08:30PM ET",9.618,"SAC"
"PF/C","Deyonta Davis",3200,"MEM@CLE 12/02/2017 07:30PM ET",9.781,"MEM"
"PF/C","Ante Zizic",3200,"MEM@CLE 12/02/2017 07:30PM ET",3.536,"CLE"
"PF/C","Meyers Leonard",3200,"NO@POR 12/02/2017 10:00PM ET",8.964,"POR"
"PG/SG","Ian Clark",3200,"NO@POR 12/02/2017 10:00PM ET",9.944,"NO"
"SG/SF","Timothe Luwawu-Cabarrot",3200,"DET@PHI 12/02/2017 07:30PM ET",11.7,"PHI"
"PG/SG","Matthew Dellavedova",3200,"SAC@MIL 12/02/2017 08:30PM ET",12.962,"MIL"
"SF/PF","Mirza Teletovic",3200,"SAC@MIL 12/02/2017 08:30PM ET",13.175,"MIL"
"SG/SF","Tony Allen",3100,"NO@POR 12/02/2017 10:00PM ET",10,"NO"
"PF","Cheick Diallo",3100,"NO@POR 12/02/2017 10:00PM ET",5.55,"NO"
"PG/SG","Langston Galloway",3100,"DET@PHI 12/02/2017 07:30PM ET",11.395,"DET"
"PG","Jose Calderon",3000,"MEM@CLE 12/02/2017 07:30PM ET",6.923,"CLE"
"PF/C","Ivan Rabb",3000,"MEM@CLE 12/02/2017 07:30PM ET",0,"MEM"
"PF","Vince Hunter",3000,"MEM@CLE 12/02/2017 07:30PM ET",0,"MEM"
"PG/SG","Wayne Selden Jr.",3000,"MEM@CLE 12/02/2017 07:30PM ET",8.25,"MEM"
"SG/SF","Cedi Osman",3000,"MEM@CLE 12/02/2017 07:30PM ET",4.771,"CLE"
"SG/SF","John Holland",3000,"MEM@CLE 12/02/2017 07:30PM ET",1.833,"CLE"
"SG","Kobi Simmons",3000,"MEM@CLE 12/02/2017 07:30PM ET",2,"MEM"
"PG","London Perrantes",3000,"MEM@CLE 12/02/2017 07:30PM ET",0,"CLE"
"SF/PF","Solomon Hill",3000,"NO@POR 12/02/2017 10:00PM ET",0,"NO"
"SF","Jalen Jones",3000,"NO@POR 12/02/2017 10:00PM ET",2.667,"NO"
"C","Omer Asik",3000,"NO@POR 12/02/2017 10:00PM ET",7.25,"NO"
"SG","Charles Cooke",3000,"NO@POR 12/02/2017 10:00PM ET",2.75,"NO"
"C","Alexis Ajinca",3000,"NO@POR 12/02/2017 10:00PM ET",0,"NO"
"PG","Frank Jackson",3000,"NO@POR 12/02/2017 10:00PM ET",0,"NO"
"PF/C","Zach Collins",3000,"NO@POR 12/02/2017 10:00PM ET",1.571,"POR"
"SG/SF","C.J. Wilcox",3000,"NO@POR 12/02/2017 10:00PM ET",0,"POR"
"SF/PF","Jake Layman",3000,"NO@POR 12/02/2017 10:00PM ET",3.425,"POR"
"PG/SG","Wade Baldwin IV",3000,"NO@POR 12/02/2017 10:00PM ET",0,"POR"
"C","Jahlil Okafor",3000,"DET@PHI 12/02/2017 07:30PM ET",12.625,"PHI"
"C","Boban Marjanovic",3000,"DET@PHI 12/02/2017 07:30PM ET",8.417,"DET"
"SF","Luis Montero",3000,"DET@PHI 12/02/2017 07:30PM ET",0,"DET"
"PG/SF","Nik Stauskas",3000,"DET@PHI 12/02/2017 07:30PM ET",2.563,"PHI"
"PF/C","Jon Leuer",3000,"DET@PHI 12/02/2017 07:30PM ET",11.813,"DET"
"PF/C","Henry Ellenson",3000,"DET@PHI 12/02/2017 07:30PM ET",11.179,"DET"
"PF","James Michael McAdoo",3000,"DET@PHI 12/02/2017 07:30PM ET",5,"PHI"
"SG/SF","Reggie Bullock",3000,"DET@PHI 12/02/2017 07:30PM ET",7.091,"DET"
"PF/C","Eric Moreland",3000,"DET@PHI 12/02/2017 07:30PM ET",8.279,"DET"
"SF/PF","Justin Anderson",3000,"DET@PHI 12/02/2017 07:30PM ET",9.875,"PHI"
"SG/SF","Furkan Korkmaz",3000,"DET@PHI 12/02/2017 07:30PM ET",2.25,"PHI"
"PG","Jacob Pullen",3000,"DET@PHI 12/02/2017 07:30PM ET",0,"PHI"
"PG","Dwight Buycks",3000,"DET@PHI 12/02/2017 07:30PM ET",0,"DET"
"SG/SF","Corey Brewer",3000,"LAL@DEN 12/02/2017 09:00PM ET",7.881,"LAL"
"SG","Malik Beasley",3000,"LAL@DEN 12/02/2017 09:00PM ET",6.139,"DEN"
"PG/SG","Josh Hart",3000,"LAL@DEN 12/02/2017 09:00PM ET",7.891,"LAL"
"SF/PF","Richard Jefferson",3000,"LAL@DEN 12/02/2017 09:00PM ET",3,"DEN"
"C","Andrew Bogut",3000,"LAL@DEN 12/02/2017 09:00PM ET",7.304,"LAL"
"PG","Monte Morris",3000,"LAL@DEN 12/02/2017 09:00PM ET",0,"DEN"
"SF/PF","Luol Deng",3000,"LAL@DEN 12/02/2017 09:00PM ET",5,"LAL"
"SG/SF","Torrey Craig",3000,"LAL@DEN 12/02/2017 09:00PM ET",1.25,"DEN"
"PF","Darrell Arthur",3000,"LAL@DEN 12/02/2017 09:00PM ET",4.375,"DEN"
"PF/C","Thomas Bryant",3000,"LAL@DEN 12/02/2017 09:00PM ET",0,"LAL"
"PG/SG","Tyler Ennis",3000,"LAL@DEN 12/02/2017 09:00PM ET",4.725,"LAL"
"PG/SG","Alex Caruso",3000,"LAL@DEN 12/02/2017 09:00PM ET",4.75,"LAL"
"PG/SG","Vander Blue",3000,"LAL@DEN 12/02/2017 09:00PM ET",0.938,"LAL"
"PF","Tyler Lydon",3000,"LAL@DEN 12/02/2017 09:00PM ET",0,"DEN"
"SG/SF","Vince Carter",3000,"SAC@MIL 12/02/2017 08:30PM ET",6.875,"SAC"
"PF/C","Harry Giles",3000,"SAC@MIL 12/02/2017 08:30PM ET",0,"SAC"
"SF/PF","Jakarr Sampson",3000,"SAC@MIL 12/02/2017 08:30PM ET",6.875,"SAC"
"PF","Jack Cooley",3000,"SAC@MIL 12/02/2017 08:30PM ET",4.75,"SAC"
"C","Georgios Papagiannis",3000,"SAC@MIL 12/02/2017 08:30PM ET",5.313,"SAC"
"SG/SF","Malachi Richardson",3000,"SAC@MIL 12/02/2017 08:30PM ET",6.979,"SAC"
"PG/SG","Jason Terry",3000,"SAC@MIL 12/02/2017 08:30PM ET",5.107,"MIL"
"PG/SF","Rashad Vaughn",3000,"SAC@MIL 12/02/2017 08:30PM ET",4.75,"MIL"
"PF/C","D.J. Wilson",3000,"SAC@MIL 12/02/2017 08:30PM ET",1.906,"MIL"
"SG","Gary Payton II",3000,"SAC@MIL 12/02/2017 08:30PM ET",4,"MIL"
"PF","Joel Bolomboy",3000,"SAC@MIL 12/02/2017 08:30PM ET",3,"MIL"
"SG","Sterling Brown",3000,"SAC@MIL 12/02/2017 08:30PM ET",4.45,"MIL"
