"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Wayne Selden",3000,"MEM@CLE 12/02/2017 07:30PM ET",8.25,"MEM","CLE",0,0,0
"SG/SF","Cedi Osman",3000,"MEM@CLE 12/02/2017 07:30PM ET",4.771,"CLE","MEM",6.11,0,0
"SG/SF","John Holland",3000,"MEM@CLE 12/02/2017 07:30PM ET",1.833,"CLE","MEM",0,0,0
"SG","Kobi Simmons",3000,"MEM@CLE 12/02/2017 07:30PM ET",2,"MEM","CLE",0,0,0
"PG","London Perrantes",3000,"MEM@CLE 12/02/2017 07:30PM ET",0,"CLE","MEM",0,0,0
"SF/PF","Solomon Hill",3000,"NO@POR 12/02/2017 10:00PM ET",0,"NO","POR",0,0,0
"SF","Jalen Jones",3000,"NO@POR 12/02/2017 10:00PM ET",2.667,"NO","POR",0,0,0
"C","Omer Asik",3000,"NO@POR 12/02/2017 10:00PM ET",7.25,"NO","POR",5.3,0,11.25
"SG","Charles Cooke",3000,"NO@POR 12/02/2017 10:00PM ET",2.75,"NO","POR",0,0,0
"C","Alexis Ajinca",3000,"NO@POR 12/02/2017 10:00PM ET",0,"NO","POR",0,0,0
"PG","Frank Jackson",3000,"NO@POR 12/02/2017 10:00PM ET",0,"NO","POR",0,0,0
"PF/C","Zach Collins",3000,"NO@POR 12/02/2017 10:00PM ET",1.571,"POR","NO",0,0,0
"SG/SF","CJ Wilcox",3000,"NO@POR 12/02/2017 10:00PM ET",0,"POR","NO",0,0,0
"SF/PF","Jake Layman",3000,"NO@POR 12/02/2017 10:00PM ET",3.425,"POR","NO",0,0,0
"PG/SG","Wade Baldwin IV",3000,"NO@POR 12/02/2017 10:00PM ET",0,"POR","NO",0,0,0
"C","Jahlil Okafor",3000,"DET@PHI 12/02/2017 07:30PM ET",12.625,"PHI","DET",0,0,0
"C","Boban Marjanovic",3000,"DET@PHI 12/02/2017 07:30PM ET",8.417,"DET","PHI",0,0,7.5
"SF","Luis Montero",3000,"DET@PHI 12/02/2017 07:30PM ET",0,"DET","PHI",0,0,0
"PG/SF","Nik Stauskas",3000,"DET@PHI 12/02/2017 07:30PM ET",2.563,"PHI","DET",6.92,0,3.5
"PF/C","Jon Leuer",3000,"DET@PHI 12/02/2017 07:30PM ET",11.813,"DET","PHI",0,0,0
"PF/C","Henry Ellenson",3000,"DET@PHI 12/02/2017 07:30PM ET",11.179,"DET","PHI",0,0,0
"PF","James Michael McAdoo",3000,"DET@PHI 12/02/2017 07:30PM ET",5,"PHI","DET",0,0,0
"SG/SF","Reggie Bullock",3000,"DET@PHI 12/02/2017 07:30PM ET",7.091,"DET","PHI",0,0,0
"PF/C","Eric Moreland",3000,"DET@PHI 12/02/2017 07:30PM ET",8.279,"DET","PHI",7.37,0,2.25
"SF/PF","Justin Anderson",3000,"DET@PHI 12/02/2017 07:30PM ET",9.875,"PHI","DET",0,0,0
"SG/SF","Furkan Korkmaz",3000,"DET@PHI 12/02/2017 07:30PM ET",2.25,"PHI","DET",0,0,0
"PG","Jacob Pullen",3000,"DET@PHI 12/02/2017 07:30PM ET",0,"PHI","DET",0,0,0
"PG","Dwight Buycks",3000,"DET@PHI 12/02/2017 07:30PM ET",0,"DET","PHI",0,0,0
"SG/SF","Corey Brewer",3000,"LAL@DEN 12/02/2017 09:00PM ET",7.881,"LAL","DEN",6.6,0,0
"SG","Malik Beasley",3000,"LAL@DEN 12/02/2017 09:00PM ET",6.139,"DEN","LAL",0,0,0
"PG/SG","Josh Hart",3000,"LAL@DEN 12/02/2017 09:00PM ET",7.891,"LAL","DEN",0,0,23.25
"SF/PF","Richard Jefferson",3000,"LAL@DEN 12/02/2017 09:00PM ET",3,"DEN","LAL",7.35,0,7.75
"C","Andrew Bogut",3000,"LAL@DEN 12/02/2017 09:00PM ET",7.304,"LAL","DEN",5.32,0,0
"PG","Monte Morris",3000,"LAL@DEN 12/02/2017 09:00PM ET",0,"DEN","LAL",0,0,0
"SF/PF","Luol Deng",3000,"LAL@DEN 12/02/2017 09:00PM ET",5,"LAL","DEN",0,0,0
"SG/SF","Torrey Craig",3000,"LAL@DEN 12/02/2017 09:00PM ET",1.25,"DEN","LAL",0,0,0
"PF","Darrell Arthur",3000,"LAL@DEN 12/02/2017 09:00PM ET",4.375,"DEN","LAL",6.46,0,0
"PF/C","Thomas Bryant",3000,"LAL@DEN 12/02/2017 09:00PM ET",0,"LAL","DEN",0,0,0
"PG/SG","Tyler Ennis",3000,"LAL@DEN 12/02/2017 09:00PM ET",4.725,"LAL","DEN",0,0,0
"PG/SG","Alex Caruso",3000,"LAL@DEN 12/02/2017 09:00PM ET",4.75,"LAL","DEN",0,0,0
"PG/SG","Vander Blue",3000,"LAL@DEN 12/02/2017 09:00PM ET",0.938,"LAL","DEN",0,0,0
"PF","Tyler Lydon",3000,"LAL@DEN 12/02/2017 09:00PM ET",0,"DEN","LAL",0,0,0
"SG/SF","Vince Carter",3000,"SAC@MIL 12/02/2017 08:30PM ET",6.875,"SAC","MIL",5.06,0,0
"PF/C","Harry Giles",3000,"SAC@MIL 12/02/2017 08:30PM ET",0,"SAC","MIL",0,0,0
"SF/PF","Jakarr Sampson",3000,"SAC@MIL 12/02/2017 08:30PM ET",6.875,"SAC","MIL",0,0,0
"PF","Jack Cooley",3000,"SAC@MIL 12/02/2017 08:30PM ET",4.75,"SAC","MIL",0,0,0
"C","Georgios Papagiannis",3000,"SAC@MIL 12/02/2017 08:30PM ET",5.313,"SAC","MIL",0,0,0
"SG/SF","Malachi Richardson",3000,"SAC@MIL 12/02/2017 08:30PM ET",6.979,"SAC","MIL",0,0,0
"PG/SG","Jason Terry",3000,"SAC@MIL 12/02/2017 08:30PM ET",5.107,"MIL","SAC",9.7,0,10.75
"PG/SF","Rashad Vaughn",3000,"SAC@MIL 12/02/2017 08:30PM ET",4.75,"MIL","SAC",0,0,0
"PF/C","DJ Wilson",3000,"SAC@MIL 12/02/2017 08:30PM ET",1.906,"MIL","SAC",0,0,0
"SG","Gary Payton II",3000,"SAC@MIL 12/02/2017 08:30PM ET",4,"MIL","SAC",0,0,0
"PF","Joel Bolomboy",3000,"SAC@MIL 12/02/2017 08:30PM ET",3,"MIL","SAC",0,0,0
"SG","Sterling Brown",3000,"SAC@MIL 12/02/2017 08:30PM ET",4.45,"MIL","SAC",0,0,0
