"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,944697351,"divannurse78 (3/13)",0,334,"C Joel Embiid PG Stephen Curry SG Devin Booker UTIL Jrue Holiday G Rajon Rondo F Mason Plumlee SF E'Twaun Moore PF Michael Beasley",NA,"Michael Beasley","F","90.19%",14.25
2,945013616,"chopkins07 (2/2)",0,327.25,"PF Giannis Antetokounmpo C Joel Embiid PG Kemba Walker G Jrue Holiday UTIL J.J. Barea SG Alec Burks F E'Twaun Moore SF Michael Beasley",NA,"Enes Kanter","PF","74.49%",16
3,945097700,"Louisianimal",0,326,"PF Kevin Love C Al Horford UTIL Kemba Walker F Tyreke Evans G Jimmy Butler PG Rajon Rondo SG Alec Burks SF Michael Beasley",NA,"Mason Plumlee","C","71.15%",18.75
4,944697350,"divannurse78 (2/13)",0,319.5,"UTIL Ben Simmons C Joel Embiid SF Devin Booker SG Jrue Holiday G Rajon Rondo PG Jarrett Jack F E'Twaun Moore PF Michael Beasley",NA,"DeMarcus Cousins","UTIL","61.41%",58.75
5,944687548,"Hallemary",0,319.25,"UTIL Stephen Curry PF Kevin Durant C Draymond Green G Jimmy Butler PG Jrue Holiday F Marvin Williams SG E'Twaun Moore SF Michael Beasley",NA,"Joel Embiid","C","30.73%",49.5
5,944743219,"benpat3",0,319.25,"PG Stephen Curry C Marc Gasol SG Devin Booker SF Robert Covington G Jrue Holiday F Kenneth Faried PF Amir Johnson UTIL E'Twaun Moore",NA,"Alec Burks","SG","30.54%",41.25
7,944760311,"jeremyo316",0,318.75,"C Joel Embiid SG Stephen Curry SF Devin Booker PG Darren Collison G J.J. Redick F Mason Plumlee UTIL Alec Burks PF Michael Beasley",NA,"Elfrid Payton","G","29.74%",27.5
8,944655281,"rollherd (6/18)",0,316.25,"UTIL Giannis Antetokounmpo SF Devin Booker PG Kemba Walker F Justin Holiday C Dario Saric G J.J. Redick SG Alec Burks PF Michael Beasley",NA,"Rajon Rondo","PG","29.41%",38.75
8,944660865,"rollherd (8/18)",0,316.25,"UTIL Giannis Antetokounmpo SF Devin Booker PG Kemba Walker F Justin Holiday C Dario Saric G J.J. Redick SG Alec Burks PF Michael Beasley",NA,"Jrue Holiday","PG","29.39%",50
10,945072346,"gk723",0,315.25,"PF DeMarcus Cousins C Joel Embiid UTIL Tyreke Evans PG Jrue Holiday F Mason Plumlee G Alec Burks SG E'Twaun Moore SF Michael Beasley",NA,"E'Twaun Moore","SG","28.59%",39.5
11,944527716,"arnoldo21 (1/3)",0,314.75,"PF Giannis Antetokounmpo F Devin Booker G Kemba Walker SG Tyreke Evans PG Rajon Rondo UTIL Rudy Gay SF Michael Beasley C Miles Plumlee",NA,"Kevin Durant","SF","18.34%",38.25
11,944900937,"arnoldo21 (2/3)",0,314.75,"PF Giannis Antetokounmpo F Devin Booker G Kemba Walker SG Tyreke Evans PG Rajon Rondo UTIL Rudy Gay SF Michael Beasley C Miles Plumlee",NA,"J.J. Redick","SG","17.73%",30.25
11,944900949,"arnoldo21 (3/3)",0,314.75,"PF Giannis Antetokounmpo F Devin Booker G Kemba Walker SG Tyreke Evans PG Rajon Rondo UTIL Rudy Gay SF Michael Beasley C Miles Plumlee",NA,"Ben Simmons","G","17.16%",51
14,945106581,"darrenmccrory1029",0,314.5,"UTIL Giannis Antetokounmpo C Joel Embiid SF Devin Booker G Kris Dunn F Mason Plumlee PG Alec Burks SG E'Twaun Moore PF Michael Beasley",NA,"Marc Gasol","UTIL","17.10%",38.75
15,945149765,"seminoles23",0,314.25,"SG Devin Booker PF Al Horford C Nikola Vucevic SF Otto Porter G Darren Collison PG Dwyane Wade F Dario Saric UTIL Alec Burks",NA,"Giannis Antetokounmpo","F","15.82%",55.25
16,944697349,"divannurse78 (1/13)",0,313.5,"C Joel Embiid SF Kevin Durant SG Devin Booker UTIL Jrue Holiday PG Rajon Rondo F Mason Plumlee G E'Twaun Moore PF Michael Beasley",NA,"Kemba Walker","PG","15.52%",50.5
17,945115241,"NIKETWP (1/20)",0,311.75,"UTIL DeMarcus Cousins G Stephen Curry F Devin Booker C Enes Kanter PF Mason Plumlee PG Alec Burks SG E'Twaun Moore SF Michael Beasley",NA,"Jimmy Butler","G","14.48%",48
17,945115385,"NIKETWP (2/20)",0,311.75,"UTIL DeMarcus Cousins G Stephen Curry F Devin Booker C Enes Kanter PF Mason Plumlee PG Alec Burks SG E'Twaun Moore SF Michael Beasley",NA,"Ersan Ilyasova","PF","12.77%",15.5
