"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"LeBron James","SF/PFSFPF","CLE","vs SAC","2nd",110.5,11600,30,77.8,55.8,1.52,30.4,18.7,36.6,35.75,50.48,50.48,"%",76,4.4,41,69.75,6
"DeMarcus Cousins","PF/CPFC","NOP","vs DEN","20th",113.5,11300,36.1,78.9,54.7,1.56,34.1,19.1,35,36.14,54.46,54.46,"%",78,4.8,39,81,7.2
"Giannis Antetokounmpo","SF/PFSFPF","MIL","vs DET","28th",104,11100,41.3,66.5,55.5,1.52,34.9,20.1,36.6,36.1,52.13,52.13,"%",87,4.7,37,49,4.4
"Kevin Durant","SF/PFSFPF","GSW","@ CHA","27th",109.75,10100,43.1,66.8,45.1,1.34,29.4,17.5,33.7,35.2,53.22,53.22,"%",85,5.3,35,72.25,7.2
"Andre Drummond","C","DET","@ MIL","28th",100,9100,36,70.5,44.2,1.35,21.1,10.2,32.8,33.22,50.79,50.79,"%",78,5.6,37,62,6.8
"Victor Oladipo","PG/SGPGSG","IND","vs CHI","30th",108.5,8900,28.5,68,41,1.25,30.6,17.4,32.7,33.1,45.41,45.41,"%",72,5.1,38,45.5,5.1
"Kyrie Irving","PG","BOS","vs DAL","23rd",104.25,8500,29.1,69.4,38.6,1.24,32.3,17.8,31.2,35.14,46.38,46.38,"%",70,5.5,32,35.5,4.2
"Kevin Love","PF/CPFC","CLE","vs SAC","28th",110.5,8400,28.4,69.8,38.2,1.32,27,12.9,28.9,30.29,46.13,46.13,"%",69,5.5,29,38.75,4.6
"Dennis Schroder","PG","ATL","@ ORL","29th",105.25,8200,29.4,54.9,35.1,1.11,30.3,17.5,31.5,34.46,40.35,40.35,"%",79,4.9,39,46.25,5.6
"LaMarcus Aldridge","PF/CPFC","SAS","vs MIA","2nd",102.5,8100,19.1,52.6,40.2,1.23,29.2,17.3,32.8,33.3,33.47,33.47,"%",76,4.1,32,24.5,3
"Karl-Anthony Towns","C","MIN","@ LAC","16th",108.25,8100,21.7,59.1,40.8,1.19,23.7,14.3,34.2,34.78,37.74,37.74,"%",74,4.7,39,53.5,6.6
"Kristaps Porzingis","PF/CPFC","NYK","vs MEM","9th",99.75,8100,21.4,70.5,41.1,1.32,36.6,19.3,31.1,33.9,42.48,42.48,"%",66,5.2,34,28.75,3.5
"Aaron Gordon","SF/PFSFPF","ORL","vs ATL","22nd",111.25,8100,19.7,64.9,36.5,1.11,22.3,13.2,32.9,35.65,39.07,39.07,"%",65,4.8,45,48.25,6
"Marc Gasol","C","MEM","@ NYK","6th",97.75,8000,20.9,57.9,40.8,1.2,28.7,15.8,34.1,34.93,36.75,36.75,"%",74,4.6,34,34.5,4.3
"Kemba Walker","PG","CHA","vs GSW","10th",105.75,7800,20.2,58.8,38.9,1.12,26.6,16.5,34.7,34.75,36.73,36.73,"%",72,4.7,36,44,5.6
"Jimmy Butler","SG","MIN","@ LAC","28th",108.25,7600,31.4,66.4,36.7,1.01,23.3,14.8,36.2,37.8,46.38,46.38,"%",73,6.1,42,40.5,5.3
"Tyreke Evans","SG/SFSGSF","MEM","@ NYK","19th",97.75,7600,20.3,58.8,33.2,1.15,27.5,13.6,28.8,32.36,36.79,36.79,"%",67,4.8,32,22.25,2.9
"Nikola Vucevic","C","ORL","vs ATL","10th",111.25,7500,19.8,60.1,36,1.24,24.7,14,29.1,31.64,37.08,37.08,"%",68,4.9,39,61.5,8.2
"Klay Thompson","SG","GSW","@ CHA","14th",109.75,7400,22.9,48.5,33.4,1.02,23.9,16,32.8,33.89,33.86,33.86,"%",78,4.6,36,32,4.3
"Al Horford","PF/CPFC","BOS","vs DAL","14th",104.25,7400,24.7,47.8,35.3,1.1,18.5,10,32.1,32.54,34.62,34.62,"%",81,4.7,32,50.5,6.8
"Dwight Howard","C","CHA","vs GSW","8th",105.75,7300,10.7,50.5,34.6,1.21,26.5,10,28.7,25.22,27.77,27.77,"%",67,3.8,29,26.75,3.7
"Louis Williams","PG/SGPGSG","LAC","vs MIN","4th",103.25,7100,18,60.6,30.8,1.05,28.1,13.9,29.2,36.84,36.25,36.25,"%",60,5.1,36,42.25,6
"Will Barton","SG/SFSGSF","DEN","@ NOP","15th",108.5,6900,16.4,57.3,29.9,1.01,22.3,12,29.6,33.08,33.94,33.94,"%",61,4.9,34,28.25,4.1
