"Place_lo","Place_hi","Payout"
"1","1","20000"
"2","2","15000"
"3","3","10000"
"4","4","7000"
"5","5","5000"
"6","6","4000"
"7","7","3000"
"8","8","2000"
"9","10","1500"
"11","15","1000"
"16","20","750"
"21","25","500"
"26","35","400"
"36","45","300"
"46","65","200"
"66","100","150"
"101","150","125"
"151","270","100"
"271","500","75"
"501","950","60"
"951","1770","50"
