"Karl-Anthony Towns_MIN","LaMarcus Aldridge_SA","Blake Griffin_LAC","Kawhi Leonard_SA","Jimmy Butler_MIN","Hassan Whiteside_MIA","Lou Williams_LAC","DeAndre Jordan_LAC","Andrew Wiggins_MIN","Jeff Teague_MIN","Taj Gibson_MIN","Goran Dragic_MIA","Austin Rivers_LAC","Pau Gasol_SA","Dion Waiters_MIA","Danilo Gallinari_LAC","James Johnson_MIA","Rudy Gay_SA","Kyle Anderson_SA","Kelly Olynyk_MIA","Danny Green_SA","Josh Richardson_MIA","Wesley Johnson_LAC","Patty Mills_SA","Bam Adebayo_MIA","Tyler Johnson_MIA","Justise Winslow_MIA","Gorgui Dieng_MIN","Milos Teodosic_LAC","Montrezl Harrell_LAC","Tyus Jones_MIN","Manu Ginobili_SA","Tony Parker_SA","Wayne Ellington_MIA","Jamal Crawford_MIN","Nemanja Bjelica_MIN","Shabazz Muhammad_MIN","Bryn Forbes_SA","Dejounte Murray_SA","Sam Dekker_LAC","Brandon Paul_SA","Jamil Wilson_LAC","Sindarius Thornwell_LAC","Aaron Brooks_MIN","Patrick Beverley_LAC","Cole Aldrich_MIN","CJ Williams_LAC","Willie Reed_LAC","Anthony Brown_MIN","Marcus Georges-Hunt_MIN","Brice Johnson_LAC","Jawun Evans_LAC","Justin Patton_MIN","Udonis Haslem_MIA","Rodney McGruder_MIA","Okaro White_MIA","Davis Bertans_SA","Darrun Hilliard_SA","AJ Hammons_MIA","Matt Williams_MIA","Matt Costello_SA","Joffrey Lauvergne_SA","Derrick Walton_MIA","Jordan Mickey_MIA","Derrick White_SA"
0,-61.2083333333333,0,0,0,0,0,0,0,0,0,0,0,98.5833333333333,0,0,0,80.4375,-123.5,0,69.0625,0,0,0,0,0,0,0,0,0,0,31.6875,-15.4375,0,0,0,0,-49.0208333333333,3.52083333333333,0,5.95833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.645833333333,0,0,0,0,-5.14583333333333,0,0,0
0,0,0,0,0,62.125,0,0,0,0,0,3.875,0,0,9.25,0,7.9375,0,0,-29.25,0,-14.9375,0,0,23.3125,-23.25,-15.9375,0,0,0,0,0,0,-13.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6875,-3.375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,59.1666666666667,0,0,0,0,0,10.6666666666667,0,0,7.9375,0,18.8958333333333,0,0,-37.8854166666667,0,1.90625,0,0,20.4583333333333,-36.53125,-0.354166666666667,0,0,0,0,0,0,17.8020833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41666666666667,-11.0625,0
0,-58,0,0,0,0,0,0,0,0,0,0,0,80.4375,0,0,0,66.4375,-103.3125,0,53.59375,0,0,0,0,0,0,0,0,0,0,35.3125,-14.84375,0,0,0,0,-35.96875,3,0,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.25,0,0,0,0,-1.78125,0,0,0
0,102.125,0,0,0,0,0,0,0,0,0,0,0,-123.5,0,0,0,-103.3125,162.75,0,-77.8125,0,0,0,0,0,0,0,0,0,0,-69.5625,26.4375,0,0,0,0,48.6875,-4.8125,0,-9.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-120.6875,0,0,0,0,-1.1875,0,0,0
0,0,0,0,0,-202.645833333333,0,0,0,0,0,-20.0208333333333,0,0,-29.25,0,-37.8854166666667,0,0,106.020833333333,0,31.65625,0,0,-74.1979166666667,91.0625,36.3020833333333,0,0,0,0,0,0,12.3020833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.5520833333333,19.3125,0
0,-15.3125,0,0,0,0,0,0,0,0,0,0,0,69.0625,0,0,0,53.59375,-77.8125,0,57.8125,0,0,0,0,0,0,0,0,0,0,-10.15625,-3.125,0,0,0,0,-48.125,2.03125,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.46875,0,0,0,0,-11.875,0,0,0
0,0,0,0,0,-93.1875,0,0,0,0,0,2.6875,0,0,-14.9375,0,1.90625,0,0,31.65625,0,42.0625,0,0,-37.09375,17.34375,41.96875,0,0,0,0,0,0,58.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.53125,-4.5,0
0,0,-161.21875,0,0,0,0,39.9479166666667,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,36.5208333333333,0,0,0,0,0,0,63.0520833333333,0,0,0,0,0,0,0,0,0,-22.1979166666667,0,27.0520833333333,-4.375,0,0,0,-4.88541666666667,37.375,0,0,2.8125,18.4583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
