"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Terrance Ferguson",3000,"ATL@OKC 12/22/2017 08:00PM ET",2.413,"OKC"
"PF/C","Udonis Haslem",3000,"DAL@MIA 12/22/2017 08:00PM ET",2.15,"MIA"
"PF/C","Josh McRoberts",3000,"DAL@MIA 12/22/2017 08:00PM ET",0,"DAL"
"SG/SF","Rodney McGruder",3000,"DAL@MIA 12/22/2017 08:00PM ET",0,"MIA"
"SF/PF","Okaro White",3000,"DAL@MIA 12/22/2017 08:00PM ET",8.45,"MIA"
"C","Salah Mejri",3000,"DAL@MIA 12/22/2017 08:00PM ET",11.846,"DAL"
"SG","Kyle Collinsworth",3000,"DAL@MIA 12/22/2017 08:00PM ET",6.25,"DAL"
"SF","Dorian Finney-Smith",3000,"DAL@MIA 12/22/2017 08:00PM ET",5.875,"DAL"
"C","A.J. Hammons",3000,"DAL@MIA 12/22/2017 08:00PM ET",0,"MIA"
"SG","Matt Williams Jr.",3000,"DAL@MIA 12/22/2017 08:00PM ET",0,"MIA"
"PF","Nerlens Noel",3000,"DAL@MIA 12/22/2017 08:00PM ET",12.132,"DAL"
"PG/SG","Derrick Walton Jr.",3000,"DAL@MIA 12/22/2017 08:00PM ET",2.031,"MIA"
"PF/C","Johnathan Motley",3000,"DAL@MIA 12/22/2017 08:00PM ET",7.25,"DAL"
"PG","Bobby Brown",3000,"LAC@HOU 12/22/2017 08:00PM ET",4.292,"HOU"
"PG/SG","Patrick Beverley",3000,"LAC@HOU 12/22/2017 08:00PM ET",25.977,"LAC"
"C","Willie Reed",3000,"LAC@HOU 12/22/2017 08:00PM ET",10.19,"LAC"
"PF/C","Tarik Black",3000,"LAC@HOU 12/22/2017 08:00PM ET",7.359,"HOU"
"PG","Briante Weber",3000,"LAC@HOU 12/22/2017 08:00PM ET",1.688,"HOU"
"PF/C","Brice Johnson",3000,"LAC@HOU 12/22/2017 08:00PM ET",5.969,"LAC"
"SG","Sindarius Thornwell",3000,"LAC@HOU 12/22/2017 08:00PM ET",8.342,"LAC"
"PG","Demetrius Jackson",3000,"LAC@HOU 12/22/2017 08:00PM ET",2.854,"HOU"
"SG","Troy Williams",3000,"LAC@HOU 12/22/2017 08:00PM ET",3.25,"HOU"
"PF/C","Chinanu Onuaku",3000,"LAC@HOU 12/22/2017 08:00PM ET",0,"HOU"
"PF/C","Zhou Qi",3000,"LAC@HOU 12/22/2017 08:00PM ET",3.731,"HOU"
"PG/SG","Jason Terry",3000,"CHA@MIL 12/22/2017 08:00PM ET",5.972,"MIL"
"PG/SG","Julyan Stone",3000,"CHA@MIL 12/22/2017 08:00PM ET",7.25,"CHA"
"PG/SG","Sean Kilpatrick",3000,"CHA@MIL 12/22/2017 08:00PM ET",9.297,"MIL"
"PF/C","Johnny O'Bryant III",3000,"CHA@MIL 12/22/2017 08:00PM ET",10.074,"CHA"
"SG/SF","Treveon Graham",3000,"CHA@MIL 12/22/2017 08:00PM ET",10.461,"CHA"
"PF","Joel Bolomboy",3000,"CHA@MIL 12/22/2017 08:00PM ET",3.5,"MIL"
"PG","Marcus Paige",3000,"CHA@MIL 12/22/2017 08:00PM ET",2.5,"CHA"
"PF/C","Mangok Mathiang",3000,"CHA@MIL 12/22/2017 08:00PM ET",2.5,"CHA"
"SG","Sterling Brown",3000,"CHA@MIL 12/22/2017 08:00PM ET",5.844,"MIL"
"PF/C","D.J. Wilson",3000,"CHA@MIL 12/22/2017 08:00PM ET",1.475,"MIL"
"SG/SF","Rashad Vaughn",3000,"CHA@MIL 12/22/2017 08:00PM ET",7.433,"MIL"
"SG/SF","Dwayne Bacon",3000,"CHA@MIL 12/22/2017 08:00PM ET",9.268,"CHA"
"PG/SG","Malik Monk",3000,"CHA@MIL 12/22/2017 08:00PM ET",11.25,"CHA"
