"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02"
"Nikola Mirotic_CHI",NA,0,NA,0,0,NA
"Ersan Ilyasova_ATL",NA,NA,NA,37.25,NA,24.25
"Malcolm Brogdon_MIL",NA,25.5,NA,16.75,NA,21.75
"Bobby Portis_CHI",NA,17.25,NA,15.5,0,NA
"Kenneth Faried_DEN",NA,20,NA,32.75,NA,27.25
"Rudy Gay_SA",NA,NA,20.25,NA,27.25,NA
"Allen Crabbe_BKN",NA,NA,0,NA,NA,19.75
"Zach LaVine_CHI",NA,0,NA,0,0,NA
"Markieff Morris_WAS",NA,7,9.5,NA,41.25,NA
"JaMychal Green_MEM",NA,NA,23.5,NA,9.75,29.75
"Dirk Nowitzki_DAL",NA,NA,21.25,NA,NA,27.25
"Wilson Chandler_DEN",NA,0,NA,0,NA,0
"Greg Monroe_PHO",NA,0,32.75,NA,NA,20
"John Henson_MIL",NA,22.25,NA,29.5,NA,24
"Jerian Grant_CHI",NA,14.75,NA,26.5,31,NA
"JJ Barea_DAL",NA,NA,0,NA,NA,0
"Bojan Bogdanovic_IND",NA,NA,19.25,NA,15.25,NA
"Lance Stephenson_IND",NA,NA,24.5,NA,13.5,NA
"Wesley Matthews_DAL",NA,NA,15.25,NA,NA,20
"Michael Carter-Williams_CHA",NA,NA,21.5,NA,29,NA
"Alex Len_PHO",NA,37.5,11.25,NA,NA,0
"Marco Belinelli_ATL",NA,NA,NA,32,NA,18.5
"TJ McConnell_PHI",NA,NA,7.5,0,NA,0
"Danny Green_SA",NA,NA,17,NA,15.75,NA
"Mason Plumlee_DEN",NA,4,NA,19.75,NA,28
"Tyson Chandler_PHO",NA,12.25,0,NA,NA,42.5
"Mike James_PHO",NA,18.25,22,NA,NA,20.75
"Kyle O'Quinn_NY",NA,NA,0,NA,NA,NA
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA,7.75
"Joe Harris_BKN",NA,NA,19.5,NA,NA,21.75
"Terry Rozier_BOS",NA,NA,NA,12.5,NA,11.75
"JR Smith_CLE",NA,24.25,NA,13.75,NA,33.25
"Tim Frazier_WAS",NA,9.25,10.75,NA,24.75,NA
"Tomas Satoransky_WAS",NA,24.75,26.5,NA,31,NA
"Seth Curry_DAL",NA,NA,0,NA,NA,0
"Tyler Ulis_PHO",NA,32.5,23,NA,NA,10
"Darius Miller_NO",NA,NA,17,NA,23,19.5
"Luke Babbitt_ATL",NA,NA,NA,12,NA,26
"Alec Burks_UTA",NA,22.5,NA,53.25,35.75,NA
"Michael Kidd-Gilchrist_CHA",NA,NA,14.75,NA,25.25,NA
"Ish Smith_DET",NA,NA,0,NA,0,0
"DeAndre' Bembry_ATL",NA,NA,NA,0,NA,0
"Jarrett Jack_NY",NA,NA,0,NA,NA,NA
"Dwight Powell_DAL",NA,NA,30.75,NA,NA,22
"Devin Harris_DAL",NA,NA,21.5,NA,NA,25.75
"Malik Monk_CHA",NA,NA,21,NA,11.25,NA
"Marquese Chriss_PHO",NA,12.5,23,NA,NA,9.5
"Patty Mills_SA",NA,NA,0,NA,0,NA
"Tony Snell_MIL",NA,19,NA,8,NA,10.5
"Jeff Green_CLE",NA,15.5,NA,22.25,NA,21.5
"David Nwaba_CHI",NA,0,NA,0,27.25,NA
"Derrick Rose_CLE",NA,0,NA,0,NA,0
"Tristan Thompson_CLE",NA,0,NA,0,NA,0
"Jonas Jerebko_UTA",NA,31.5,NA,21.5,20.5,NA
"Glenn Robinson III_IND",NA,NA,0,NA,0,NA
"Dillon Brooks_MEM",NA,NA,13,NA,7.25,17.25
"Tyus Jones_MIN",NA,30.5,38.5,NA,2.5,NA
"Chandler Parsons_MEM",NA,NA,0,NA,14,0
"Emmanuel Mudiay_DEN",NA,15.75,NA,18,NA,17.75
"Yogi Ferrell_DAL",NA,NA,17.75,NA,NA,15.5
"Frank Kaminsky_CHA",NA,NA,30.75,NA,10.25,NA
"DJ Augustin_ORL",NA,NA,19.75,NA,19,NA
"Markelle Fultz_PHI",NA,NA,0,0,NA,0
"Thon Maker_MIL",NA,14.25,NA,6.5,NA,12.25
"Daniel Theis_BOS",NA,NA,NA,21.5,NA,12
"Jae Crowder_CLE",NA,1.5,NA,23,NA,7.5
"Kyle Korver_CLE",NA,16.5,NA,13.75,NA,24
"Thabo Sefolosha_UTA",NA,11.25,NA,20.5,14,NA
"James Ennis III_MEM",NA,NA,0,NA,0,0
"Trey Lyles_DEN",NA,10,NA,22,NA,24.75
"Juancho Hernangomez_DEN",NA,0,NA,0,NA,0
"Marvin Williams_CHA",NA,NA,15.25,NA,29.5,NA
"Terrence Ross_ORL",NA,NA,13.25,NA,0,NA
"Amir Johnson_PHI",NA,NA,12.5,25,NA,24.5
"Richaun Holmes_PHI",NA,NA,0,17.75,NA,0
"Andre Iguodala_GS",19.25,NA,16,NA,0,NA
"E'Twaun Moore_NO",NA,NA,11,NA,30.25,22.75
"Stanley Johnson_DET",NA,NA,12.75,NA,10,16
"Tony Parker_SA",NA,NA,19.5,NA,13.75,NA
"Malcolm Delaney_ATL",NA,NA,NA,0,NA,0
"Aron Baynes_BOS",NA,NA,NA,10.5,NA,11.75
"Gorgui Dieng_MIN",NA,10.25,41.5,NA,15.75,NA
"Cody Zeller_CHA",NA,NA,12,NA,26.75,NA
"Jared Dudley_PHO",NA,0,12.5,NA,NA,8.75
"Shaun Livingston_GS",14.75,NA,7.25,NA,5,NA
"Manu Ginobili_SA",NA,NA,10.25,NA,32.25,NA
"Bryn Forbes_SA",NA,NA,10.75,NA,16,NA
"Sean Kilpatrick_BKN",NA,NA,9.25,NA,NA,18.25
"Mike Muscala_ATL",NA,NA,NA,0,NA,0
"DeAndre Liggins_MIL",NA,7.25,NA,7.75,NA,5.5
"Paul Zipser_CHI",NA,6.5,NA,17.5,24.25,NA
"Iman Shumpert_CLE",NA,0,NA,0,NA,0
"Jodie Meeks_WAS",NA,14,31,NA,7.75,NA
"Joe Johnson_UTA",NA,0,NA,0,0,NA
"Cory Joseph_IND",NA,NA,3.5,NA,18.5,NA
"Frank Ntilikina_NY",NA,NA,0,NA,NA,NA
"Michael Beasley_NY",NA,NA,0,NA,NA,NA
"Jamal Crawford_MIN",NA,12.75,17.25,NA,17.75,NA
"Nemanja Bjelica_MIN",NA,0,0,NA,0,NA
"Shabazz Muhammad_MIN",NA,0.75,0,NA,0,NA
"Ben McLemore_MEM",NA,NA,17.75,NA,22.5,15
"Jonathan Isaac_ORL",NA,NA,0,NA,0,NA
"David West_GS",22.25,NA,0,NA,14.75,NA
"Dejounte Murray_SA",NA,NA,3,NA,3.5,NA
"Brandon Paul_SA",NA,NA,0,NA,2,NA
"Tyler Zeller_BKN",NA,NA,26.25,NA,NA,16.25
"Jarrett Allen_BKN",NA,NA,15.5,NA,NA,23
"Miles Plumlee_ATL",NA,NA,NA,0,NA,22.25
"Channing Frye_CLE",NA,9.5,NA,7.25,NA,11
"Ian Mahinmi_WAS",NA,17.5,15.5,NA,14.25,NA
"Jason Smith_WAS",NA,0,0,NA,0,NA
"Guillermo Hernangomez_NY",NA,NA,0,NA,NA,NA
"Al Jefferson_IND",NA,NA,0,NA,0,NA
"Jarell Martin_MEM",NA,NA,9.5,NA,4,13.5
"Andrew Harrison_MEM",NA,NA,24,NA,15.5,21.25
"Arron Afflalo_ORL",NA,NA,2.75,NA,2,NA
"Dragan Bender_PHO",NA,8,10.5,NA,NA,11.75
"Jerryd Bayless_PHI",NA,NA,20.75,18.5,NA,14.5
"Jameer Nelson_NO",NA,NA,16.75,NA,14.25,12.75
"Omri Casspi_GS",16,NA,0,NA,19.5,NA
"Patrick McCaw_GS",40.25,NA,0,NA,18.25,NA
"Anthony Tolliver_DET",NA,NA,16.25,NA,16.75,0.75
"Luke Kennard_DET",NA,NA,27.5,NA,10.5,14.75
"Quincy Acy_BKN",NA,NA,13.75,NA,NA,5
"Isaiah Taylor_ATL",NA,NA,NA,0.75,NA,20.5
"Tyler Cavanaugh_ATL",NA,NA,NA,4.25,NA,16.75
"Isaiah Whitehead_BKN",NA,NA,9.25,NA,NA,5.5
"Doug McDermott_NY",NA,NA,0,NA,NA,NA
"Joakim Noah_NY",NA,NA,0,NA,NA,NA
"Brandan Wright_MEM",NA,NA,0,NA,2,0
"Bismack Biyombo_ORL",NA,NA,15,NA,17.25,NA
"Dwayne Bacon_CHA",NA,NA,1.25,NA,0,NA
"Mario Hezonja_ORL",NA,NA,4,NA,11.75,NA
"Troy Daniels_PHO",NA,13.25,3,NA,NA,5
"Zaza Pachulia_GS",13.75,NA,23,NA,23.5,NA
"Dante Cunningham_NO",NA,NA,10.5,NA,4.75,26
"Jordan Bell_GS",12.25,NA,15.5,NA,29,NA
"Timofey Mozgov_BKN",NA,NA,0,NA,NA,0
"Matthew Dellavedova_MIL",NA,0,NA,0,NA,0
"Mirza Teletovic_MIL",NA,0,NA,0,NA,0
"Semi Ojeleye_BOS",NA,NA,NA,5,NA,9.5
"Shane Larkin_BOS",NA,NA,NA,0,NA,0
"Ante Zizic_CLE",NA,0,NA,0,NA,0
"Mike Scott_WAS",NA,25.25,2.75,NA,10.25,NA
"Raul Neto_UTA",NA,0,NA,0,0,NA
"Lance Thomas_NY",NA,NA,0,NA,NA,NA
"Damyean Dotson_NY",NA,NA,0,NA,NA,NA
"Deyonta Davis_MEM",NA,NA,4.5,NA,17.5,0
"Nerlens Noel_DAL",NA,NA,0,NA,NA,0
"Maxi Kleber_DAL",NA,NA,27.25,NA,NA,14
"Shelvin Mack_ORL",NA,NA,0,NA,4.25,NA
"Timothe Luwawu-Cabarrot_PHI",NA,NA,8.25,17.5,NA,8.5
"Alan Williams_PHO",NA,0,0,NA,NA,0
"Nick Young_GS",8.75,NA,11.5,NA,3.5,NA
"Ian Clark_NO",NA,NA,3.5,NA,0,4
"Antonio Blakeney_CHI",NA,11,NA,6,2.5,NA
"Ramon Sessions_NY",NA,NA,0,NA,NA,NA
"Salah Mejri_DAL",NA,NA,2.5,NA,NA,8
"Marreese Speights_ORL",NA,NA,0,NA,0,NA
"Tony Allen_NO",NA,NA,13.25,NA,2.5,11
"Cheick Diallo_NO",NA,NA,0,NA,0,0
"Langston Galloway_DET",NA,NA,18.5,NA,1.5,9.5
"Jeremy Lin_BKN",NA,NA,0,NA,NA,0
"Josh Magette_ATL",NA,NA,NA,0,NA,0
"Tyler Dorsey_ATL",NA,NA,NA,0,NA,0
"Nicolas Brussino_ATL",NA,NA,NA,0,NA,0
"Jacob Wiley_BKN",NA,NA,0,NA,NA,0
"Yakuba Ouattara_BKN",NA,NA,0,NA,NA,0
"Gary Payton II_MIL",NA,1,NA,0,NA,0
"Rashad Vaughn_MIL",NA,0,NA,0,NA,0
"Jason Terry_MIL",NA,12,NA,6,NA,10.75
"DJ Wilson_MIL",NA,7.5,NA,0,NA,0
"Abdel Nader_BOS",NA,NA,NA,0,NA,0
"Guerschon Yabusele_BOS",NA,NA,NA,0,NA,0
"Sterling Brown_MIL",NA,0,NA,0,NA,0
"Joel Bolomboy_MIL",NA,0,NA,0,NA,0
"Gordon Hayward_BOS",NA,NA,NA,0,NA,0
"Jabari Bird_BOS",NA,NA,NA,0,NA,0
"Kadeem Allen_BOS",NA,NA,NA,0,NA,0
"Cristiano Felicio_CHI",NA,0,NA,0,0,NA
"Kay Felder_CHI",NA,0,NA,0,0,NA
"Jose Calderon_CLE",NA,9.5,NA,6.5,NA,1.5
"Quincy Pondexter_CHI",NA,0,NA,0,0,NA
"Cedi Osman_CLE",NA,0,NA,13.5,NA,0
"Ryan Arcidiacono_CHI",NA,0,NA,0,0,NA
"John Holland_CLE",NA,0,NA,0,NA,0
"London Perrantes_CLE",NA,0,NA,0,NA,0
"Cameron Payne_CHI",NA,0,NA,0,0,NA
"Ekpe Udoh_UTA",NA,10,NA,12,12.5,NA
"Royce O'Neale_UTA",NA,14.75,NA,21.75,3.5,NA
"Chris McCullough_WAS",NA,0,12.5,NA,0,NA
"Tony Bradley_UTA",NA,0,NA,0,0,NA
"Nate Wolters_UTA",NA,0,NA,0,0,NA
"Sheldon Mac_WAS",NA,0,0,NA,0,NA
"Mike Young_WAS",NA,0,0,NA,0,NA
"Dante Exum_UTA",NA,0,NA,0,0,NA
"Devin Robinson_WAS",NA,0,0,NA,0,NA
"Eric Griffin_UTA",NA,0,NA,0,0,NA
"TJ Leaf_IND",NA,NA,0,NA,6.5,NA
"Joe Young_IND",NA,NA,0,NA,0,NA
"Damien Wilkins_IND",NA,NA,0,NA,0,NA
"Ron Baker_NY",NA,NA,0,NA,NA,NA
"Alex Poythress_IND",NA,NA,0,NA,0,NA
"Ike Anigbogu_IND",NA,NA,0,NA,0,NA
"Luke Kornet_NY",NA,NA,0,NA,NA,NA
"Edmond Sumner_IND",NA,NA,0,NA,0,NA
"Isaiah Hicks_NY",NA,NA,0,NA,NA,NA
"Aaron Brooks_MIN",NA,4.25,7.75,NA,0,NA
"Wayne Selden_MEM",NA,NA,0,NA,0,0
"Kobi Simmons_MEM",NA,NA,0,NA,0,0
"Ivan Rabb_MEM",NA,NA,0,NA,0,0
"Vince Hunter_MEM",NA,NA,0,NA,0,0
"Marcus Georges-Hunt_MIN",NA,0,0,NA,0,NA
"Cole Aldrich_MIN",NA,0,0,NA,0,NA
"Justin Patton_MIN",NA,0,0,NA,0,NA
"Anthony Brown_MIN",NA,0,0,NA,0,NA
"Malik Beasley_DEN",NA,8.5,NA,0,NA,0
"Jeff Withey_DAL",NA,NA,0,NA,NA,6
"Richard Jefferson_DEN",NA,0,NA,5,NA,7.75
"Dorian Finney-Smith_DAL",NA,NA,0,NA,NA,0
"Antonius Cleveland_DAL",NA,NA,0,NA,NA,6.25
"Darrell Arthur_DEN",NA,0,NA,0,NA,0
"Johnathan Motley_DAL",NA,NA,0,NA,NA,0
"Torrey Craig_DEN",NA,0,NA,0,NA,0
"Tyler Lydon_DEN",NA,0,NA,0,NA,0
"Monte Morris_DEN",NA,0,NA,0,NA,0
"Josh McRoberts_DAL",NA,NA,0,NA,NA,0
"Treveon Graham_CHA",NA,NA,0,NA,0,NA
"Johnny O'Bryant III_CHA",NA,NA,0,NA,0,NA
"Julyan Stone_CHA",NA,NA,0,NA,0,NA
"Wes Iwundu_ORL",NA,NA,0,NA,0,NA
"Khem Birch_ORL",NA,NA,0,NA,0,NA
