"Place_lo","Place_hi","Payout"
"1","1","2500"
"2","2","1500"
"3","3","1000"
"4","4","750"
"5","5","500"
"6","6","400"
"7","7","300"
"8","8","200"
"9","10","150"
"11","15","125"
"16","20","100"
"21","25","80"
"26","30","60"
"31","40","50"
"41","60","40"
"61","90","30"
"91","140","25"
"141","215","20"
"216","365","15"
"366","665","12"
"666","1065","10"
"1066","1665","8"
"1666","2465","7"
"2466","3715","6"
"3716","5320","5"
