"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG/SF","Trevor Ariza",5500,"LAC@HOU 12/22/2017 08:00PM ET",25.313,"HOU","LAC",32.19,31.4,22
"SG/SF","Nicolas Batum",5500,"CHA@MIL 12/22/2017 08:00PM ET",24.559,"CHA","MIL",27.91,27.8,23.75
"PF/C","Julius Randle",5400,"LAL@GS 12/22/2017 10:30PM ET",24.371,"LAL","GS",25.35,25.4,42.5
"PG/SG","Tyler Johnson",5400,"DAL@MIA 12/22/2017 08:00PM ET",21.362,"MIA","DAL",30.36,29.6,33.25
"SG/SF","Courtney Lee",5300,"NY@DET 12/22/2017 07:00PM ET",24.717,"NY","DET",0,0,0
"SG/SF","Caris LeVert",5300,"WAS@BKN 12/22/2017 07:30PM ET",24.325,"BKN","WAS",26.29,25.3,29
"SF/PF","Michael Beasley",5200,"NY@DET 12/22/2017 07:00PM ET",16.99,"NY","DET",0,0,0
"SF/PF","Larry Nance",5200,"LAL@GS 12/22/2017 10:30PM ET",23.75,"LAL","GS",20.33,20.4,9.5
"C","Marcin Gortat",5200,"WAS@BKN 12/22/2017 07:30PM ET",25.605,"WAS","BKN",23.59,22.4,12.25
"PG/SG","Jordan Clarkson",5100,"LAL@GS 12/22/2017 10:30PM ET",22.966,"LAL","GS",21.67,19.6,13.25
"C","Dewayne Dedmon",5100,"ATL@OKC 12/22/2017 08:00PM ET",25.038,"ATL","OKC",0,0,0
"PF/C","John Collins",5000,"ATL@OKC 12/22/2017 08:00PM ET",24.5,"ATL","OKC",26.52,25.7,32.25
"PG/SG","JJ Barea",5000,"DAL@MIA 12/22/2017 08:00PM ET",25.344,"DAL","MIA",23.67,21.6,0
"PG/SG","Avery Bradley",4900,"NY@DET 12/22/2017 07:00PM ET",24.268,"DET","NY",0,0,0
"PG/SG","Milos Teodosic",4900,"LAC@HOU 12/22/2017 08:00PM ET",21.214,"LAC","HOU",0,0,0
"SG/SF","Jeremy Lamb",4900,"CHA@MIL 12/22/2017 08:00PM ET",27.033,"CHA","MIL",24.12,22.9,21
"SF/PF","Jabari Parker",4900,"CHA@MIL 12/22/2017 08:00PM ET",0,"MIL","CHA",0,0,0
"SF/PF","Omri Casspi",4800,"LAL@GS 12/22/2017 10:30PM ET",16,"GS","LAL",11.36,10.6,21.25
"SF/PF","DeMarre Carroll",4800,"WAS@BKN 12/22/2017 07:30PM ET",27.13,"BKN","WAS",26.34,25.1,31.5
"PG/SG","Dennis Smith",4800,"DAL@MIA 12/22/2017 08:00PM ET",27.042,"DAL","MIA",25.1,24.8,19
"PG/SG","Yogi Ferrell",4800,"DAL@MIA 12/22/2017 08:00PM ET",19.539,"DAL","MIA",16.98,17,34.5
"SG/SF","Kelly Oubre",4700,"WAS@BKN 12/22/2017 07:30PM ET",22.379,"WAS","BKN",19.21,19.5,19
"SF/PF","Al-Farouq Aminu",4700,"DEN@POR 12/22/2017 10:00PM ET",22.816,"POR","DEN",26.62,28.1,16.5
"SG/SF","E'Twaun Moore",4700,"NO@ORL 12/22/2017 07:00PM ET",22.355,"NO","ORL",23,22.7,14.5
"SG","Mario Hezonja",4700,"NO@ORL 12/22/2017 07:00PM ET",10.56,"ORL","NO",19.23,15.9,22
"PG/SG","Malcolm Brogdon",4700,"CHA@MIL 12/22/2017 08:00PM ET",24.116,"MIL","CHA",22.32,23.2,32
"PG","Jarrett Jack",4600,"NY@DET 12/22/2017 07:00PM ET",20.661,"NY","DET",0,0,0
"PF","Mike Scott",4600,"WAS@BKN 12/22/2017 07:30PM ET",16.302,"WAS","BKN",15.49,17.3,17.75
"SF/PF","Trey Lyles",4600,"DEN@POR 12/22/2017 10:00PM ET",15.894,"DEN","POR",20.55,20.2,25.75
"SF/PF","Ersan Ilyasova",4600,"ATL@OKC 12/22/2017 08:00PM ET",20.175,"ATL","OKC",22.49,23.4,30.75
"SG/SF","Wesley Matthews",4600,"DAL@MIA 12/22/2017 08:00PM ET",22.914,"DAL","MIA",23.09,21.1,15.5
"SF/PF","Wilson Chandler",4500,"DEN@POR 12/22/2017 10:00PM ET",20.981,"DEN","POR",21.84,22.4,36.25
"PF/C","Dirk Nowitzki",4500,"DAL@MIA 12/22/2017 08:00PM ET",22.867,"DAL","MIA",21.49,22,31.5
"C","Brook Lopez",4400,"LAL@GS 12/22/2017 10:30PM ET",24.705,"LAL","GS",0,0,0
"PF/C","Jordan Bell",4400,"LAL@GS 12/22/2017 10:30PM ET",13.68,"GS","LAL",13.47,21.1,42
"SF/PF","Markieff Morris",4400,"WAS@BKN 12/22/2017 07:30PM ET",18.913,"WAS","BKN",17.84,18.6,16
"PF/C","Mason Plumlee",4400,"DEN@POR 12/22/2017 10:00PM ET",19.315,"DEN","POR",20.86,25,30.25
"SF/PF","PJ Tucker",4400,"LAC@HOU 12/22/2017 08:00PM ET",18.325,"HOU","LAC",27.35,26.2,17.5
"PF/C","Ryan Anderson",4400,"LAC@HOU 12/22/2017 08:00PM ET",20.905,"HOU","LAC",26.59,24.9,33.5
"C","John Henson",4400,"CHA@MIL 12/22/2017 08:00PM ET",21.777,"MIL","CHA",23.34,24.1,16
"SF","Michael Kidd-Gilchrist",4400,"CHA@MIL 12/22/2017 08:00PM ET",20.87,"CHA","MIL",20.43,21.3,24.75
"SG/SF","Allen Crabbe",4300,"WAS@BKN 12/22/2017 07:30PM ET",21.596,"BKN","WAS",25.97,23.7,20.5
"PG/SG","Shabazz Napier",4300,"DEN@POR 12/22/2017 10:00PM ET",14.279,"POR","DEN",28.7,21.4,33
"PF/C","Bam Adebayo",4300,"DAL@MIA 12/22/2017 08:00PM ET",15.227,"MIA","DAL",26.3,22.6,33
"SG/SF","Stanley Johnson",4200,"NY@DET 12/22/2017 07:00PM ET",17.018,"DET","NY",16.87,16.8,20.25
"SG/SF","Andre Iguodala",4200,"LAL@GS 12/22/2017 10:30PM ET",18.644,"GS","LAL",22.06,21.5,5
"SG/SF","Wesley Johnson",4100,"LAC@HOU 12/22/2017 08:00PM ET",17.045,"LAC","HOU",0,0,0
"PF/C","Kyle O'Quinn",4000,"NY@DET 12/22/2017 07:00PM ET",19.233,"NY","DET",0,0,0
"PG/SG","Frank Ntilikina",4000,"NY@DET 12/22/2017 07:00PM ET",15.713,"NY","DET",0,0,0
"PG/SG","Seth Curry",4000,"DAL@MIA 12/22/2017 08:00PM ET",0,"DAL","MIA",0,0,0
"SF/PF","Marvin Williams",4000,"CHA@MIL 12/22/2017 08:00PM ET",19.145,"CHA","MIL",17.79,18,35
"PG/SG","Josh Hart",3900,"LAL@GS 12/22/2017 10:30PM ET",9.979,"LAL","GS",8.66,8.6,8.25
"SG/SF","Joe Harris",3900,"WAS@BKN 12/22/2017 07:30PM ET",17.571,"BKN","WAS",16.46,17.4,23
"PF/C","Jordan Mickey",3900,"DAL@MIA 12/22/2017 08:00PM ET",13.55,"MIA","DAL",24.63,21,10.75
"SF/PF","Justise Winslow",3900,"DAL@MIA 12/22/2017 08:00PM ET",18,"MIA","DAL",0,0,0
"PF","Maxi Kleber",3900,"DAL@MIA 12/22/2017 08:00PM ET",13.077,"DAL","MIA",16.12,16.7,1.25
"SG/SF","Wayne Ellington",3900,"DAL@MIA 12/22/2017 08:00PM ET",16.032,"MIA","DAL",22.34,21.9,35.75
"PF/C","Frank Kaminsky",3900,"CHA@MIL 12/22/2017 08:00PM ET",18.938,"CHA","MIL",15.68,17.6,27.25
"SG/SF","Reggie Bullock",3800,"NY@DET 12/22/2017 07:00PM ET",9.985,"DET","NY",15.59,17.1,26
"PG","Ish Smith",3800,"NY@DET 12/22/2017 07:00PM ET",18.169,"DET","NY",20.48,20.7,0
"SG/SF","Evan Turner",3800,"DEN@POR 12/22/2017 10:00PM ET",17.669,"POR","DEN",22.39,23.8,14.5
"PF/C","Ed Davis",3800,"DEN@POR 12/22/2017 10:00PM ET",16.032,"POR","DEN",17.36,17.3,19
"PG","Emmanuel Mudiay",3800,"DEN@POR 12/22/2017 10:00PM ET",18.405,"DEN","POR",0,0,0
"PG/SG","DJ Augustin",3800,"NO@ORL 12/22/2017 07:00PM ET",17.46,"ORL","NO",19.9,22,6.75
"C","Cody Zeller",3800,"CHA@MIL 12/22/2017 08:00PM ET",17.882,"CHA","MIL",0,0,0
"SF/PF","Anthony Tolliver",3700,"NY@DET 12/22/2017 07:00PM ET",14.25,"DET","NY",15.53,18.2,20.25
"SF/PF","Doug McDermott",3700,"NY@DET 12/22/2017 07:00PM ET",15.075,"NY","DET",0,0,0
"PG/SG","Langston Galloway",3700,"NY@DET 12/22/2017 07:00PM ET",12.043,"DET","NY",14.82,13.3,0
"PG/SF","Patrick McCaw",3700,"LAL@GS 12/22/2017 10:30PM ET",9.769,"GS","LAL",15.41,15.8,10.75
"SG/SF","Torrey Craig",3700,"DEN@POR 12/22/2017 10:00PM ET",16.063,"DEN","POR",18.99,17.1,3.75
"SG","Marco Belinelli",3700,"ATL@OKC 12/22/2017 08:00PM ET",20,"ATL","OKC",15.59,20.9,40.75
"C","Nene Hilario",3700,"LAC@HOU 12/22/2017 08:00PM ET",14.42,"HOU","LAC",0,22.8,5.5
"SF/PF","Jamil Wilson",3700,"LAC@HOU 12/22/2017 08:00PM ET",12.479,"LAC","HOU",15.73,18,6
"SF/PF","Sam Dekker",3700,"LAC@HOU 12/22/2017 08:00PM ET",9.106,"LAC","HOU",12.89,13.9,23.75
"SG/SF","Tony Snell",3700,"CHA@MIL 12/22/2017 08:00PM ET",16.135,"MIL","CHA",16.14,13.4,4
"SG","Luke Kennard",3600,"NY@DET 12/22/2017 07:00PM ET",11.596,"DET","NY",11.22,11.4,2.75
"SG/SF","Corey Brewer",3600,"LAL@GS 12/22/2017 10:30PM ET",7.655,"LAL","GS",5.56,0,0
"PG/SG","Shaun Livingston",3600,"LAL@GS 12/22/2017 10:30PM ET",11.038,"GS","LAL",0.62,0,0
"C","Jahlil Okafor",3600,"WAS@BKN 12/22/2017 07:30PM ET",13.75,"BKN","WAS",0,0,0
"PF/C","Kenneth Faried",3600,"DEN@POR 12/22/2017 10:00PM ET",15.59,"DEN","POR",0,0,0
"SG/SF","Arron Afflalo",3600,"NO@ORL 12/22/2017 07:00PM ET",5.598,"ORL","NO",4.47,0,4
"PF","Tyler Cavanaugh",3600,"ATL@OKC 12/22/2017 08:00PM ET",12.145,"ATL","OKC",0,0,12
"PG/SG","Devin Harris",3600,"DAL@MIA 12/22/2017 08:00PM ET",16.577,"DAL","MIA",16.96,15.3,1.5
"PF/C","Montrezl Harrell",3600,"LAC@HOU 12/22/2017 08:00PM ET",13.208,"LAC","HOU",20.45,20.2,6.25
"PF/C","Guillermo Hernangomez",3500,"NY@DET 12/22/2017 07:00PM ET",11.817,"NY","DET",0,0,0
"PF/C","David West",3500,"LAL@GS 12/22/2017 10:30PM ET",16.966,"GS","LAL",14.46,14.9,21.5
"PG/SG","Tomas Satoransky",3500,"WAS@BKN 12/22/2017 07:30PM ET",13.693,"WAS","BKN",0,10.9,9.5
"PG","Tim Frazier",3500,"WAS@BKN 12/22/2017 07:30PM ET",13.142,"WAS","BKN",0,0,11
"SG/SF","Terrence Ross",3500,"NO@ORL 12/22/2017 07:00PM ET",18.795,"ORL","NO",0,0,0
"C","Miles Plumlee",3500,"ATL@OKC 12/22/2017 08:00PM ET",11.625,"ATL","OKC",15.85,14.6,6.25
"SF/PF","Jerami Grant",3500,"ATL@OKC 12/22/2017 08:00PM ET",16.725,"OKC","ATL",16.66,15.8,9.5
"SG/SF","DeAndre' Bembry",3500,"ATL@OKC 12/22/2017 08:00PM ET",12.103,"ATL","OKC",0,14.5,0
"PG","Jawun Evans",3500,"LAC@HOU 12/22/2017 08:00PM ET",11.217,"LAC","HOU",16.99,18.3,25.25
"SG/SF","Damyean Dotson",3400,"NY@DET 12/22/2017 07:00PM ET",6.056,"NY","DET",0,0,0
"SF/PF","Kevon Looney",3400,"LAL@GS 12/22/2017 10:30PM ET",8.708,"GS","LAL",0,0,3.25
"C","Ian Mahinmi",3400,"WAS@BKN 12/22/2017 07:30PM ET",10.931,"WAS","BKN",12.93,12.8,4.5
"PF/C","Jarrett Allen",3400,"WAS@BKN 12/22/2017 07:30PM ET",13.119,"BKN","WAS",13.03,14.3,21
"C","Tyler Zeller",3400,"WAS@BKN 12/22/2017 07:30PM ET",16.602,"BKN","WAS",17.42,16.9,18.75
"PG/SG","Nik Stauskas",3400,"WAS@BKN 12/22/2017 07:30PM ET",6.222,"BKN","WAS",3.88,0,21.75
"PF/C","Zach Collins",3400,"DEN@POR 12/22/2017 10:00PM ET",8.117,"POR","DEN",13.33,13.1,16
"SF/PF","Maurice Harkless",3400,"DEN@POR 12/22/2017 10:00PM ET",12.85,"POR","DEN",0,0,12.5
"PG/SG","Shelvin Mack",3400,"NO@ORL 12/22/2017 07:00PM ET",13.94,"ORL","NO",11.48,13.6,3.5
"PG/SG","Jameer Nelson",3400,"NO@ORL 12/22/2017 07:00PM ET",16.981,"NO","ORL",16.01,15.8,14.5
"SG/SF","Andre Roberson",3400,"ATL@OKC 12/22/2017 08:00PM ET",15.664,"OKC","ATL",14.73,16,18.25
"SG/SF","Alex Abrines",3400,"ATL@OKC 12/22/2017 08:00PM ET",9.828,"OKC","ATL",6.73,8.2,0.5
"PG/SG","Malcolm Delaney",3400,"ATL@OKC 12/22/2017 08:00PM ET",11.826,"ATL","OKC",0,11.8,35
"SG","CJ Williams",3400,"LAC@HOU 12/22/2017 08:00PM ET",9.132,"LAC","HOU",13.94,16.4,17
"PF/C","Thon Maker",3400,"CHA@MIL 12/22/2017 08:00PM ET",12.543,"MIL","CHA",13.1,11.4,8.5
"PG/SG","Ron Baker",3300,"NY@DET 12/22/2017 07:00PM ET",11.958,"NY","DET",0,0,0
"C","Boban Marjanovic",3300,"NY@DET 12/22/2017 07:00PM ET",10,"DET","NY",0,0,0
"SG","Nick Young",3300,"LAL@GS 12/22/2017 10:30PM ET",11.086,"GS","LAL",13.8,12.9,10.5
"C","Zaza Pachulia",3300,"LAL@GS 12/22/2017 10:30PM ET",14.6,"GS","LAL",12.29,0,0
"PF/C","Quincy Acy",3300,"WAS@BKN 12/22/2017 07:30PM ET",12.09,"BKN","WAS",14.27,13.7,10.25
"SG/SF","Pat Connaughton",3300,"DEN@POR 12/22/2017 10:00PM ET",11.089,"POR","DEN",15.14,13.9,17.5
"SF/PF","Juancho Hernangomez",3300,"DEN@POR 12/22/2017 10:00PM ET",8.833,"DEN","POR",0,0,0
"SF/PF","Jonathan Isaac",3300,"NO@ORL 12/22/2017 07:00PM ET",14.482,"ORL","NO",0,0,0
"SF","Darius Miller",3300,"NO@ORL 12/22/2017 07:00PM ET",12.96,"NO","ORL",14.99,15.5,15
"SF/PF","Dante Cunningham",3300,"NO@ORL 12/22/2017 07:00PM ET",13.433,"NO","ORL",13.16,13,14.25
"PG","Isaiah Taylor",3300,"ATL@OKC 12/22/2017 08:00PM ET",11.688,"ATL","OKC",10.67,13.4,20.75
"PG","Michael Carter-Williams",3300,"CHA@MIL 12/22/2017 08:00PM ET",13.425,"CHA","MIL",10.44,11.2,16.5
"SG/SF","DeAndre Liggins",3300,"CHA@MIL 12/22/2017 08:00PM ET",7.442,"MIL","CHA",6.5,6.7,7
"SF/PF","Lance Thomas",3200,"NY@DET 12/22/2017 07:00PM ET",8.991,"NY","DET",0,0,0
"C","JaVale McGee",3200,"LAL@GS 12/22/2017 10:30PM ET",8.926,"GS","LAL",0,0,0
"C","Ivica Zubac",3200,"LAL@GS 12/22/2017 10:30PM ET",1.333,"LAL","GS",0,0,0
"PG/SG","Isaiah Whitehead",3200,"WAS@BKN 12/22/2017 07:30PM ET",13.75,"BKN","WAS",0,0,0
"PF","Caleb Swanigan",3200,"DEN@POR 12/22/2017 10:00PM ET",7.607,"POR","DEN",0,0,0
"SG","Malik Beasley",3200,"DEN@POR 12/22/2017 10:00PM ET",7.278,"DEN","POR",0,0,0
"PF/C","Meyers Leonard",3200,"DEN@POR 12/22/2017 10:00PM ET",10.563,"POR","DEN",0,0,0
"PF/C","Noah Vonleh",3200,"DEN@POR 12/22/2017 10:00PM ET",14.761,"POR","DEN",0,0,0
"SG/SF","Wes Iwundu",3200,"NO@ORL 12/22/2017 07:00PM ET",5.982,"ORL","NO",0,8,0
"PF/C","Patrick Patterson",3200,"ATL@OKC 12/22/2017 08:00PM ET",8.081,"OKC","ATL",7.33,8.5,8.75
"PF/C","Dwight Powell",3200,"DAL@MIA 12/22/2017 08:00PM ET",15.798,"DAL","MIA",14.53,15.1,18
"SF/PF","Luc Richard Mbah a Moute",3200,"LAC@HOU 12/22/2017 08:00PM ET",15.948,"HOU","LAC",0,0,0
"SF/PF","Mirza Teletovic",3200,"CHA@MIL 12/22/2017 08:00PM ET",13.175,"MIL","CHA",0,0,0
"PG/SG","Matthew Dellavedova",3200,"CHA@MIL 12/22/2017 08:00PM ET",12.643,"MIL","CHA",8.43,9.1,6
"PG","Ramon Sessions",3100,"NY@DET 12/22/2017 07:00PM ET",10.545,"NY","DET",0,0,0
"PG","Quinn Cook",3100,"LAL@GS 12/22/2017 10:30PM ET",7.472,"GS","LAL",13.26,11.9,0
"SG","Jodie Meeks",3100,"WAS@BKN 12/22/2017 07:30PM ET",10.839,"WAS","BKN",10.6,9.9,15
"PF/C","Bismack Biyombo",3100,"NO@ORL 12/22/2017 07:00PM ET",11.906,"ORL","NO",10.28,13.8,12
"SG/SF","Tony Allen",3100,"NO@ORL 12/22/2017 07:00PM ET",8.898,"NO","ORL",0,0,0
"PG/SG","Raymond Felton",3100,"ATL@OKC 12/22/2017 08:00PM ET",14.065,"OKC","ATL",14.21,12.9,14.75
"SF/PF","Luke Babbitt",3100,"ATL@OKC 12/22/2017 08:00PM ET",12.393,"ATL","OKC",5.77,7.5,0
"PF","Luke Kornet",3000,"NY@DET 12/22/2017 07:00PM ET",0,"NY","DET",0,0,0
"PF","Isaiah Hicks",3000,"NY@DET 12/22/2017 07:00PM ET",0,"NY","DET",0,0,0
"PF/C","Henry Ellenson",3000,"NY@DET 12/22/2017 07:00PM ET",8.773,"DET","NY",0,0,0
"PF/C","Eric Moreland",3000,"NY@DET 12/22/2017 07:00PM ET",8.843,"DET","NY",6.79,9.3,14.25
"PF/C","Jon Leuer",3000,"NY@DET 12/22/2017 07:00PM ET",11.813,"DET","NY",0,0,0
"SF","Luis Montero",3000,"NY@DET 12/22/2017 07:00PM ET",0,"DET","NY",0,0,0
"PG","Dwight Buycks",3000,"NY@DET 12/22/2017 07:00PM ET",0,"DET","NY",0,0,0
"C","Joakim Noah",3000,"NY@DET 12/22/2017 07:00PM ET",8.917,"NY","DET",0,0,0
"SF/PF","Luol Deng",3000,"LAL@GS 12/22/2017 10:30PM ET",5,"LAL","GS",0,0,0
"PG/SG","Alex Caruso",3000,"LAL@GS 12/22/2017 10:30PM ET",4,"LAL","GS",0,0,0
"PG/SG","Vander Blue",3000,"LAL@GS 12/22/2017 10:30PM ET",0.938,"LAL","GS",0,0,0
"PF/C","Thomas Bryant",3000,"LAL@GS 12/22/2017 10:30PM ET",0,"LAL","GS",0,0,0
"PG/SG","Tyler Ennis",3000,"LAL@GS 12/22/2017 10:30PM ET",4.396,"LAL","GS",0,0,0
"C","Andrew Bogut",3000,"LAL@GS 12/22/2017 10:30PM ET",7.484,"LAL","GS",5.68,8.4,11.25
"C","Damian Jones",3000,"LAL@GS 12/22/2017 10:30PM ET",1.25,"GS","LAL",0,0,0
