"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,966612258,"Eshelman419",0,334.75,"SG Lou Williams G Brandon Ingram C Steven Adams PF Kyle Kuzma SF Rondae Hollis-Jefferson UTIL Eric Gordon PG Austin Rivers F Carmelo Anthony",NA,"James Harden","PG","84.07%",73
2,966601218,"kbisbee1 (7/7)",0,321.5,"PG James Harden UTIL Eric Bledsoe SF Kyle Kuzma G Josh Richardson F Trevor Ariza PF Michael Beasley C Mason Plumlee SG Shabazz Napier",NA,"Shabazz Napier","UTIL","70.84%",33
3,967015595,"bringdaruckus312 (2/20)",0,315.5,"SG James Harden C Nikola Vucevic F Kyle Kuzma G Austin Rivers PF Mike Scott SF P.J. Tucker UTIL Mason Plumlee PG Shabazz Napier",NA,"CJ McCollum","G","68.41%",22.75
3,967015616,"bringdaruckus312 (4/20)",0,315.5,"SG James Harden C Nikola Vucevic F Kyle Kuzma G Austin Rivers PF Mike Scott SF P.J. Tucker UTIL Mason Plumlee PG Shabazz Napier",NA,"Marreese Speights","PF","58.57%",8.75
3,967015634,"bringdaruckus312 (6/20)",0,315.5,"SG James Harden C Nikola Vucevic F Kyle Kuzma G Austin Rivers PF Mike Scott SF P.J. Tucker UTIL Mason Plumlee PG Shabazz Napier",NA,"Eric Gordon","SG","48.39%",38
3,967015645,"bringdaruckus312 (8/20)",0,315.5,"SG James Harden C Nikola Vucevic F Kyle Kuzma G Austin Rivers PF Mike Scott SF P.J. Tucker UTIL Mason Plumlee PG Shabazz Napier",NA,"P.J. Tucker","SF","40.47%",17.5
3,967015724,"bringdaruckus312 (10/20)",0,315.5,"SG James Harden C Nikola Vucevic F Kyle Kuzma G Austin Rivers PF Mike Scott SF P.J. Tucker UTIL Mason Plumlee PG Shabazz Napier",NA,"Trevor Ariza","SG","40.21%",22
3,967015752,"bringdaruckus312 (12/20)",0,315.5,"SG James Harden C Nikola Vucevic F Kyle Kuzma G Austin Rivers PF Mike Scott SF P.J. Tucker UTIL Mason Plumlee PG Shabazz Napier",NA,"Evan Turner","SF","33.07%",14.5
3,967024059,"bringdaruckus312 (14/20)",0,315.5,"SG James Harden C Nikola Vucevic F Kyle Kuzma G Austin Rivers PF Mike Scott SF P.J. Tucker UTIL Mason Plumlee PG Shabazz Napier",NA,"Nene Hilario","C","28.98%",5.5
3,967024133,"bringdaruckus312 (16/20)",0,315.5,"SG James Harden C Nikola Vucevic F Kyle Kuzma G Austin Rivers PF Mike Scott SF P.J. Tucker UTIL Mason Plumlee PG Shabazz Napier",NA,"Paul George","SF","23.85%",32.75
3,967024161,"bringdaruckus312 (18/20)",0,315.5,"SG James Harden C Nikola Vucevic F Kyle Kuzma G Austin Rivers PF Mike Scott SF P.J. Tucker UTIL Mason Plumlee PG Shabazz Napier",NA,"Nikola Jokic","C","22.63%",50.25
3,967024191,"bringdaruckus312 (20/20)",0,315.5,"SG James Harden C Nikola Vucevic F Kyle Kuzma G Austin Rivers PF Mike Scott SF P.J. Tucker UTIL Mason Plumlee PG Shabazz Napier",NA,"Al-Farouq Aminu","F","21.06%",16.5
13,966746361,"swtsu1 (1/2)",0,312.25,"PG James Harden SG Lou Williams SF Kyle Kuzma UTIL Eric Gordon PF Carmelo Anthony F Trevor Ariza G Shabazz Napier C Nene Hilario",NA,"Kelly Olynyk","PF","20.89%",23.5
14,966929924,"CSommermann (1/2)",0,304.25,"PG James Harden C Nikola Vucevic F Josh Richardson G Austin Rivers UTIL Tyler Johnson PF P.J. Tucker SG Shabazz Napier SF Evan Turner",NA,"Jusuf Nurkic","C","17.15%",9.25
