"Place_lo","Place_hi","Payout"
"1","1","7000"
"2","2","5000"
"3","3","4000"
"4","4","3000"
"5","5","2000"
"6","6","1000"
"7","8","750"
"9","10","500"
"11","15","350"
"16","20","250"
"21","30","200"
"31","45","150"
"46","63","100"
"64","88","75"
"89","113","60"
"114","163","50"
"164","213","40"
"214","288","30"
"289","363","25"
"364","463","20"
"464","613","15"
"614","913","12"
"914","1513","10"
"1514","2413","9"
"2414","3613","8"
"3614","5613","7"
"5614","8763","6"
"8764","13763","5"
