"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,945986718,"DrNickIsIn (30/40)",0,328.5,"PG Russell Westbrook SF DeMar DeRozan SG Bradley Beal PF Carmelo Anthony F Serge Ibaka C Greg Monroe UTIL Jakob Poeltl G Fred VanVleet",NA,"Greg Monroe","C","86.21%",34
2,945990813,"DrNickIsIn (39/40)",0,325.25,"PG Russell Westbrook G Bradley Beal C Jusuf Nurkic UTIL Donovan Mitchell F Serge Ibaka SG Alec Burks SF Al-Farouq Aminu PF Jakob Poeltl",NA,"Russell Westbrook","G","61.02%",77.25
3,945750888,"ryt2812",0,325,"PG Russell Westbrook G Kyle Lowry SG Bradley Beal PF Serge Ibaka SF Markieff Morris C Greg Monroe UTIL Al-Farouq Aminu F Pascal Siakam",NA,"Alec Burks","SG","57.52%",21
4,946063084,"jsimmo12",0,324,"UTIL Russell Westbrook PG Kyle Lowry SF DeMar DeRozan SG Donovan Mitchell PF Al-Farouq Aminu F Thabo Sefolosha C Jakob Poeltl G Fred VanVleet",NA,"Fred VanVleet","PG","50.49%",21.5
5,945986697,"DrNickIsIn (28/40)",0,323.25,"PG Russell Westbrook G Kyle Lowry SG Bradley Beal SF Carmelo Anthony F Joe Ingles PF Greg Monroe C Jakob Poeltl UTIL Fred VanVleet",NA,"Damian Lillard","UTIL","48.73%",53
5,945990692,"DrNickIsIn (31/40)",0,323.25,"PG Russell Westbrook G Kyle Lowry SG Bradley Beal F Carmelo Anthony PF Serge Ibaka SF Al-Farouq Aminu C Jakob Poeltl UTIL Fred VanVleet",NA,"DeMar DeRozan","F","48.47%",46.75
7,945688878,"DrNickIsIn (11/40)",0,323,"PG Russell Westbrook G Kyle Lowry SG Bradley Beal C Jusuf Nurkic PF Greg Monroe SF Al-Farouq Aminu F Jakob Poeltl UTIL Fred VanVleet",NA,"Al-Farouq Aminu","F","46.92%",27
8,945986672,"DrNickIsIn (26/40)",0,321.25,"PG Russell Westbrook SG DeMar DeRozan G Bradley Beal C Jusuf Nurkic PF Greg Monroe SF Al-Farouq Aminu F Jakob Poeltl UTIL Fred VanVleet",NA,"Devin Booker","SG","42.83%",43.25
9,946298765,"hondizzle (1/20)",0,321,"G Russell Westbrook PG Damian Lillard UTIL Bradley Beal SF Joe Ingles C Greg Monroe SG Alec Burks PF Al-Farouq Aminu F Pascal Siakam",NA,"Pascal Siakam","UTIL","39.16%",19.5
9,946298766,"hondizzle (2/20)",0,321,"G Russell Westbrook PG Damian Lillard UTIL Bradley Beal SF Joe Ingles C Greg Monroe SG Alec Burks PF Al-Farouq Aminu F Pascal Siakam",NA,"T.J. Warren","SF","37.20%",10.75
9,946298767,"hondizzle (3/20)",0,321,"G Russell Westbrook PG Damian Lillard UTIL Bradley Beal SF Joe Ingles C Greg Monroe SG Alec Burks PF Al-Farouq Aminu F Pascal Siakam",NA,"Kyle Lowry","PG","34.41%",48.5
9,946298768,"hondizzle (4/20)",0,321,"G Russell Westbrook PG Damian Lillard UTIL Bradley Beal SF Joe Ingles C Greg Monroe SG Alec Burks PF Al-Farouq Aminu F Pascal Siakam",NA,"Jakob Poeltl","F","30.02%",21.25
9,946298769,"hondizzle (5/20)",0,321,"G Russell Westbrook PG Damian Lillard UTIL Bradley Beal SF Joe Ingles C Greg Monroe SG Alec Burks PF Al-Farouq Aminu F Pascal Siakam",NA,"Serge Ibaka","PF","28.26%",37
9,946298770,"hondizzle (6/20)",0,321,"G Russell Westbrook PG Damian Lillard UTIL Bradley Beal SF Joe Ingles C Greg Monroe SG Alec Burks PF Al-Farouq Aminu F Pascal Siakam",NA,"C.J. McCollum","G","25.56%",28
9,946298771,"hondizzle (7/20)",0,321,"G Russell Westbrook PG Damian Lillard UTIL Bradley Beal SF Joe Ingles C Greg Monroe SG Alec Burks PF Al-Farouq Aminu F Pascal Siakam",NA,"Otto Porter","UTIL","23.41%",22
