"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Alex Abrines",3300,"UTA@OKC 12/05/2017 08:00PM ET",7.863,"OKC"
"C","Dakari Johnson",3300,"UTA@OKC 12/05/2017 08:00PM ET",5.795,"OKC"
"SG","Troy Daniels",3300,"PHO@TOR 12/05/2017 07:30PM ET",9.063,"PHO"
"PF/C","Meyers Leonard",3200,"WAS@POR 12/05/2017 10:00PM ET",11.219,"POR"
"PG","Raul Neto",3200,"UTA@OKC 12/05/2017 08:00PM ET",10.571,"UTA"
"C","Alan Williams",3200,"PHO@TOR 12/05/2017 07:30PM ET",0,"PHO"
"PF","Mike Scott",3100,"WAS@POR 12/05/2017 10:00PM ET",13.225,"WAS"
"PF/C","Patrick Patterson",3100,"UTA@OKC 12/05/2017 08:00PM ET",6.409,"OKC"
"SG","Sheldon Mac",3000,"WAS@POR 12/05/2017 10:00PM ET",0,"WAS"
"PF","Mike Young",3000,"WAS@POR 12/05/2017 10:00PM ET",0,"WAS"
"SG","Devin Robinson",3000,"WAS@POR 12/05/2017 10:00PM ET",0,"WAS"
"PF/C","Chris McCullough",3000,"WAS@POR 12/05/2017 10:00PM ET",6.75,"WAS"
"SG/SF","C.J. Wilcox",3000,"WAS@POR 12/05/2017 10:00PM ET",0,"POR"
"SF/PF","Jake Layman",3000,"WAS@POR 12/05/2017 10:00PM ET",3.425,"POR"
"PG/SG","Wade Baldwin IV",3000,"WAS@POR 12/05/2017 10:00PM ET",0,"POR"
"PF/C","Zach Collins",3000,"WAS@POR 12/05/2017 10:00PM ET",1.571,"POR"
"PG/SG","Dante Exum",3000,"UTA@OKC 12/05/2017 08:00PM ET",0,"UTA"
"C","Tony Bradley",3000,"UTA@OKC 12/05/2017 08:00PM ET",1.938,"UTA"
"PF/C","Ekpe Udoh",3000,"UTA@OKC 12/05/2017 08:00PM ET",11.413,"UTA"
"PG","Nate Wolters",3000,"UTA@OKC 12/05/2017 08:00PM ET",1,"UTA"
"SF/PF","Eric Griffin",3000,"UTA@OKC 12/05/2017 08:00PM ET",0,"UTA"
"SF","Royce O'Neale",3000,"UTA@OKC 12/05/2017 08:00PM ET",5.734,"UTA"
"SG/SF","Kyle Singler",3000,"UTA@OKC 12/05/2017 08:00PM ET",2,"OKC"
"PF/C","Nick Collison",3000,"UTA@OKC 12/05/2017 08:00PM ET",3.375,"OKC"
"SF/PF","Josh Huestis",3000,"UTA@OKC 12/05/2017 08:00PM ET",6.375,"OKC"
"SG/SF","Terrance Ferguson",3000,"UTA@OKC 12/05/2017 08:00PM ET",1.946,"OKC"
"PG/SG","PJ Dozier",3000,"UTA@OKC 12/05/2017 08:00PM ET",0,"OKC"
"SF","Daniel Hamilton",3000,"UTA@OKC 12/05/2017 08:00PM ET",0,"OKC"
"PF","Malcolm Miller",3000,"PHO@TOR 12/05/2017 07:30PM ET",0,"TOR"
"PF","Alfonzo McKinnie",3000,"PHO@TOR 12/05/2017 07:30PM ET",2.964,"TOR"
"PG","Lorenzo Brown",3000,"PHO@TOR 12/05/2017 07:30PM ET",6.063,"TOR"
"SF","Bruno Caboclo",3000,"PHO@TOR 12/05/2017 07:30PM ET",2.375,"TOR"
"PF","Alec Peters",3000,"PHO@TOR 12/05/2017 07:30PM ET",5.625,"PHO"
"PG/SG","Brandon Knight",3000,"PHO@TOR 12/05/2017 07:30PM ET",0,"PHO"
"SF","Derrick Jones Jr.",3000,"PHO@TOR 12/05/2017 07:30PM ET",4.417,"PHO"
"SG/SF","Davon Reed",3000,"PHO@TOR 12/05/2017 07:30PM ET",0,"PHO"
