"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,944697410,"divannurse78 (3/13)",0,334,"C Joel Embiid PG Stephen Curry SG Devin Booker UTIL Jrue Holiday G Rajon Rondo F Mason Plumlee SF E'Twaun Moore PF Michael Beasley",NA,"Michael Beasley","SF","95.13%",14.25
2,944853576,"ryno110913 (1/3)",0,325.75,"SF Giannis Antetokounmpo C Marc Gasol UTIL Devin Booker PG Kemba Walker PF Mason Plumlee G Alec Burks F Marvin Williams SG E'Twaun Moore",NA,"Mason Plumlee","F","79.01%",18.75
2,944853612,"ryno110913 (2/3)",0,325.75,"SF Giannis Antetokounmpo C Marc Gasol UTIL Devin Booker PG Kemba Walker PF Mason Plumlee G Alec Burks F Marvin Williams SG E'Twaun Moore",NA,"Enes Kanter","C","72.90%",16
2,944859216,"ryno110913 (3/3)",0,325.75,"SF Giannis Antetokounmpo C Marc Gasol UTIL Devin Booker PG Kemba Walker PF Mason Plumlee G Alec Burks F Marvin Williams SG E'Twaun Moore",NA,"DeMarcus Cousins","PF","71.48%",58.75
5,944931592,"tidus71854 (5/5)",0,321.75,"PF DeMarcus Cousins F Devin Booker UTIL Al Horford SG Nicolas Batum SF Evan Fournier PG Rajon Rondo G Alec Burks C Miles Plumlee",NA,"Jrue Holiday","SG","40.00%",50
6,944697409,"divannurse78 (2/13)",0,319.5,"UTIL Ben Simmons C Joel Embiid SF Devin Booker SG Jrue Holiday G Rajon Rondo PG Jarrett Jack F E'Twaun Moore PF Michael Beasley",NA,"E'Twaun Moore","F","37.44%",39.5
7,944697408,"divannurse78 (1/13)",0,313.5,"C Joel Embiid SF Kevin Durant SG Devin Booker UTIL Jrue Holiday PG Rajon Rondo F Mason Plumlee G E'Twaun Moore PF Michael Beasley",NA,"Joel Embiid","UTIL","32.39%",49.5
8,944863104,"BigGelby",0,310.25,"C DeMarcus Cousins G Kemba Walker UTIL T.J. Warren SG Jrue Holiday SF Nicolas Batum PG Rajon Rondo F Mason Plumlee PF Michael Beasley",NA,"Rajon Rondo","PG","31.74%",38.75
9,944829524,"manitowoc444",0,309.5,"PF DeMarcus Cousins PG Stephen Curry C Marc Gasol SG Jamal Murray G Rajon Rondo UTIL Tyler Ulis F E'Twaun Moore SF Michael Beasley",NA,"Alec Burks","SG","27.37%",41.25
10,944665611,"tidus71854 (1/5)",0,309.25,"PF DeMarcus Cousins SF Harrison Barnes G Jrue Holiday UTIL Kris Dunn F Justin Holiday PG Rajon Rondo C Kenneth Faried SG J.J. Barea",NA,"Elfrid Payton","PG","22.49%",27.5
