"James Harden_HOU","LeBron James_CLE","Russell Westbrook_OKC","Kevin Durant_GS","Joel Embiid_PHI","Ben Simmons_PHI","Stephen Curry_GS","Chris Paul_HOU","Karl-Anthony Towns_MIN","Kristaps Porzingis_NY","Jimmy Butler_MIN","Kyrie Irving_BOS","John Wall_WAS","Kevin Love_CLE","Kyle Kuzma_LAL","Draymond Green_GS","Bradley Beal_WAS","Lonzo Ball_LAL","Paul George_OKC","Al Horford_BOS","Clint Capela_HOU","Klay Thompson_GS","Brandon Ingram_LAL","Dario Saric_PHI","Robert Covington_PHI","Enes Kanter_NY","Jeff Teague_MIN","Isaiah Thomas_CLE","Tim Hardaway_NY","Taj Gibson_MIN","Andrew Wiggins_MIN","Eric Gordon_HOU","Carmelo Anthony_OKC","Steven Adams_OKC","Jayson Tatum_BOS","Otto Porter_WAS","Jaylen Brown_BOS","Kentavious Caldwell-Pope_LAL","Julius Randle_LAL","JJ Redick_PHI","Michael Beasley_NY","Trevor Ariza_HOU","Dwyane Wade_CLE","Marcin Gortat_WAS","Jordan Bell_GS","Marcus Smart_BOS","Courtney Lee_NY","Jordan Clarkson_LAL","PJ Tucker_HOU","Marcus Morris_BOS","Jarrett Jack_NY","Ryan Anderson_HOU","Mike Scott_WAS","Kelly Oubre_WAS","Larry Nance_LAL","Richaun Holmes_PHI","Markieff Morris_WAS","Brook Lopez_LAL","Omri Casspi_GS","Trevor Booker_PHI","Terry Rozier_BOS","Jeff Green_CLE","TJ McConnell_PHI","JR Smith_CLE","Jamal Crawford_MIN","Kyle O'Quinn_NY","Frank Ntilikina_NY","Andre Iguodala_GS","Jerryd Bayless_PHI","Markelle Fultz_PHI","Nene Hilario_HOU","Jose Calderon_CLE","Tomas Satoransky_WAS","Tim Frazier_WAS","Aron Baynes_BOS","Josh Hart_LAL","Amir Johnson_PHI","Doug McDermott_NY","Jerami Grant_OKC","Patrick McCaw_GS","Shaun Livingston_GS","Kyle Korver_CLE","Corey Brewer_LAL","Guillermo Hernangomez_NY","David West_GS","Jae Crowder_CLE","Tristan Thompson_CLE","Ian Mahinmi_WAS","Daniel Theis_BOS","Tyus Jones_MIN","Gorgui Dieng_MIN","Damyean Dotson_NY","Andre Roberson_OKC","Kevon Looney_GS","Iman Shumpert_CLE","Derrick Rose_CLE","Shane Larkin_BOS","Nemanja Bjelica_MIN","Shabazz Muhammad_MIN","Lance Thomas_NY","Timothe Luwawu-Cabarrot_PHI","Ron Baker_NY","Alex Abrines_OKC","Channing Frye_CLE","Zaza Pachulia_GS","Nick Young_GS","Semi Ojeleye_BOS","Ivica Zubac_LAL","Patrick Patterson_OKC","Luc Richard Mbah a Moute_HOU","JaVale McGee_GS","Jodie Meeks_WAS","Ramon Sessions_NY","Raymond Felton_OKC","Quinn Cook_GS","Sheldon Mac_WAS","Chris McCullough_WAS","Devin Robinson_WAS","Jason Smith_WAS","Mike Young_WAS","Jabari Bird_BOS","Guerschon Yabusele_BOS","Kadeem Allen_BOS","Abdel Nader_BOS","Gordon Hayward_BOS","Anthony Brown_MIN","Cole Aldrich_MIN","Marcus Georges-Hunt_MIN","Aaron Brooks_MIN","Justin Patton_MIN","Thomas Bryant_LAL","Vander Blue_LAL","Tyler Ennis_LAL","Luol Deng_LAL","Andrew Bogut_LAL","Alex Caruso_LAL","Jacob Pullen_PHI","Justin Anderson_PHI","James Michael McAdoo_PHI","Furkan Korkmaz_PHI","Luke Kornet_NY","Isaiah Hicks_NY","Joakim Noah_NY","Dakari Johnson_OKC","Daniel Hamilton_OKC","PJ Dozier_OKC","Terrance Ferguson_OKC","Josh Huestis_OKC","Kyle Singler_OKC","Nick Collison_OKC","Briante Weber_HOU","Bobby Brown_HOU","Demetrius Jackson_HOU","Tarik Black_HOU","Troy Williams_HOU","Chinanu Onuaku_HOU","Zhou Qi_HOU","Chris Boucher_GS","Damian Jones_GS","London Perrantes_CLE","John Holland_CLE","Ante Zizic_CLE","Cedi Osman_CLE"
0,0,0,0,0,0,0,0,23.9861111111111,0,78.6979166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.1319444444444,0,0,-25.3229166666667,-11.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.4965277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46.8784722222222,-5.79861111111111,0,0,0,0,0,0,0,0.260416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05555555555556,2.37847222222222,-1.10763888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,66.0133928571429,0,0,0,0,0,0,0,-84.8236607142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.1941964285714,0,40.3102678571429,0,0,0,0,0,0,0,0,8.828125,0,0,0,-20.9084821428571,0,0,0,0,0,0,0,0,0,0,-17.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14508928571429,0,0,0,0,0,0,0,15.4196428571429,0,0,0,0,0,0,0,0,0,3.66517857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09598214285714,0,-3.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,300.486111111111,0,0,0,34.6041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87.3125,0,0,0,0,0,0,0,18.8263888888889,0,0,0,0,0,0,0,0,92.5069444444444,-32.2361111111111,0,0,-8.22916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.8472222222222,-87.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.54861111111111,0,0,0,0,-4.09027777777778,0,6.86111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-6.94010416666667,0,0,0,0,0,0,0,0,0,0,0,84.609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2291666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.9713541666667,0,4.71354166666667,0,0,0,0,0,0,0,21.1119791666667,0,0,0,0,0,0,0,0,0,-21.2604166666667,0,0,0,-15.0026041666667,-19.4895833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.6197916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33072916666667,-27.2265625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.186383928571,0,0,38.8013392857143,0,0,0,0,-109.493303571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.2109375,-25.5323660714286,0,0,0,0,0,0,0,0,-174.253348214286,0,0,0,0,0,0,-12.5792410714286,0,0,-86.3236607142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6082589285714,0,0,0,0,0,0,93.7198660714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5602678571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-164.145833333333,0,0,394.600694444444,0,0,0,0,0,0,0,0,483.600694444444,0,0,0,0,0,-43.9201388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.640625,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.072916666667,0,0,0,0,0,0,0,0,-19.1423611111111,0,0,0,0,0,0,0,0,0,0,0,-4.89149305555556,-19.8394097222222,0,0,0,-73.4574652777778,0,0,0,0,0,0,0,0,-15.4565972222222,0,0,0,0,0,0,0,0,0,0,102.048611111111,-22.9756944444444,0,0,0,0,-27.7699652777778,0,0,0,-122.910590277778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,34.6041666666667,0,0,0,213.416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56.5555555555556,0,0,0,0,0,0,0,43.7847222222222,0,0,0,0,0,0,0,0,61.25,40.1736111111111,0,0,-26.0972222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.02083333333333,16.4236111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06944444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.0555555555556,0,0,0,0,-32.0833333333333,0,-9.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8013392857143,0,0,61.8169642857143,0,0,0,0,-3.36160714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.4575892857143,20.0691964285714,0,0,0,0,0,0,0,0,-32.4888392857143,0,0,0,0,0,0,-15.5870535714286,0,0,-19.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6986607142857,0,0,0,0,0,0,-15.5602678571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3348214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-62.5848214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.722098214286,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.4229910714286,-19.6830357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4241071428571,0,0,0,0,0,0,0,0,0,-41.1908482142857,0,0,0,0,0,11.8950892857143,0,0,0,0,-28.6997767857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.396205357142857,0,0,-12.03125,-9.97433035714286,0,13.2935267857143,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-84.8236607142857,0,0,0,0,0,0,0,272.1328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8627232142857,0,-176.228794642857,0,0,0,0,0,0,0,0,-61.3805803571429,0,0,0,100.411830357143,0,0,0,0,0,0,0,0,0,0,24.0647321428571,0,0,0,0,0,0,0,0,0,0,0,0,0,-54.5736607142857,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0100446428571,0,0,0,0,0,0,0,-73.3839285714286,0,0,0,0,0,0,0,0,0,-16.8013392857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40513392857143,0,16.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
