"Place_lo","Place_hi","Payout"
"1","1","150000"
"2","2","75000"
"3","3","40000"
"4","4","25000"
"5","5","15000"
"6","6","10000"
"7","8","7000"
"9","10","5000"
"11","15","3500"
"16","20","2000"
"21","30","1500"
"31","50","1000"
"51","75","750"
"76","100","500"
"101","150","350"
"151","250","250"
"251","350","150"
"351","500","100"
"501","750","75"
"751","1000","50"
"1001","2000","35"
"2001","4500","25"
"4501","9000","20"
"9001","17000","15"
"17001","30000","12"
