Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
26,968753536,jamest2499 (1/4),0,316.5,C Karl-Anthony Towns G John Wall PG Tyreke Evans SF Khris Middleton SG Shabazz Napier UTIL DeMarre Carroll PF Gorgui Dieng F Brandan Wright,,George Hill,G,8.38%,19.5
26,968760639,jamest2499 (2/4),0,316.5,C Karl-Anthony Towns G John Wall PG Tyreke Evans SF Khris Middleton SG Shabazz Napier UTIL DeMarre Carroll PF Gorgui Dieng F Brandan Wright,,Taj Gibson,PF,8.33%,22.5
26,968779430,jamest2499 (3/4),0,316.5,C Karl-Anthony Towns G John Wall PG Tyreke Evans SF Khris Middleton SG Shabazz Napier UTIL DeMarre Carroll PF Gorgui Dieng F Brandan Wright,,Malcolm Brogdon,SG,8.26%,17
26,968779453,jamest2499 (4/4),0,316.5,C Karl-Anthony Towns G John Wall PG Tyreke Evans SF Khris Middleton SG Shabazz Napier UTIL DeMarre Carroll PF Gorgui Dieng F Brandan Wright,,DeAndre Jordan,C,8.10%,30.5
30,968737242,pogallagher (13/20),0,316.25,PG Tyreke Evans C Nikola Jokic F Kyle Kuzma SG Spencer Dinwiddie SF Josh Richardson G Austin Rivers UTIL Shabazz Napier PF Wilson Chandler,,Lauri Markkanen,PF,7.88%,20.25
31,967766204,Westray (18/20),0,316,PG Russell Westbrook SG CJ McCollum SF Rondae Hollis-Jefferson C Pau Gasol PF Al-Farouq Aminu G Shabazz Napier F DeMarre Carroll UTIL Andrew Harrison,,DeMarcus Cousins,C,7.85%,44.75
31,968425474,dr.boom,0,316,PG Russell Westbrook SF Khris Middleton C Kelly Olynyk SG Austin Rivers PF Julius Randle UTIL Shabazz Napier G Isaiah Canaan F Bobby Portis,,Jonathon Simmons,SF,7.63%,19.5
33,968692213,DonMega313 (3/3),0,315.75,G Russell Westbrook PG Victor Oladipo SG Tyreke Evans PF Bobby Portis UTIL Bojan Bogdanovic F Markieff Morris SF Allen Crabbe C Frank Kaminsky,,Lou Williams,PG,7.49%,44.5
34,968471837,gjorg,0,315.25,UTIL Russell Westbrook SF Paul George PF Kyle Kuzma C Nikola Mirotic G Elfrid Payton SG J.J. Barea F Bobby Portis PG Michael Carter-Williams,,Zach Randolph,PF,7.15%,25.5
34,968607637,GeneralAladeen (6/13),0,315.25,PG Tyreke Evans C Nikola Jokic F Khris Middleton SF Kyle Kuzma SG Eric Bledsoe G Austin Rivers UTIL Shabazz Napier PF Brandan Wright,,Jimmy Butler,SG,7.02%,45.5
34,968693641,Rickjaggle,0,315.25,G Russell Westbrook C Nikola Jokic PG Dennis Schroder F Kyle Kuzma UTIL Austin Rivers SG J.J. Barea SF Wilson Chandler PF Brandan Wright,,Nikola Mirotic,C,6.93%,23.75
