Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,968634495,DoctorRoBry (12/20),0,329.5,UTIL Russell Westbrook G Tyreke Evans SF Khris Middleton PG Dennis Schroder F Wilson Chandler SG George Hill C Bam Adebayo PF Gorgui Dieng,,Eric Bledsoe,SG,41.26%,32.75
2,968536405,tiderunner1300 (1/2),0,326.25,PG Victor Oladipo G Jimmy Butler SG Tyreke Evans C Myles Turner SF Will Barton PF Frank Kaminsky UTIL Josh Hart F Marquese Chriss,,Khris Middleton,F,35.42%,47.75
3,968634490,DoctorRoBry (7/20),0,325.25,PG Kyrie Irving UTIL Tyreke Evans SF Khris Middleton C Dwight Howard SG Spencer Dinwiddie G J.J. Barea F Bam Adebayo PF Brandan Wright,,Brandan Wright,PF,31.46%,10.5
4,968729727,Brabers,0,324.75,G Victor Oladipo C Myles Turner PG Spencer Dinwiddie SF Taurean Prince F Rondae Hollis-Jefferson SG Austin Rivers PF DeMarre Carroll UTIL Jordan Bell,,Kyle Kuzma,SF,30.65%,32.75
5,968726281,kamikazee2000,0,323.75,PG Victor Oladipo SF Khris Middleton PF Kyle Kuzma C Myles Turner UTIL Jamal Murray G Austin Rivers SG Shabazz Napier F Wes Iwundu,,Shabazz Napier,G,24.60%,39.75
6,968634494,DoctorRoBry (11/20),0,318.75,G Russell Westbrook SG Tyreke Evans SF Khris Middleton PG Dennis Schroder UTIL Kelly Olynyk F Bam Adebayo C Gorgui Dieng PF Brandan Wright,,Nikola Jokic,C,22.63%,38.25
7,968555200,castalnick,0,318.25,SG Victor Oladipo PG Tyreke Evans SF Kyle Kuzma PF Rondae Hollis-Jefferson G Austin Rivers UTIL Isaiah Canaan F Mason Plumlee C Dirk Nowitzki,,Wayne Ellington,SF,17.48%,19.75
8,968717767,swtsu1 (2/6),0,317,SG Tyreke Evans C Nikola Jokic SF Khris Middleton F Paul George PG Eric Bledsoe UTIL Tyler Johnson G J.J. Barea PF Brandan Wright,,Tyreke Evans,G,15.17%,64.75
9,968752562,jamest2499,0,316.5,C Karl-Anthony Towns G John Wall PG Tyreke Evans SF Khris Middleton SG Shabazz Napier UTIL DeMarre Carroll PF Gorgui Dieng F Brandan Wright,,CJ McCollum,SG,15.13%,33.25
10,967766697,Westray (18/20),0,316,PG Russell Westbrook SG CJ McCollum SF Rondae Hollis-Jefferson C Pau Gasol PF Al-Farouq Aminu G Shabazz Napier F DeMarre Carroll UTIL Andrew Harrison,,Josh Richardson,SF,13.81%,22
11,968779946,nokie223 (2/2),0,315.75,SG Tyreke Evans F Khris Middleton G Lonzo Ball SF Kyle Kuzma C Taj Gibson PG Austin Rivers PF Julius Randle UTIL Jordan Bell,,Karl-Anthony Towns,C,13.21%,41.5
12,968771804,leif123,0,314.75,SG Victor Oladipo PG Kyrie Irving SF Khris Middleton UTIL Austin Rivers G Tyler Johnson C Dirk Nowitzki PF Wilson Chandler F Frank Kaminsky,,Kevin Durant,SF,12.79%,33.5
13,968423438,cde201,0,313.75,UTIL Kyrie Irving SG Tyreke Evans SF Kyle Kuzma C Myles Turner G Josh Richardson PG Austin Rivers F Jordan Bell PF Frank Kaminsky,,Victor Oladipo,SG,12.53%,57
14,968747766,Peackleez,0,313.5,PG Victor Oladipo G Eric Bledsoe SG Spencer Dinwiddie F Rondae Hollis-Jefferson PF Carmelo Anthony SF Jaylen Brown UTIL Austin Rivers C Dirk Nowitzki,,John Wall,PG,12.36%,36.75
15,968634497,DoctorRoBry (14/20),0,313,UTIL Kyrie Irving G Tyreke Evans SF Khris Middleton C Dwight Howard PG Eric Bledsoe SG George Hill PF Bam Adebayo F Gorgui Dieng,,Tyler Johnson,SG,12.19%,29.25
16,968379145,Frozen,0,312.75,PG Tyreke Evans PF LaMarcus Aldridge SF Khris Middleton F Kyle Kuzma C Myles Turner SG Eric Bledsoe G Bojan Bogdanovic UTIL Brandan Wright,,Russell Westbrook,PG,12.06%,63
17,968634499,DoctorRoBry (16/20),0,312.5,UTIL Russell Westbrook G Tyreke Evans SF Khris Middleton PG Dennis Schroder PF Wilson Chandler F Evan Turner SG Andrew Harrison C Jordan Mickey,,Draymond Green,PF,11.59%,32.75
18,968378573,tlholder86,0,312.25,F Khris Middleton UTIL Dennis Schroder C Myles Turner PG Eric Bledsoe PF Taj Gibson SF Will Barton G Austin Rivers SG Tyler Johnson,,Austin Rivers,PG,11.42%,48.75
18,968530253,boo9878 (1/2),0,312.25,PG Tyreke Evans SG CJ McCollum C Nikola Jokic SF Josh Richardson G Austin Rivers PF Lauri Markkanen UTIL Shabazz Napier F DeMarre Carroll,,DeAndre Jordan,C,10.02%,30.5
18,968539713,boo9878 (2/2),0,312.25,PG Tyreke Evans SG CJ McCollum C Nikola Jokic SF Josh Richardson G Austin Rivers PF Lauri Markkanen UTIL Shabazz Napier F DeMarre Carroll,,George Hill,UTIL,9.72%,19.5
21,968634487,DoctorRoBry (4/20),0,311.75,PG Kyrie Irving G Tyreke Evans C Nikola Jokic SF Khris Middleton UTIL Tyler Johnson SG J.J. Barea F Michael Kidd-Gilchrist PF Gorgui Dieng,,Kyrie Irving,PG,9.59%,45.25
22,968370462,Sdotbrown24 (3/20),0,310.25,SG Victor Oladipo G Donovan Mitchell UTIL Kyle Kuzma C Myles Turner PG Spencer Dinwiddie PF Rondae Hollis-Jefferson SF DeMarre Carroll F Brandan Wright,,Malcolm Brogdon,SG,9.42%,17
23,968634489,DoctorRoBry (6/20),0,310,PG Kyrie Irving G Tyreke Evans C Nikola Jokic SF Khris Middleton UTIL Tyler Johnson SG J.J. Barea PF Bam Adebayo F Jordan Mickey,,Myles Turner,C,9.38%,48.25
24,968090922,rcolosimo05 (2/2),0,309.5,SG Tyreke Evans UTIL Khris Middleton G Dennis Schroder C Myles Turner PG Eric Bledsoe PF Taj Gibson SF Will Barton F Brandan Wright,,DeMarcus Cousins,C,8.99%,44.75
25,968494349,DutchieZing3,0,309.25,C Karl-Anthony Towns G Tyreke Evans F Khris Middleton SG Jamal Murray UTIL Austin Rivers PG Shabazz Napier PF Mason Plumlee SF Wayne Ellington,,Jordan Bell,PF,8.65%,28.5
25,968715618,ctibby007,0,309.25,SG Victor Oladipo G Tyreke Evans PF Kyle Kuzma C Myles Turner PG Eric Bledsoe SF Wilson Chandler UTIL Tyson Chandler F Wayne Ellington,,Jeff Teague,G,8.61%,27.25
27,968646248,melonhead111 (4/5),0,308,SG Jimmy Butler C DeAndre Jordan UTIL Kemba Walker PG Spencer Dinwiddie G Elfrid Payton SF Will Barton PF Dirk Nowitzki F Jordan Bell,,Wilson Chandler,F,8.14%,28.75
28,968626153,evan1970 (2/2),0,307.5,SG Tyreke Evans C Nikola Jokic PF Kyle Kuzma UTIL Eric Bledsoe SF Josh Richardson G Austin Rivers PG Shabazz Napier F Jordan Bell,,Frank Kaminsky,C,8.01%,23.5
29,968604221,bimboboy (1/4),0,306.75,PG Kyrie Irving SF Khris Middleton PF Al Horford G Spencer Dinwiddie UTIL Elfrid Payton F Jaylen Brown C John Henson SG Allen Crabbe,,Lonzo Ball,UTIL,7.93%,42.5
30,968615672,trackman94,0,306.5,PG Victor Oladipo C Myles Turner SG Spencer Dinwiddie SF Rondae Hollis-Jefferson UTIL Alex Len G Darren Collison PF Domantas Sabonis F DeMarre Carroll,,Taj Gibson,PF,7.67%,22.5
31,968680445,Yeepleasee,0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,LaMarcus Aldridge,PF,6.52%,46
31,968703075,jody2130 (2/2),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Bradley Beal,SG,6.44%,26.25
31,968768453,Supralicious (1/2),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Jimmy Butler,SG,6.14%,45.5
31,968778941,johnnylight707,0,305,PG Kyrie Irving SG Bradley Beal PF LaMarcus Aldridge SF Rondae Hollis-Jefferson G Austin Rivers F Nicolas Batum UTIL DeMarre Carroll C Bam Adebayo,,Andrew Wiggins,SG,6.05%,23.5
31,968780668,nicaragua69 (2/3),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Julius Randle,PF,6.05%,28.25
36,967723128,bigtid81 (3/3),0,304.5,PG John Wall SF Khris Middleton C Myles Turner SG Spencer Dinwiddie F Will Barton UTIL Tyler Johnson G Shabazz Napier PF Wilson Chandler,,Nikola Vucevic,UTIL,6.05%,2
36,968634484,DoctorRoBry (1/20),0,304.5,G Tyreke Evans C Nikola Jokic SF Khris Middleton PG Spencer Dinwiddie PF Kelly Olynyk UTIL Tyler Johnson SG J.J. Barea F Michael Kidd-Gilchrist,,Lauri Markkanen,UTIL,6.01%,20.25
36,968722742,keithbaker23 (1/2),0,304.5,G Victor Oladipo SF Khris Middleton F Paul George PF Kyle Kuzma UTIL Tyler Johnson PG Shabazz Napier C Jordan Bell SG Bogdan Bogdanovic,,Zach Randolph,F,5.88%,25.5
