"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","35000"
"3","3","25000"
"4","4","12000"
"5","5","10000"
"6","6","7000"
"7","8","5000"
"9","10","3000"
"11","15","2000"
"16","20","1500"
"21","30","1000"
"31","55","700"
"56","95","500"
"96","155","400"
"156","274","350"
"275","508","275"
