"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF","Caleb Swanigan",3200,"DEN@POR 12/22/2017 10:00PM ET",7.607,"POR","DEN",0,0,0
"PG","Quinn Cook",3100,"LAL@GS 12/22/2017 10:30PM ET",7.472,"GS","LAL",13.26,11.9,0
"SF/PF","Luol Deng",3000,"LAL@GS 12/22/2017 10:30PM ET",5,"LAL","GS",0,0,0
"C","Andrew Bogut",3000,"LAL@GS 12/22/2017 10:30PM ET",7.484,"LAL","GS",5.68,8.4,11.25
"PG/SG","Vander Blue",3000,"LAL@GS 12/22/2017 10:30PM ET",0.938,"LAL","GS",0,0,0
"PG/SG","Alex Caruso",3000,"LAL@GS 12/22/2017 10:30PM ET",4,"LAL","GS",0,0,0
"C","Damian Jones",3000,"LAL@GS 12/22/2017 10:30PM ET",1.25,"GS","LAL",0,0,0
"PG/SG","Tyler Ennis",3000,"LAL@GS 12/22/2017 10:30PM ET",4.396,"LAL","GS",0,0,0
"PF/C","Thomas Bryant",3000,"LAL@GS 12/22/2017 10:30PM ET",0,"LAL","GS",0,0,0
"PF","Chris Boucher",3000,"LAL@GS 12/22/2017 10:30PM ET",0,"GS","LAL",0,0,0
"SF/PF","Richard Jefferson",3000,"DEN@POR 12/22/2017 10:00PM ET",3.219,"DEN","POR",0,0,0
"PF","Darrell Arthur",3000,"DEN@POR 12/22/2017 10:00PM ET",3.938,"DEN","POR",0,0,0
"SG/SF","CJ Wilcox",3000,"DEN@POR 12/22/2017 10:00PM ET",0,"POR","DEN",0,0,0
"SF/PF","Jake Layman",3000,"DEN@POR 12/22/2017 10:00PM ET",3.692,"POR","DEN",5.83,10.8,4.25
"PG","Monte Morris",3000,"DEN@POR 12/22/2017 10:00PM ET",1.5,"DEN","POR",0,0,0
"PG/SG","Wade Baldwin IV",3000,"DEN@POR 12/22/2017 10:00PM ET",0,"POR","DEN",0,0,0
"PF","Tyler Lydon",3000,"DEN@POR 12/22/2017 10:00PM ET",0,"DEN","POR",0,0,0
