"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","50000"
"3","3","30000"
"4","4","20000"
"5","5","15000"
"6","6","10000"
"7","8","7500"
"9","10","5000"
"11","12","4000"
"13","14","3000"
"15","19","2000"
"20","24","1000"
"25","29","600"
"30","34","500"
"35","39","400"
"40","49","300"
"50","74","250"
"75","99","200"
"100","139","150"
"140","239","100"
"240","500","50"
"501","800","40"
"801","1300","30"
"1301","3300","25"
"3301","6800","20"
"6801","11800","15"
"11801","24150","12"
