"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19","2017-12-20","2017-12-22","2017-12-23"
"Jordan Clarkson_LAL",34,NA,41,NA,NA,21.75,NA,NA,NA,24,NA,17.75,NA,NA,9.75,13.25,25.75
"PJ Tucker_HOU",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,12,NA,30,NA,27,17.5,NA
"Marcus Morris_BOS",NA,NA,NA,29.25,NA,27,15.5,NA,0,NA,0,NA,0,NA,0,NA,0
"Jarrett Jack_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Ryan Anderson_HOU",NA,NA,34.25,NA,NA,NA,NA,NA,NA,NA,16.25,NA,12.5,NA,11.5,33.5,NA
"Mike Scott_WAS",NA,25.25,2.75,NA,10.25,NA,4.75,23.75,NA,15.75,18.25,NA,NA,31,NA,17.75,22.5
"Kelly Oubre_WAS",NA,29.5,39.75,NA,19.75,NA,11.25,30,NA,26.25,22,NA,NA,16.5,NA,19,30.5
"Larry Nance_LAL",29,NA,22.5,NA,NA,10.5,NA,NA,NA,17.75,NA,29.5,NA,NA,32.25,9.5,9.25
"Richaun Holmes_PHI",NA,NA,0,17.75,NA,0,0,NA,NA,34.75,NA,NA,NA,18,NA,NA,NA
"Markieff Morris_WAS",NA,7,9.5,NA,41.25,NA,15.75,22.5,NA,6.75,0,NA,NA,17.5,NA,16,23.25
"Brook Lopez_LAL",11.75,NA,11.75,NA,NA,27.75,NA,NA,NA,24.5,NA,13.75,NA,NA,0,0,0
"Omri Casspi_GS",16,NA,0,NA,19.5,NA,4.25,NA,13.25,NA,NA,39.75,NA,NA,22,21.25,16.25
"Trevor Booker_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.75,NA,NA,NA,20.5,NA,NA,NA
"Terry Rozier_BOS",NA,NA,NA,12.5,NA,11.75,16,NA,25.25,NA,17,NA,21,NA,9.25,NA,14.75
"Jeff Green_CLE",NA,15.5,NA,22.25,NA,21.5,27.5,NA,24.75,21.75,NA,16.25,19.25,21.5,NA,NA,NA
"TJ McConnell_PHI",NA,NA,7.5,0,NA,0,0,NA,NA,18,NA,NA,NA,13,NA,NA,NA
"JR Smith_CLE",NA,24.25,NA,13.75,NA,33.25,13,NA,18.75,22.25,NA,19.5,13.25,5,NA,NA,NA
"Jamal Crawford_MIN",NA,12.75,17.25,NA,17.75,NA,8.25,NA,19.25,12,NA,8.5,12,NA,32.75,NA,16.25
"Kyle O'Quinn_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Frank Ntilikina_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Andre Iguodala_GS",19.25,NA,16,NA,0,NA,24,NA,29,NA,NA,20.75,NA,NA,0,5,20.5
"Jerryd Bayless_PHI",NA,NA,20.75,18.5,NA,14.5,12.75,NA,NA,9,NA,NA,NA,22.25,NA,NA,NA
"Markelle Fultz_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Nene Hilario_HOU",NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,14,NA,26.5,NA,14.5,5.5,NA
"Jose Calderon_CLE",NA,9.5,NA,6.5,NA,1.5,13,NA,3.5,25.25,NA,35.25,14.5,19.5,NA,NA,NA
"Tomas Satoransky_WAS",NA,24.75,26.5,NA,31,NA,13.5,17,NA,18.5,8,NA,NA,21.75,NA,9.5,20
"Tim Frazier_WAS",NA,9.25,10.75,NA,24.75,NA,8,21.75,NA,12.25,5.5,NA,NA,5,NA,11,0
"Aron Baynes_BOS",NA,NA,NA,10.5,NA,11.75,20,NA,10.25,NA,26.5,NA,20,NA,8.25,NA,19.25
"Josh Hart_LAL",10.75,NA,9.25,NA,NA,23.25,NA,NA,NA,3.75,NA,32,NA,NA,27.5,8.25,31.5
"Amir Johnson_PHI",NA,NA,12.5,25,NA,24.5,8,NA,NA,3.5,NA,NA,NA,19.25,NA,NA,NA
"Doug McDermott_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
