"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,945990882,"Miller421 (17/20)",0,339,"G Russell Westbrook UTIL Damian Lillard SG Bradley Beal C Serge Ibaka SF Joe Ingles PF Greg Monroe F Al-Farouq Aminu PG Fred VanVleet",NA,"Greg Monroe","C","60.28%",34
2,945907795,"perilous (1/20)",0,333,"PG Russell Westbrook SF DeMar DeRozan SG Bradley Beal C Serge Ibaka F Joe Ingles UTIL Greg Monroe PF Al-Farouq Aminu G Tim Frazier",NA,"Alec Burks","UTIL","48.27%",21
3,945986806,"Miller421 (8/20)",0,331.5,"G Russell Westbrook UTIL Damian Lillard SG Bradley Beal C Serge Ibaka F Markieff Morris PF Greg Monroe SF Al-Farouq Aminu PG Fred VanVleet",NA,"Russell Westbrook","PG","44.49%",77.25
3,946200102,"dean78904 (4/4)",0,331.5,"G Russell Westbrook UTIL Damian Lillard SG Bradley Beal C Serge Ibaka SF Kelly Oubre Jr. PF Greg Monroe F Pascal Siakam PG Fred VanVleet",NA,"Devin Booker","SF","42.95%",43.25
5,946403217,"chandyman",0,331.25,"G Russell Westbrook PG Damian Lillard SG Bradley Beal PF Serge Ibaka SF Joe Ingles C Greg Monroe F Pascal Siakam UTIL Jakob Poeltl",NA,"DeMar DeRozan","SG","41.99%",46.75
6,946207455,"BigNub (14/20)",0,328.5,"PG Russell Westbrook SF DeMar DeRozan SG Bradley Beal F Carmelo Anthony C Serge Ibaka PF Greg Monroe UTIL Jakob Poeltl G Fred VanVleet",NA,"Kyle Lowry","PG","39.49%",48.5
7,945907799,"perilous (5/20)",0,326,"PG Russell Westbrook SF DeMar DeRozan SG Bradley Beal PF Carmelo Anthony F Serge Ibaka C Greg Monroe G Andre Roberson UTIL Jakob Poeltl",NA,"T.J. Warren","PF","36.54%",10.75
8,946409695,"evildan187 (3/5)",0,324.75,"PG Russell Westbrook UTIL DeMar DeRozan G Bradley Beal F Serge Ibaka PF Markieff Morris C Greg Monroe SG Alec Burks SF Al-Farouq Aminu",NA,"Serge Ibaka","PF","33.16%",37
8,946412508,"chewbie",0,324.75,"PG Russell Westbrook SG DeMar DeRozan SF Devin Booker UTIL Bradley Beal C Greg Monroe F OG Anunoby PF Jakob Poeltl G Fred VanVleet",NA,"Damian Lillard","PG","31.54%",53
10,946103590,"yournamee (1/3)",0,324.5,"G Russell Westbrook UTIL Damian Lillard SG Bradley Beal F Joe Ingles PF Markieff Morris C Greg Monroe SF Al-Farouq Aminu PG Fred VanVleet",NA,"Fred VanVleet","PG","29.65%",21.5
11,946349960,"partyhardworkharder (1/10)",0,324,"UTIL Russell Westbrook PG Kyle Lowry SF DeMar DeRozan SG Donovan Mitchell PF Al-Farouq Aminu F Thabo Sefolosha C Jakob Poeltl G Fred VanVleet",NA,"Al-Farouq Aminu","PF","29.04%",27
12,945919151,"H_ppy",0,323.5,"UTIL Russell Westbrook PG Damian Lillard SG Donovan Mitchell PF Serge Ibaka SF Kelly Oubre Jr. F Markieff Morris C Greg Monroe G Fred VanVleet",NA,"Bradley Beal","SG","25.59%",59.25
13,946414694,"lkr4ds (1/2)",0,322.75,"PG Russell Westbrook G Damian Lillard SG Bradley Beal SF Kelly Oubre Jr. PF Markieff Morris C Greg Monroe F Alex Len UTIL Fred VanVleet",NA,"Paul George","SF","23.39%",28.25
14,945986802,"Miller421 (7/20)",0,322.5,"G Russell Westbrook UTIL Damian Lillard SG Bradley Beal C Serge Ibaka F Greg Monroe SF Al-Farouq Aminu PG Mike James PF Pascal Siakam",NA,"Jusuf Nurkic","C","23.27%",34.25
14,946351916,"golferdude31 (15/20)",0,322.5,"PG Russell Westbrook UTIL Damian Lillard SG Bradley Beal C Steven Adams SF Markieff Morris PF Greg Monroe F Jakob Poeltl G Fred VanVleet",NA,"Otto Porter","F","22.99%",22
16,946215319,"Hooligans (9/20)",0,321.5,"UTIL Russell Westbrook SF Devin Booker SG Bradley Beal PG C.J. McCollum PF Serge Ibaka F Greg Monroe C Jakob Poeltl G Fred VanVleet",NA,"Jakob Poeltl","F","22.81%",21.25
17,946172353,"yournamee (3/3)",0,321.25,"G Russell Westbrook UTIL Damian Lillard SG Bradley Beal C Marcin Gortat PF Markieff Morris F Greg Monroe SF Al-Farouq Aminu PG Fred VanVleet",NA,"C.J. McCollum","G","22.31%",28
17,946215318,"Hooligans (8/20)",0,321.25,"UTIL Russell Westbrook SG DeMar DeRozan G Bradley Beal C Jusuf Nurkic F Greg Monroe SF Al-Farouq Aminu PF Jakob Poeltl PG Fred VanVleet",NA,"Pascal Siakam","PF","18.70%",19.5
19,946366657,"t5662jp (7/20)",0,321,"PG Russell Westbrook UTIL Damian Lillard SG Bradley Beal F Joe Ingles C Greg Monroe G Alec Burks SF Al-Farouq Aminu PF Pascal Siakam",NA,"Carmelo Anthony","F","17.39%",31.5
20,946191706,"dean78904 (1/4)",0,320.75,"G Russell Westbrook F Devin Booker SG Donovan Mitchell C Serge Ibaka SF Kelly Oubre Jr. UTIL Joe Ingles PF Greg Monroe PG Alec Burks",NA,"Steven Adams","C","15.92%",33.75
21,946131485,"jackjohnson9 (1/2)",0,320,"PG Russell Westbrook SG Devin Booker G Bradley Beal SF Carmelo Anthony PF Serge Ibaka C Greg Monroe F Josh Jackson UTIL Fred VanVleet",NA,"Jonas Valanciunas","UTIL","13.60%",17
22,946422801,"modeletmerisier",0,319.25,"PG Kyle Lowry SF DeMar DeRozan SG Bradley Beal C Steven Adams F Serge Ibaka G Kelly Oubre Jr. UTIL Joe Ingles PF Greg Monroe",NA,"Tyler Ulis","G","13.02%",11.75
23,946140503,"gator8488",0,318.5,"PG Russell Westbrook G Damian Lillard SG Bradley Beal PF Serge Ibaka SF Markieff Morris C Greg Monroe F Josh Jackson UTIL C.J. Miles",NA,"Donovan Mitchell","SG","11.94%",48.25
24,945655602,"chefcurry68 (11/20)",0,318.25,"G Russell Westbrook PG Kyle Lowry SG Bradley Beal UTIL Carmelo Anthony PF Greg Monroe SF Al-Farouq Aminu F Pascal Siakam C Jakob Poeltl",NA,"Markieff Morris","PF","11.46%",22.5
24,946215317,"Hooligans (7/20)",0,318.25,"UTIL Russell Westbrook SG Bradley Beal C Jusuf Nurkic PG C.J. McCollum PF Serge Ibaka F Greg Monroe SF Al-Farouq Aminu G Fred VanVleet",NA,"Derrick Favors","C","10.62%",18.5
26,945844512,"Babyrocko1908 (3/3)",0,318,"PG Russell Westbrook SF Paul George SG Bradley Beal C Steven Adams UTIL Serge Ibaka PF Greg Monroe F Al-Farouq Aminu G Fred VanVleet",NA,"Kelly Oubre Jr.","G","10.37%",30
26,946424124,"justinreis13 (1/3)",0,318,"G Russell Westbrook SF Paul George SG Bradley Beal C Steven Adams UTIL Serge Ibaka PF Greg Monroe F Al-Farouq Aminu PG Fred VanVleet",NA,"Tomas Satoransky","SG","9.71%",17
26,946427372,"fantasygod2286 (1/3)",0,318,"UTIL Russell Westbrook SF DeMar DeRozan SG Bradley Beal G Donovan Mitchell C Greg Monroe PF Pascal Siakam PG Tyler Ulis F Jakob Poeltl",NA,"Ricky Rubio","G","9.31%",22
29,946351919,"golferdude31 (18/20)",0,317.75,"G Damian Lillard SF DeMar DeRozan SG Bradley Beal UTIL Donovan Mitchell C Steven Adams PF Greg Monroe F Jakob Poeltl PG Fred VanVleet",NA,"Joe Ingles","F","9.06%",30
30,946186445,"khay86 (18/20)",0,317.25,"UTIL Kyle Lowry SG DeMar DeRozan SF Devin Booker G Bradley Beal PF Serge Ibaka C Greg Monroe F Al-Farouq Aminu PG Fred VanVleet",NA,"Norman Powell","F","8.58%",6.75
30,946286460,"TrustTheGutCast",0,317.25,"UTIL Russell Westbrook PG Damian Lillard SG Bradley Beal SF Carmelo Anthony C Greg Monroe PF Pascal Siakam F Jakob Poeltl G Fred VanVleet",NA,"Tyson Chandler","C","5.65%",0
30,946351917,"golferdude31 (16/20)",0,317.25,"PG Russell Westbrook SG Bradley Beal UTIL Donovan Mitchell SF Otto Porter C Steven Adams PF Greg Monroe F Jakob Poeltl G Fred VanVleet",NA,"Marcin Gortat","C","4.97%",26.75
30,946422029,"2crabby (2/2)",0,317.25,"PG Kyle Lowry SG DeMar DeRozan SF Devin Booker G Bradley Beal PF Serge Ibaka C Greg Monroe F Al-Farouq Aminu UTIL Fred VanVleet",NA,"Andre Roberson","UTIL","4.79%",19
34,946076713,"Pac13",0,316.75,"G Russell Westbrook SF Paul George SG Bradley Beal UTIL Donovan Mitchell C Greg Monroe PF Al-Farouq Aminu F Jakob Poeltl PG Fred VanVleet",NA,"Pat Connaughton","F","4.79%",7.75
35,946201588,"theblackhand (2/2)",0,316.5,"PG Russell Westbrook SF DeMar DeRozan G Bradley Beal C Steven Adams F Kelly Oubre Jr. SG Alec Burks PF Al-Farouq Aminu UTIL Fred VanVleet",NA,"Rudy Gobert","C","4.62%",16
35,946425034,"capperman79 (8/20)",0,316.5,"G Russell Westbrook PG Kyle Lowry SG Devin Booker F Serge Ibaka SF Joe Ingles UTIL Greg Monroe PF Alex Len C Jakob Poeltl",NA,"Mike James","G","3.79%",15.5
37,946080059,"sploush (12/20)",0,316,"PG Russell Westbrook SF Devin Booker SG Bradley Beal C Jusuf Nurkic UTIL Greg Monroe F Al-Farouq Aminu PF Pascal Siakam G Fred VanVleet",NA,"Alex Len","C","3.73%",25.25
37,946333798,"geezy15",0,316,"G Russell Westbrook UTIL Damian Lillard SG DeMar DeRozan F Serge Ibaka C Greg Monroe SF Al-Farouq Aminu PF Pascal Siakam PG Fred VanVleet",NA,"C.J. Miles","SG","3.20%",19.25
37,946391968,"fortherecordhomer",0,316,"G Russell Westbrook PG Kyle Lowry SG Bradley Beal UTIL Ricky Rubio C Marcin Gortat PF Greg Monroe SF Al-Farouq Aminu F Jakob Poeltl",NA,"Tim Frazier","UTIL","3.05%",21.75
37,946414049,"ballplayermike (1/2)",0,316,"G Russell Westbrook UTIL Damian Lillard SG DeMar DeRozan F Serge Ibaka C Greg Monroe SF Al-Farouq Aminu PF Pascal Siakam PG Fred VanVleet",NA,"Marquese Chriss","PF","2.95%",9
41,945931138,"ADH6676 (1/20)",0,315.75,"PG Russell Westbrook G Devin Booker SG Bradley Beal UTIL Jusuf Nurkic F Greg Monroe SF Al-Farouq Aminu PF Pascal Siakam C Jakob Poeltl",NA,"Jerami Grant","F","2.83%",8.25
41,946022110,"dkiefr19 (15/20)",0,315.75,"PG Russell Westbrook G Damian Lillard SG DeMar DeRozan PF Serge Ibaka C Greg Monroe SF Al-Farouq Aminu F Pascal Siakam UTIL Jakob Poeltl",NA,"Josh Jackson","SF","2.40%",16.25
41,946193392,"thay3r (1/9)",0,315.75,"G Russell Westbrook F DeMar DeRozan SF Devin Booker SG Bradley Beal PF Al-Farouq Aminu UTIL Pascal Siakam C Jakob Poeltl PG Fred VanVleet",NA,"Evan Turner","SG","2.27%",5.75
44,945728379,"mrcse13 (7/20)",0,315,"UTIL Russell Westbrook PG Kyle Lowry SG Bradley Beal C Steven Adams G Ricky Rubio PF Greg Monroe SF Andre Roberson F Jakob Poeltl",NA,"Jonas Jerebko","F","2.07%",13
44,945923286,"ncjonyoung (3/4)",0,315,"PG Russell Westbrook F DeMar DeRozan SG Bradley Beal UTIL C.J. McCollum C Greg Monroe SF Al-Farouq Aminu PF Jakob Poeltl G Fred VanVleet",NA,"Shabazz Napier","G","1.64%",3
46,946275442,"nhl2005 (17/20)",0,314.75,"G Russell Westbrook SF Devin Booker SG Bradley Beal F Carmelo Anthony C Greg Monroe UTIL Alec Burks PF Al-Farouq Aminu PG Fred VanVleet",NA,"OG Anunoby","SF","1.11%",21.5
47,945986762,"Miller421 (5/20)",0,314.5,"G Russell Westbrook UTIL Damian Lillard SG Bradley Beal F Serge Ibaka SF Joe Ingles C Jonas Valanciunas PF Pascal Siakam PG Fred VanVleet",NA,"Noah Vonleh","PF","1.09%",9.5
47,945990817,"Miller421 (12/20)",0,314.5,"UTIL Damian Lillard G Kyle Lowry SG Bradley Beal C Jusuf Nurkic F Serge Ibaka PF Greg Monroe SF Al-Farouq Aminu PG Fred VanVleet",NA,"Dragan Bender","F","1.09%",1.25
47,946127671,"mosyadig (7/20)",0,314.5,"UTIL Russell Westbrook G Kyle Lowry SG DeMar DeRozan C Serge Ibaka SF Joe Ingles F Greg Monroe PF Pascal Siakam PG Fred VanVleet",NA,"Thabo Sefolosha","SF","1.03%",33.5
