"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,972780315,"ChristianofTrtuh",0,290.75,"F Giannis Antetokounmpo C Andre Drummond PG Elfrid Payton PF Tobias Harris G Milos Teodosic SG Andrew Harrison SF Wayne Ellington UTIL Bismack Biyombo",NA,"Bismack Biyombo","PF","72.58%",27.5
2,972789351,"afred7171",0,288.5,"SG Tyreke Evans PG Kyle Lowry G Lou Williams UTIL Donovan Mitchell SF Tobias Harris PF Dirk Nowitzki F Wayne Ellington C Bismack Biyombo",NA,"Giannis Antetokounmpo","PF","70.84%",45.25
3,972593093,"swanee11",0,287.5,"C Marc Gasol PG Tyreke Evans UTIL Kris Dunn G Elfrid Payton PF Willie Cauley-Stein SG Mario Hezonja F Wilson Chandler SF Wayne Ellington",NA,"Andrew Harrison","G","66.06%",22.5
4,972768323,"irhasbrouck380",0,285.75,"UTIL Andre Drummond C Marc Gasol PG Kyle Lowry G Goran Dragic SF Wilson Chandler F Dirk Nowitzki PF Bam Adebayo SG Wayne Ellington",NA,"Nikola Jokic","C","60.23%",31.25
5,972353163,"ashcaveman48 (1/4)",0,282.5,"PG Tyreke Evans SG Eric Bledsoe SF Josh Richardson PF Nikola Mirotic UTIL Willie Cauley-Stein F Domantas Sabonis C Jonas Valanciunas G Malcolm Brogdon",NA,"Wayne Ellington","SF","59.09%",34
5,972358291,"ashcaveman48 (4/4)",0,282.5,"PG Tyreke Evans SG Eric Bledsoe SF Josh Richardson PF Nikola Mirotic UTIL Willie Cauley-Stein F Domantas Sabonis C Jonas Valanciunas G Malcolm Brogdon",NA,"Milos Teodosic","PG","42.91%",28.5
7,972513462,"mazwa",0,280.5,"SF Giannis Antetokounmpo UTIL Andre Drummond C DeAndre Jordan PG J.J. Barea F Dirk Nowitzki G Andrew Harrison SG Wayne Ellington PF Bismack Biyombo",NA,"Lou Williams","SG","38.73%",31.25
8,972698835,"hondizzle (1/5)",0,276.5,"C Andre Drummond SG Tyreke Evans PG Lou Williams UTIL Eric Bledsoe F Wilson Chandler G George Hill SF Wayne Ellington PF Bismack Biyombo",NA,"Andre Drummond","UTIL","31.94%",50
8,972698836,"hondizzle (2/5)",0,276.5,"C Andre Drummond SG Tyreke Evans PG Lou Williams UTIL Eric Bledsoe F Wilson Chandler G George Hill SF Wayne Ellington PF Bismack Biyombo",NA,"Tyreke Evans","G","28.46%",43.25
8,972698837,"hondizzle (3/5)",0,276.5,"C Andre Drummond SG Tyreke Evans PG Lou Williams UTIL Eric Bledsoe F Wilson Chandler G George Hill SF Wayne Ellington PF Bismack Biyombo",NA,"J.J. Barea","SG","26.11%",29.75
