Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
28,974134815,GreyPoupon (15/30),0,314.5,G James Harden UTIL Kyrie Irving C Jusuf Nurkic F Dario Saric SF JJ Redick PG Ish Smith PF Bismack Biyombo SG Tyus Jones,,Andrew Wiggins,SF,7.91%,29.75
28,974326154,ChipotleAddict (16/150),0,314.5,C Andre Drummond SG Jimmy Butler PG Eric Bledsoe UTIL CJ McCollum SF Evan Fournier F Marcus Smart PF Ryan Anderson G Tyus Jones,,Elfrid Payton,G,7.75%,42.5
30,974160402,petteytheft89 (10/75),0,314.25,SG James Harden UTIL CJ McCollum SF Tobias Harris C Jusuf Nurkic F Jayson Tatum PG Ish Smith PF Bismack Biyombo G Tyus Jones,,Terry Rozier,UTIL,7.60%,27.75
31,974160406,petteytheft89 (14/75),0,314,SG James Harden G Kyrie Irving SF Tobias Harris C Dario Saric F Marcus Smart PG Ish Smith PF Bismack Biyombo UTIL Tyus Jones,,Al-Farouq Aminu,UTIL,7.23%,13.5
31,974412240,kdwillwin (3/6),0,314,G James Harden UTIL Kyrie Irving F Tobias Harris PF Dario Saric SF Marcus Smart PG Ish Smith C Bismack Biyombo SG Tyus Jones,,JJ Redick,UTIL,7.06%,25.25
33,974529147,papagates (44/150),0,313.5,C Andre Drummond PF Kristaps Porzingis G Jimmy Butler SG Eric Gordon F Jayson Tatum SF Marcus Smart PG Ish Smith UTIL Frank Ntilikina,,Stanley Johnson,SG,6.92%,18
34,974317927,kjr32 (3/4),0,313.25,SG James Harden PG Elfrid Payton PF Dario Saric F Taj Gibson UTIL Jayson Tatum SF Marcus Smart G Ish Smith C Bismack Biyombo,,Eric Bledsoe,UTIL,6.17%,47.75
35,974284681,cheddabisque (41/150),0,313,UTIL James Harden C Andre Drummond G Elfrid Payton PF Jayson Tatum PG Ish Smith F Bismack Biyombo SF Reggie Bullock SG Tyus Jones,,Ben Simmons,G,5.57%,34.5
36,974134715,GreyPoupon (1/30),0,312.75,G James Harden C Karl-Anthony Towns F Dario Saric SF Andrew Wiggins UTIL Marcus Smart PG Ish Smith PF Bismack Biyombo SG Tyus Jones,,John Henson,UTIL,5.42%,21
36,974413812,metzee69 (1/4),0,312.75,SG James Harden PF Kristaps Porzingis G Elfrid Payton C Dario Saric SF Jayson Tatum PG Ish Smith F Reggie Bullock UTIL Tyus Jones,,Ed Davis,PF,4.96%,14.5
38,974284683,cheddabisque (43/150),0,312.5,PG James Harden C Andre Drummond UTIL Eric Gordon SF JJ Redick F Marcus Smart G Ish Smith PF Bismack Biyombo SG Tyus Jones,,Jusuf Nurkic,C,4.74%,42.5
38,974467439,tebowtothecfl (1/2),0,312.5,F Ben Simmons SG CJ McCollum UTIL Elfrid Payton SF Tobias Harris C Jusuf Nurkic PF Dario Saric G Ish Smith PG Tyus Jones,,Nene Hilario,UTIL,4.58%,19
40,974047983,jayman454,0,312.25,SG James Harden C Andre Drummond SF Tobias Harris F Jayson Tatum G Ish Smith PF Bismack Biyombo UTIL Shabazz Napier PG Tyus Jones,,Taj Gibson,C,4.53%,22.25
40,974616759,chess_is_ok (4/150),0,312.25,UTIL James Harden C Andre Drummond F Tobias Harris SF Jayson Tatum G Ish Smith PF Bismack Biyombo PG Shabazz Napier SG Tyus Jones,,Malcolm Brogdon,PG,4.47%,25.25
42,974487934,balletta777 (1/19),0,312,C Andre Drummond PF Al Horford PG Eric Bledsoe G Elfrid Payton F Dario Saric SF Jayson Tatum UTIL Bismack Biyombo SG Tyus Jones,,Dario Saric,F,4.25%,47.25
42,974616831,chess_is_ok (76/150),0,312,PG James Harden PF Kristaps Porzingis SF Tobias Harris C Jusuf Nurkic F Marcus Smart G Ish Smith UTIL Shabazz Napier SG Tyus Jones,,Damian Lillard,G,4.06%,0
42,974616867,chess_is_ok (112/150),0,312,SG James Harden PF Kristaps Porzingis F Tobias Harris C Dario Saric SF Jayson Tatum G Ish Smith PG Shabazz Napier UTIL Tyus Jones,,Jamal Crawford,SG,4.00%,16.75
45,974160416,petteytheft89 (24/75),0,311.75,SG James Harden G Kyrie Irving C Jusuf Nurkic PF Jayson Tatum SF Evan Fournier F Marcus Smart PG Ish Smith UTIL Tyus Jones,,Aaron Gordon,SF,3.19%,26.25
45,974292607,taylor1610 (4/6),0,311.75,G James Harden C Karl-Anthony Towns UTIL Elfrid Payton F Dario Saric PG Ish Smith PF Bismack Biyombo SF Reggie Bullock SG Tyus Jones,,Evan Turner,UTIL,3.15%,11.5
45,974300158,darcmaniluk (73/150),0,311.75,SG James Harden C Andre Drummond SF Tobias Harris F Evan Fournier PG Ish Smith PF Bismack Biyombo UTIL Shabazz Napier G Tyus Jones,,P.J. Tucker,F,2.79%,17.25
45,974616797,chess_is_ok (42/150),0,311.75,UTIL James Harden C Andre Drummond PF Tobias Harris F Marcus Smart G Ish Smith SF Kyle Anderson SG Shabazz Napier PG Tyus Jones,,Pau Gasol,PF,2.75%,43.25
49,974160425,petteytheft89 (33/75),0,311.5,C Andre Drummond G Kyrie Irving UTIL CJ McCollum PF Tobias Harris F Jayson Tatum SF Marcus Smart PG Ish Smith SG Tyus Jones,,Frank Ntilikina,SG,1.64%,35.25
49,974529123,papagates (20/150),0,311.5,C Andre Drummond PF Al Horford G CJ McCollum PG Elfrid Payton UTIL Jayson Tatum SF Evan Fournier F Marcus Smart SG Frank Ntilikina,,Zach Collins,F,1.62%,8.5
