"Place_lo","Place_hi","Payout"
"1","1","15000"
"2","2","10000"
"3","3","7000"
"4","4","5000"
"5","5","3000"
"6","6","2000"
"7","8","1500"
"9","10","1000"
"11","15","750"
"16","25","500"
"26","35","300"
"36","60","200"
"61","100","150"
"101","150","125"
"151","250","100"
"251","450","75"
"451","775","60"
"776","1365","50"
