"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"LeBron James","SF/PFSFPF","CLE","@ CHI","16th",109.25,11800,35.6,83.7,56.3,1.53,30.5,18.9,36.7,35.61,56.19,56.19,"%",76,4.8,34,44.75,3.8
"DeMarcus Cousins","PF/CPFC","NOP","vs GSW","7th",109.5,11000,28.9,72.5,54.6,1.55,34.2,19.3,35.2,36.61,47.56,47.56,"%",77,4.3,31,58.75,5.3
"Giannis Antetokounmpo","SF/PFSFPF","MIL","@ BOS","6th",99,10600,39.9,65.8,55.5,1.52,34.5,20,36.5,36.9,51,51,"%",87,4.8,39,55.25,5.2
"Joel Embiid","C","PHI","vs PHX","17th",118,9800,30,76.8,45.8,1.57,34.7,16.8,29.2,30.83,50.07,50.07,"%",71,5.1,34,49.5,5.1
"Ben Simmons","PG/SFPGSF","PHI","vs PHX","30th",118,9800,37.5,72.3,45.6,1.29,24.7,14.7,35.3,37.25,52.41,52.41,"%",78,5.3,36,51,5.2
"Stephen Curry","PG/SGPGSG","GSW","@ NOP","23rd",118.5,9400,38,65.8,46.4,1.45,31.3,17.6,32,33.7,49.94,49.94,"%",83,5.3,34,58.75,6.3
"Kevin Durant","SF/PFSFPF","GSW","@ NOP","14th",118.5,9000,37,60.6,45.5,1.35,29.1,17.3,33.6,34.17,47.12,47.12,"%",85,5.2,34,38.25,4.3
"Andre Drummond","C","DET","@ SAS","15th",98.5,8800,33.4,68.6,44.3,1.35,21.2,10.3,32.9,34.14,48.51,48.51,"%",77,5.5,31,41.25,4.7
"Victor Oladipo","PG/SGPGSG","IND","vs NYK","21st",110.75,8700,26.8,66.8,41.3,1.26,31,17.7,32.9,34.9,43.94,43.94,"%",72,5.1,29,33.75,3.9
"Kyrie Irving","PG","BOS","vs MIL","7th",104,8500,23.8,64.9,38.5,1.24,31.8,17.5,31.1,35,41.44,41.44,"%",69,4.9,33,42,4.9
"LaMarcus Aldridge","PF/CPFC","SAS","vs DET","14th",102.5,8300,27.9,62.1,40.3,1.23,29.1,17.3,32.7,34.58,42.6,42.6,"%",76,5.1,35,37.5,4.5
"Karl-Anthony Towns","C","MIN","@ MEM","9th",102.25,8300,23.1,60.1,41.3,1.21,24.3,14.6,34.1,35.29,38.96,38.96,"%",74,4.7,37,27.75,3.3
"Kevin Love","PF/CPFC","CLE","@ CHI","11th",109.25,8200,21.7,63.7,37.9,1.3,26.7,12.9,29.2,31.89,39.73,39.73,"%",68,4.8,22,45.25,5.5
"Marc Gasol","C","MEM","vs MIN","28th",99.25,8100,23.3,61,40.9,1.2,28.7,15.9,34.1,33.21,39.42,39.42,"%",74,4.9,34,38.75,4.8
"Dennis Schroder","PG","ATL","vs BKN","30th",110.75,8000,34.1,60,35.3,1.12,30.5,17.6,31.6,33.77,45.22,45.22,"%",79,5.7,30,31.25,3.9
"Aaron Gordon","SF/PFSFPF","ORL","@ CHA","21st",105.75,7900,19.6,65.5,36.8,1.12,22.2,13.1,32.8,36.68,39.25,39.25,"%",64,5,35,30,3.8
"Devin Booker","SG/SFSGSF","PHX","@ PHI","4th",108,7800,18.4,62.2,36.9,1.11,29.3,18.4,33.1,36.8,37.17,37.17,"%",66,4.8,38,64.5,8.3
"Dwight Howard","C","CHA","vs ORL","23rd",112.75,7700,19.6,59.5,35.1,1.22,26.4,9.9,28.7,30.9,36.65,36.65,"%",68,4.8,29,24.25,3.1
"Al Horford","PF/CPFC","BOS","vs MIL","29th",104,7600,29,51.4,34.8,1.09,18.4,10,32,32.18,38.62,38.62,"%",82,5.1,34,44.75,5.9
"Kemba Walker","PG","CHA","vs ORL","29th",112.75,7500,24.1,62.5,38.3,1.1,26.6,16.5,34.7,33.8,40.56,40.56,"%",71,5.4,34,50.5,6.7
"Rudy Gobert","C","UTA","vs WAS","8th",100.75,7500,10.3,45.6,35,1.05,16.9,8.3,33.4,25.2,25.4,25.4,"%",71,3.4,21,26,3.5
"Draymond Green","PF/CPFC","GSW","@ NOP","28th",118.5,7400,28.6,56.7,34.6,1.11,15.9,7.6,31.2,32.8,40.67,40.67,"%",77,5.5,38,53.25,7.2
"Bradley Beal","SG","WAS","@ UTA","1st",96.75,7400,18.4,55.8,36.5,1.07,28.7,17.4,34.1,36.02,34.44,34.44,"%",71,4.7,27,13.25,1.8
"Tyreke Evans","SG/SFSGSF","MEM","vs MIN","5th",99.25,7300,18.7,57.3,32.7,1.14,27.6,13.6,28.6,31.89,35.24,35.24,"%",66,4.8,33,43.25,5.9
"Nikola Vucevic","C","ORL","@ CHA","12th",105.75,7100,16,57.2,36.1,1.24,24.7,14.1,29.2,31.18,33.64,33.64,"%",67,4.7,27,34.5,4.9
"Klay Thompson","SG","GSW","@ NOP","25th",118.5,7000,24.6,50.8,33.5,1.03,24.2,16.1,32.6,34.33,35.81,35.81,"%",78,5.1,37,31.25,4.5
"Spencer Dinwiddie","PG/SGPGSG","BKN","@ ATL","20th",109.75,7000,18.9,58.2,28.6,1.11,20.4,10.3,25.7,29.9,35.76,35.76,"%",61,5.1,30,29.75,4.3
"Will Barton","SG/SFSGSF","DEN","@ DAL","10th",103.25,6900,10,50,29.2,1.01,22.2,11.7,29,29.59,27.13,27.13,"%",61,3.9,41,46,6.7
"Jimmy Butler","SG","MIN","@ MEM","9th",102.25,6900,21.9,56.7,36.2,1.01,22.9,14.5,36,38,36.82,36.82,"%",73,5.3,40,48,7
"Donovan Mitchell","PG/SGPGSG","UTA","vs WAS","6th",100.75,6900,16.6,57.4,28.8,1.01,28.7,14.8,28.4,33.05,34.07,34.07,"%",60,4.9,25,27.75,4
"T.J. Warren","SF/PFSFPF","PHX","@ PHI","28th",108,6700,15.6,60.2,30.7,1,25.3,15.5,30.6,32.56,34.71,34.71,"%",59,5.2,34,43,6.4
"Derrick Favors","PF/CPFC","UTA","vs WAS","23rd",100.75,6700,17.2,57.3,27.7,1,20.5,9.7,27.7,28.25,34.38,34.38,"%",59,5.1,24,23.5,3.5
"Eric Bledsoe","PG/SGPGSG","MIL","@ BOS","14th",99,6700,16.8,54.4,32.1,1.1,27.7,13.4,29.3,30.08,32.94,32.94,"%",67,4.9,34,28.75,4.3
"Harrison Barnes","SF/PFSFPF","DAL","vs DEN","9th",105.25,6600,19.1,45.7,32.2,0.93,24.6,15,34.7,35.02,30.5,30.5,"%",76,4.6,36,40.5,6.1
"Otto Porter","SF/PFSFPF","WAS","@ UTA","5th",96.75,6600,11,50,32.5,1.01,18.8,12.2,32.3,30.55,27.74,27.74,"%",66,4.2,28,24,3.6
"Andrew Wiggins","SF/PFSFPF","MIN","@ MEM","17th",102.25,6500,17.1,45.3,30.5,0.84,23.7,15.5,36.4,37.96,29.15,29.15,"%",74,4.5,36,21.25,3.3
"Tobias Harris","SF/PFSFPF","DET","@ SAS","22nd",98.5,6400,15.8,49.9,31,0.96,22.8,15.1,32.2,30.73,30.39,30.39,"%",69,4.7,39,26.25,4.1
