"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG/SF","DeAndre' Bembry",3900,"ATL@BKN 12/02/2017 03:00PM ET",10,"ATL","BKN",0,0,0
"PG/SG","Devin Harris",3900,"LAC@DAL 12/02/2017 02:00PM ET",15.969,"DAL","LAC",15.99,0,25.75
"PF/C","Daniel Theis",3800,"PHO@BOS 12/02/2017 01:00PM ET",11.94,"BOS","PHO",11.2,0,12
"C","Aron Baynes",3700,"PHO@BOS 12/02/2017 01:00PM ET",15.304,"BOS","PHO",12.39,0,11.75
"C","Tyler Zeller",3700,"ATL@BKN 12/02/2017 03:00PM ET",15.808,"BKN","ATL",14.05,0,16.25
"SF/PF","Sam Dekker",3700,"LAC@DAL 12/02/2017 02:00PM ET",7.529,"LAC","DAL",12.34,0,2.75
"PF","Jared Dudley",3600,"PHO@BOS 12/02/2017 01:00PM ET",11.969,"PHO","BOS",9.66,0,8.75
"PG/SG","Sean Kilpatrick",3600,"ATL@BKN 12/02/2017 03:00PM ET",9.321,"BKN","ATL",9.04,0,18.25
"PG/SG","Malcolm Delaney",3600,"ATL@BKN 12/02/2017 03:00PM ET",12.559,"ATL","BKN",0,0,0
"PF/C","Jarrett Allen",3600,"ATL@BKN 12/02/2017 03:00PM ET",12.173,"BKN","ATL",15.69,0,23
"PG/SG","Isaiah Whitehead",3500,"ATL@BKN 12/02/2017 03:00PM ET",12.607,"BKN","ATL",0,0,5.5
"C","Mike Muscala",3500,"ATL@BKN 12/02/2017 03:00PM ET",16.333,"ATL","BKN",0,0,0
"PF/C","Dragan Bender",3400,"PHO@BOS 12/02/2017 01:00PM ET",13.489,"PHO","BOS",10.09,0,11.75
"C","Miles Plumlee",3400,"ATL@BKN 12/02/2017 03:00PM ET",0.375,"ATL","BKN",8.99,0,22.25
"SG","Troy Daniels",3300,"PHO@BOS 12/02/2017 01:00PM ET",9.239,"PHO","BOS",6.47,0,5
"PG","Isaiah Taylor",3300,"ATL@BKN 12/02/2017 03:00PM ET",11.679,"ATL","BKN",10.09,0,20.5
"PF/C","Quincy Acy",3300,"ATL@BKN 12/02/2017 03:00PM ET",13.156,"BKN","ATL",0,0,5
"PF","Tyler Cavanaugh",3300,"ATL@BKN 12/02/2017 03:00PM ET",7.729,"ATL","BKN",10.28,0,16.75
"SG/SF","Semi Ojeleye",3200,"PHO@BOS 12/02/2017 01:00PM ET",6.318,"BOS","PHO",6.33,0,9.5
"PG","Shane Larkin",3200,"PHO@BOS 12/02/2017 01:00PM ET",5.809,"BOS","PHO",0,0,0
"C","Alan Williams",3200,"PHO@BOS 12/02/2017 01:00PM ET",0,"PHO","BOS",0,0,0
"C","Timofey Mozgov",3200,"ATL@BKN 12/02/2017 03:00PM ET",11.703,"BKN","ATL",0,0,0
"SG","Sindarius Thornwell",3200,"LAC@DAL 12/02/2017 02:00PM ET",8.275,"LAC","DAL",5.66,0,13
"PF","Maxi Kleber",3200,"LAC@DAL 12/02/2017 02:00PM ET",9.313,"DAL","LAC",11.69,0,14
"C","Nerlens Noel",3200,"LAC@DAL 12/02/2017 02:00PM ET",12.132,"DAL","LAC",0,0,0
"C","Salah Mejri",3100,"LAC@DAL 12/02/2017 02:00PM ET",14.015,"DAL","LAC",10.81,0,8
"SF","Derrick Jones",3000,"PHO@BOS 12/02/2017 01:00PM ET",4.417,"PHO","BOS",0,0,0
"PF","Abdel Nader",3000,"PHO@BOS 12/02/2017 01:00PM ET",3.432,"BOS","PHO",0,0,0
"PF/C","Guerschon Yabusele",3000,"PHO@BOS 12/02/2017 01:00PM ET",4.393,"BOS","PHO",0,0,0
"SG/SF","Davon Reed",3000,"PHO@BOS 12/02/2017 01:00PM ET",0,"PHO","BOS",0,0,0
"PG/SG","Brandon Knight",3000,"PHO@BOS 12/02/2017 01:00PM ET",0,"PHO","BOS",0,0,0
"PF","Alec Peters",3000,"PHO@BOS 12/02/2017 01:00PM ET",5.625,"PHO","BOS",0,0,0
"SG/SF","Gordon Hayward",3000,"PHO@BOS 12/02/2017 01:00PM ET",3.25,"BOS","PHO",0,0,0
"SG","Jabari Bird",3000,"PHO@BOS 12/02/2017 01:00PM ET",2.125,"BOS","PHO",0,0,0
"SG","Kadeem Allen",3000,"PHO@BOS 12/02/2017 01:00PM ET",0,"BOS","PHO",0,0,0
"PG","Josh Magette",3000,"ATL@BKN 12/02/2017 03:00PM ET",6.188,"ATL","BKN",0,0,0
"PG/SG","Tyler Dorsey",3000,"ATL@BKN 12/02/2017 03:00PM ET",3.714,"ATL","BKN",0,0,0
"SG","Nicolas Brussino",3000,"ATL@BKN 12/02/2017 03:00PM ET",1.25,"ATL","BKN",0,0,0
"PG/SG","Jeremy Lin",3000,"ATL@BKN 12/02/2017 03:00PM ET",23,"BKN","ATL",0,0,0
"PG","Jacob Wiley",3000,"ATL@BKN 12/02/2017 03:00PM ET",5.813,"BKN","ATL",0,0,0
