"Place_lo","Place_hi","Payout"
"1","1","15000"
"2","2","7000"
"3","3","3000"
"4","4","2000"
"5","5","1500"
"6","6","1000"
"7","7","800"
"8","10","600"
"11","13","400"
"14","16","300"
"17","20","200"
"21","25","150"
"26","35","100"
"36","50","80"
"51","75","60"
"76","125","50"
"126","200","40"
"201","300","35"
"301","500","30"
"501","800","25"
"801","1210","20"
"1211","1960","15"
"1961","3510","12"
