"Place_lo","Place_hi","Payout"
"1","1","25000"
"2","2","15000"
"3","3","10000"
"4","4","7000"
"5","5","5000"
"6","6","4000"
"7","7","3000"
"8","8","2000"
"9","10","1500"
"11","15","1000"
"16","20","700"
"21","30","500"
"31","40","400"
"41","60","350"
"61","95","300"
"96","135","275"
"136","195","250"
"196","275","225"
"276","400","200"
"401","580","175"
"581","850","150"
