"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Giannis Antetokounmpo","SF/PFSFPF","MIL","vs CHI","18th",110.25,11500,45.2,70.3,55.6,1.49,33.6,19.9,37.4,37.7,55.95,55.95,"%",87,4.9,36,45.25,3.9
"Victor Oladipo","PG/SGPGSG","IND","@ DET","4th",102.5,9400,30.1,71.4,43.3,1.27,31.1,18.6,34.2,37.08,47.83,47.83,"%",73,5.1,25,26.75,2.8
"Andre Drummond","C","DET","vs IND","18th",104.5,9300,27,65.7,43,1.35,21.4,10.2,31.9,32.06,43.6,43.6,"%",74,4.7,32,50,5.4
"DeMar DeRozan","SG/SFSGSF","TOR","@ DAL","12th",107.5,8800,24.6,60.5,39.9,1.18,30.7,17.6,33.8,35,39.97,39.97,"%",74,4.5,34,23.25,2.6
"Marc Gasol","C","MEM","@ PHX","24th",103,8700,26,60.4,40.1,1.16,28.3,15.6,34.5,34.98,40.72,40.72,"%",76,4.7,37,33.5,3.9
"Tyreke Evans","PG/SGPGSG","MEM","@ PHX","24th",103,8600,20.4,63.5,34.7,1.15,27.9,14.8,30.2,33.19,38.87,38.87,"%",65,4.5,36,43.25,5
"LaMarcus Aldridge","PF/CPFC","SAS","vs BKN","20th",109,8500,27.2,60.1,38.8,1.18,29.2,17.5,32.9,35,41.3,41.3,"%",76,4.9,34,39.75,4.7
"Khris Middleton","SG/SFSGSF","MIL","vs CHI","30th",110.25,8400,25.7,67.3,36.9,1,25.1,16.2,36.8,36.54,43.52,43.52,"%",68,5.2,39,26.25,3.1
"DeAndre Jordan","C","LAC","vs SAC","28th",105,8300,27.9,64.7,35.1,1.09,14,7.2,32.2,33.61,43.66,43.66,"%",70,5.3,26,35.75,4.3
"Kyle Lowry","PG","TOR","@ DAL","25th",107.5,8200,27.3,69.3,37.6,1.16,21.7,11.8,32.3,35.05,45.25,45.25,"%",68,5.5,34,45.5,5.5
"Devin Booker","SG/SFSGSF","PHX","vs MEM","19th",102,8000,13.8,60,38.3,1.14,29.6,18.8,33.6,28.84,33.6,33.6,"%",66,4.2,33,48.25,6
"Nikola Jokic","C","DEN","vs UTA","3rd",105,7900,19.5,66.5,39.5,1.35,23.2,12,29.2,35,39.62,39.62,"%",66,5,25,31.25,4
"Louis Williams","PG/SGPGSG","LAC","vs SAC","6th",105,7600,19.3,63.2,33.3,1.08,29.3,15.4,30.7,35.1,38.12,38.12,"%",62,5,26,31.25,4.1
"Eric Bledsoe","PG/SGPGSG","MIL","vs CHI","27th",110.25,7500,22.7,57.9,33.5,1.08,27.9,14.1,31,31.97,37.76,37.76,"%",70,5,29,39.25,5.2
"Donovan Mitchell","PG/SGPGSG","UTA","@ DEN","10th",100,7300,19.7,60.2,30.5,1.02,29,15.5,29.8,36.08,37.05,37.05,"%",62,5.1,32,27.25,3.7
"Jonathon Simmons","SG/SFSGSF","ORL","@ MIA","18th",98.25,7100,14.8,48.7,24.6,0.87,25,12.1,28.2,35,29.33,29.33,"%",61,4.1,31,7,1
"Hassan Whiteside","C","MIA","vs ORL","20th",106.25,7100,15.1,58.5,37,1.4,24,10.7,26.4,23.8,33.7,33.7,"%",66,4.7,17,18.5,2.6
"Kris Dunn","PG/SGPGSG","CHI","@ MIL","4th",103.25,7000,18.2,55.6,30.6,1.1,25.8,12.5,27.9,31.98,34.22,34.22,"%",65,4.9,33,52,7.4
"T.J. Warren","SF/PFSFPF","PHX","vs MEM","12th",102,6900,11.6,53.4,31.2,1,26.7,16.2,31.3,33.43,29.49,29.49,"%",62,4.3,29,17,2.5
"Josh Richardson","SG/SFSGSF","MIA","vs ORL","17th",106.25,6800,15.7,53.2,23.1,0.71,18,10.2,32.7,36.54,31.79,31.79,"%",54,4.7,36,37.75,5.6
"Myles Turner","C","IND","@ DET","12th",102.5,6700,16.6,51.7,31.6,1.06,21,11.1,29.9,32.14,31.63,31.63,"%",68,4.7,23,17.75,2.6
"Goran Dragic","PG","MIA","vs ORL","29th",106.25,6600,19.7,47.3,29.6,0.96,26.2,13.7,30.9,30.32,31.53,31.53,"%",73,4.8,29,30,4.5
