"Place_lo","Place_hi","Payout"
"1","1","15000"
"2","2","10000"
"3","3","5000"
"4","4","4000"
"5","5","3000"
"6","6","2000"
"7","8","1000"
"9","11","750"
"12","15","600"
"16","20","500"
"21","25","400"
"26","35","300"
"36","55","250"
"56","85","200"
"86","135","150"
"136","210","100"
"211","310","80"
"311","470","70"
"471","770","60"
"771","1200","55"
