"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","20000"
"3","3","10000"
"4","4","5000"
"5","5","3000"
"6","6","2500"
"7","7","2000"
"8","8","1500"
"9","10","1000"
"11","12","700"
"13","14","500"
"15","19","400"
"20","25","300"
"26","35","200"
"36","50","150"
"51","70","100"
"71","110","80"
"111","160","70"
"161","240","60"
"241","370","50"
"371","570","40"
"571","970","35"
"971","1470","30"
"1471","2220","25"
"2221","3520","20"
"3521","5920","15"
"5921","10570","12"
