"Kevin Durant_GS","Stephen Curry_GS","Damian Lillard_POR","Draymond Green_GS","Nikola Jokic_DEN","Klay Thompson_GS","Lonzo Ball_LAL","CJ McCollum_POR","Brandon Ingram_LAL","Paul Millsap_DEN","Jusuf Nurkic_POR","Kyle Kuzma_LAL","Gary Harris_DEN","Will Barton_DEN","Kentavious Caldwell-Pope_LAL","Jamal Murray_DEN","Julius Randle_LAL","Larry Nance_LAL","Jordan Clarkson_LAL","Omri Casspi_GS","Al-Farouq Aminu_POR","Trey Lyles_DEN","Wilson Chandler_DEN","Brook Lopez_LAL","Jordan Bell_GS","Mason Plumlee_DEN","Shabazz Napier_POR","Andre Iguodala_GS","Josh Hart_LAL","Evan Turner_POR","Ed Davis_POR","Emmanuel Mudiay_DEN","Patrick McCaw_GS","Torrey Craig_DEN","Shaun Livingston_GS","Corey Brewer_LAL","Kenneth Faried_DEN","David West_GS","Kevon Looney_GS","Maurice Harkless_POR","Zach Collins_POR","Zaza Pachulia_GS","Nick Young_GS","Pat Connaughton_POR","Juancho Hernangomez_DEN","JaVale McGee_GS","Ivica Zubac_LAL","Meyers Leonard_POR","Noah Vonleh_POR","Malik Beasley_DEN","Caleb Swanigan_POR","Quinn Cook_GS","Luol Deng_LAL","Andrew Bogut_LAL","Vander Blue_LAL","Alex Caruso_LAL","Damian Jones_GS","Tyler Ennis_LAL","Thomas Bryant_LAL","Chris Boucher_GS","Richard Jefferson_DEN","Darrell Arthur_DEN","CJ Wilcox_POR","Jake Layman_POR","Monte Morris_DEN","Wade Baldwin IV_POR","Tyler Lydon_DEN"
0,0,0,0,-176.064732142857,0,0,0,0,0,0,0,236.079241071429,-16.8080357142857,0,-5.35491071428571,0,0,0,0,0,40.3113839285714,-19.046875,0,0,-57.734375,0,0,0,0,0,57.7310267857143,0,-94.1964285714286,0,0,106.375,0,0,0,0,0,0,0,0,0,0,0,0,26.6819196428571,0,0,0,0,0,0,0,0,0,0,3.4140625,3.78348214285714,0,0,0,0,0
0,0,0,0,-14.5803571428571,0,0,0,0,0,0,0,-16.8080357142857,271.392857142857,0,-129.035714285714,0,0,0,0,0,30.9866071428571,-81.5982142857143,0,0,-9.75,0,0,0,0,0,33.3616071428571,0,-12.5,0,0,74.2232142857143,0,0,0,0,0,0,0,0,0,0,0,0,-46.3080357142857,0,0,0,0,0,0,0,0,0,0,22.84375,1.47321428571429,0,0,0,0,0
0,0,0,0,0,0,-75.1145833333333,0,-82.39375,0,0,-200.670833333333,0,0,416.210416666667,0,42.0583333333333,-38.8958333333333,175.435416666667,0,0,0,0,62.7083333333333,0,0,0,0,-218.875,0,0,0,0,0,0,-115.316666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.89375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-71.3348214285714,0,0,0,0,0,0,0,-5.35491071428571,-129.035714285714,0,234.941964285714,0,0,0,0,0,22.2254464285714,128.629464285714,0,0,134.174107142857,0,0,0,0,0,-67.2209821428571,0,34.1071428571429,0,0,-82.5982142857143,0,0,0,0,0,0,0,0,0,0,0,0,15.1272321428571,0,0,0,0,0,0,0,0,0,0,-3.453125,7.96875,0,0,0,0,0
0,0,0,0,0,0,5.90833333333333,0,32.1125,0,0,-129.479166666667,0,0,42.0583333333333,0,68.7916666666667,-44.0291666666667,57.1208333333333,0,0,0,0,55.8041666666667,0,0,0,0,-25.4875,0,0,0,0,0,0,-103.095833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.8625,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.46666666666667,0,35.725,0,0,43.8541666666667,0,0,-38.8958333333333,0,-44.0291666666667,69.1666666666667,-19.0583333333333,0,0,0,0,-74.7416666666667,0,0,0,0,29.9625,0,0,0,0,0,0,83.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-39.6770833333333,0,30.65625,0,0,-195.295833333333,0,0,175.435416666667,0,57.1208333333333,-19.0583333333333,126.635416666667,0,0,0,0,21.0958333333333,0,0,0,0,-90.975,0,0,0,0,0,0,-81.0041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.64375,0,0,0,0,0,0,0,0,0,0,0,0,0
67.3675595238095,-211.24255952381,0,-225.922619047619,0,23.4389880952381,0,0,0,0,0,0,0,0,0,0,0,0,0,168.809523809524,0,0,0,0,85.2127976190476,0,0,-27.9598214285714,0,0,0,0,44.7410714285714,0,15.9732142857143,0,0,59.8601190476191,-16.6235119047619,0,0,-53.2723214285714,-37.0520833333333,0,0,-15.922619047619,0,0,0,0,0,26.7321428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-47.1583333333333,0,0,0,0,23.7875,0,0,-72.4166666666667,0,0,0,0,0,0,0,0,0,113.466666666667,0,0,0,0,0,-11.9791666666667,0,0,-11.3833333333333,30.2875,0,0,0,0,0,0,0,0,17.2625,13.5958333333333,0,0,-33.4916666666667,0,0,0,-39.1541666666667,-45.9166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-70.7611607142857,0,0,0,0,0,0,0,40.3113839285714,30.9866071428571,0,22.2254464285714,0,0,0,0,0,50.8113839285714,20.7388392857143,0,0,12.4441964285714,0,0,0,0,0,25.0970982142857,0,-12.0535714285714,0,0,-4.47321428571429,0,0,0,0,0,0,0,0,0,0,0,0,13.3426339285714,0,0,0,0,0,0,0,0,0,0,2.19084821428571,3.78348214285714,0,0,0,0,0
