Contest_Date,Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,FPPM,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exposure,Con.,Value,Mins,Score,Val
20171129,Kyle Kuzma,SF/PFSFPF,LAL,vs GSW,30th,108.0,6000,21.8,50.1,28.0,0.91,21.7,12.8,30.7,29.57,33.92,33.92,%,71,5.7,,,
20171129,Darren Collison,PG,IND,@ HOU,5th,106.5,6000,9.4,50.1,28.8,0.92,17.0,9.5,31.3,31.46,26.84,26.84,%,60,4.5,32.0,21.5,3.6
20171129,Elfrid Payton,PG,ORL,vs OKC,1st,103.25,5900,9.8,50.3,27.4,1.08,22.3,9.1,25.4,29.07,27.18,27.18,%,58,4.6,30.0,43.25,7.3
20171129,Reggie Jackson,PG,DET,vs PHX,28th,113.25,5900,24.5,50.3,29.2,1.06,25.0,12.1,27.5,30.46,35.55,35.55,%,75,6.0,21.0,34.75,5.9
20171129,Taj Gibson,PF/CPFC,MIN,@ NOP,30th,105.25,5900,16.9,49.8,26.2,0.82,14.2,8.2,31.8,34.75,31.0,31.0,%,64,5.3,37.0,31.0,5.3
20171129,Nicolas Batum,SG/SFSGSF,CHA,@ TOR,6th,98.75,5800,12.0,49.1,22.1,0.89,20.2,9.7,24.8,30.4,27.88,27.88,%,52,4.8,32.0,19.75,3.4
20171129,DeMarre Carroll,SF/PFSFPF,BKN,@ DAL,11th,102.5,5800,18.2,44.2,28.5,0.99,19.4,10.2,28.8,33.7,29.35,29.35,%,74,5.1,33.0,33.25,5.7
20171129,Kentavious Caldwell-Pope,SG,LAL,vs GSW,17th,108.0,5800,19.6,49.1,28.4,0.83,17.9,11.5,34.1,36.62,32.23,32.23,%,70,5.6,41.0,31.75,5.5
20171129,Enes Kanter,PF/CPFC,NYK,vs MIA,16th,103.75,5800,15.7,47.2,30.4,1.19,20.5,9.4,25.5,25.5,29.2,29.2,%,70,5.0,25.0,44.0,7.6
20171129,Dennis Smith Jr.,PG/SGPGSG,DAL,vs BKN,30th,107.5,5600,18.7,50.8,27.6,0.99,30.1,14.9,27.9,26.74,32.49,32.49,%,67,5.8,25.0,16.0,2.9
20171129,Thaddeus Young,SF/PFSFPF,IND,@ HOU,2nd,106.5,5600,13.5,40.5,27.6,0.84,18.1,11.9,32.8,32.5,25.09,25.09,%,72,4.5,31.0,30.5,5.4
20171129,Evan Fournier,SG/SFSGSF,ORL,vs OKC,9th,103.25,5600,11.5,44.4,29.5,0.94,23.8,13.9,31.4,33.29,25.63,25.63,%,68,4.6,32.0,23.75,4.2
20171129,Domantas Sabonis,PF/CPFC,IND,@ HOU,2nd,106.5,5500,13.5,43.2,28.8,1.13,22.2,8.7,25.4,26.93,26.2,26.2,%,70,4.8,19.0,14.25,2.6
20171129,Steven Adams,C,OKC,@ ORL,23rd,109.25,5500,14.9,48.1,28.5,0.93,16.1,8.3,30.8,31.8,29.13,29.13,%,67,5.3,28.0,20.0,3.6
20171129,Jeremy Lamb,SG/SFSGSF,CHA,@ TOR,6th,98.75,5500,19.8,48.8,30.4,1.07,24.5,12.4,28.5,27.71,32.2,32.2,%,73,5.9,28.0,30.75,5.6
20171129,Larry Nance Jr.,SF/PFSFPF,LAL,vs GSW,30th,108.0,5400,30.6,62.5,25.7,1.1,17.5,7.1,23.3,32.6,44.27,44.27,%,65,8.2,22.0,22.5,4.2
20171129,Kyle Anderson,PG/SFPGSF,SAS,vs MEM,17th,101.5,5300,15.3,41.6,25.4,0.93,15.3,7.1,27.3,30.17,26.58,26.58,%,70,5.0,29.0,25.5,4.8
20171129,J.J. Redick,SG/SFSGSF,PHI,vs WAS,12th,109.75,5200,14.7,45.2,26.8,0.82,19.2,13.1,32.7,33.55,27.78,27.78,%,68,5.3,30.0,15.5,3.0
20171129,Marcin Gortat,C,WAS,@ PHI,12th,103.75,5200,13.0,44.8,25.9,0.87,15.1,7.7,29.7,31.91,26.61,26.61,%,65,5.1,20.0,12.0,2.3
20171129,Brook Lopez,C,LAL,vs GSW,10th,108.0,5200,2.4,46.2,26.6,1.15,25.8,11.6,23.1,19.83,21.18,21.18,%,53,4.1,16.0,11.75,2.3
20171129,Julius Randle,PF/CPFC,LAL,vs GSW,13th,108.0,5100,19.5,45.9,24.8,1.16,25.0,8.5,21.3,26.7,30.81,30.81,%,70,6.0,31.0,29.5,5.8
20171129,Trevor Ariza,SG/SFSGSF,HOU,vs IND,1st,117.5,5100,9.0,33.6,24.9,0.73,14.0,9.5,34.0,29.9,19.55,19.55,%,72,3.8,26.0,24.5,4.8
