Contest_Date,Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
2017-11-27,Tim Hardaway Jr.,5.0,,SG/SF,6700,NYK,POR,1,,23.0,17.0,99,100,3%,14,16,15,38,34,35,36.4,33.4,18.4,48.4,35.0,32.9,4.9,38.1,25.5,3.8
2017-11-27,DeAndre Jordan,11.0,,C,6700,LAC,LAL,1,102.0,12.0,19.0,106,101,1%,5,7,7,33,34,33,36.8,32.3,21.0,43.6,34.0,37.5,5.6,30.9,19.8,3.0
2017-11-27,Isaiah Thomas,,O,PG,6600,CLE,@PHI,2,109.0,,,105,102,3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Myles Turner,3.0,,C,6600,IND,ORL,1,,20.0,18.0,103,107,2%,8,11,11,26,28,29,28.6,30.8,20.2,41.3,32.0,35.7,5.4,30.3,27.5,4.2
2017-11-27,Robert Covington,7.0,,SF/PF,6500,PHI,CLE,1,109.0,18.0,17.0,101,109,9%,9,10,11,31,32,32,30.0,32.8,23.7,41.9,33.5,32.1,4.9,27.4,13.5,2.1
2017-11-27,Lou Williams,22.0,,PG/SG,6500,LAC,LAL,1,102.0,27.0,19.0,106,101,4%,15,14,13,37,33,28,30.2,28.8,16.8,40.8,36.5,38.6,5.9,37.9,53.5,8.2
2017-11-27,Elfrid Payton,2.0,,PG,6400,ORL,@IND,1,,23.0,16.0,101,106,-1%,13,10,9,26,27,26,30.3,27.5,14.8,40.2,30.5,32.9,5.1,26.3,26.8,4.2
2017-11-27,Jaylen Brown,1.0,,SG/SF,6300,BOS,DET,1,114.0,20.0,15.0,98,104,-11%,12,14,13,29,33,33,32.0,28.6,21.7,35.5,31.5,26.5,4.2,32.6,18.5,2.9
2017-11-27,Rondae Hollis-Jefferson,,O,SF/PF,6200,BKN,@HOU,0,111.0,20.0,19.0,102,102,3%,12,12,10,27,29,28,29.1,27.7,18.1,37.4,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Brandon Ingram,6.0,,SG/SF,6100,LAL,@LAC,4,109.0,20.0,12.0,99,106,1%,11,14,13,36,35,35,35.8,30.5,21.6,39.5,35.5,29.2,4.8,22.3,24.8,4.1
2017-11-27,Tobias Harris,1.0,,SF/PF,6100,DET,@BOS,2,104.0,22.0,18.0,99,97,-12%,13,14,16,31,33,34,27.1,31.3,21.6,41.0,33.5,29.3,4.8,34.9,43.5,7.1
2017-11-27,Darren Collison,8.0,,PG,6100,IND,ORL,1,,18.0,18.0,103,107,8%,11,10,10,34,33,33,31.3,30.0,18.0,41.9,31.5,29.5,4.8,27.9,18.5,3.0
2017-11-27,Pau Gasol,3.0,,PF/C,6000,SAS,DAL,1,,20.0,21.0,98,106,0%,13,9,8,25,25,25,29.9,29.4,20.8,38.1,26.0,29.3,4.9,34.9,42.0,7.0
2017-11-27,Thaddeus Young,2.0,,SF/PF,6000,IND,ORL,1,,17.0,15.0,103,107,2%,12,12,12,35,34,34,31.8,28.9,22.0,35.9,34.5,30.1,5.0,29.8,19.8,3.3
2017-11-27,Enes Kanter,,O,PF/C,5900,NYK,POR,1,,19.0,24.0,99,100,-12%,7,9,9,32,29,26,31.2,30.4,21.2,39.7,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Evan Fournier,1.0,,SG/SF,5900,ORL,@IND,1,,22.0,18.0,101,106,-13%,11,13,14,33,32,33,23.5,30.5,21.0,40.0,33.0,28.0,4.7,36.4,21.0,3.6
2017-11-27,Jayson Tatum,1.0,,SF/PF,5800,BOS,DET,1,114.0,17.0,17.0,98,104,8%,9,10,10,30,32,31,27.6,27.2,19.3,35.0,31.5,26.0,4.5,34.7,22.3,3.8
2017-11-27,DeMarre Carroll,1.0,O,SF/PF,5700,BKN,@HOU,0,111.0,18.0,15.0,102,102,3%,10,10,11,30,31,30,30.3,29.2,21.8,36.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Danilo Gallinari,,O,SF,5700,LAC,LAL,1,102.0,20.0,11.0,106,101,-1%,10,13,13,31,35,34,26.3,26.9,23.7,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Avery Bradley,4.0,,PG/SG,5700,DET,@BOS,2,104.0,25.0,14.0,99,97,-14%,11,13,15,29,32,32,25.3,26.7,18.7,34.7,33.0,26.5,4.6,37.6,24.5,4.3
2017-11-27,Domantas Sabonis,3.0,,PF/C,5600,IND,ORL,1,,21.0,20.0,103,107,2%,12,10,9,29,24,26,24.6,28.4,19.6,37.3,25.0,27.0,4.8,26.7,36.0,6.4
2017-11-27,Reggie Jackson,1.0,,PG,5600,DET,@BOS,2,104.0,26.0,19.0,99,97,-10%,8,11,13,25,27,28,25.5,30.2,24.1,36.3,28.5,27.0,4.8,28.4,33.0,5.9
2017-11-27,Brook Lopez,0.0,,C,5500,LAL,@LAC,4,109.0,24.0,18.0,99,106,3%,8,11,12,21,22,24,24.9,27.4,14.7,40.1,21.5,24.0,4.4,16.1,11.8,2.1
2017-11-27,Harrison Barnes,8.0,,SF/PF,5500,DAL,@SAS,1,107.0,24.0,16.0,97,101,-4%,16,16,16,34,35,35,33.6,32.4,24.6,40.3,36.0,30.1,5.5,35.7,28.5,5.2
2017-11-27,Zach Randolph,6.0,,PF/C,5400,SAC,@GSW,1,94.0,25.0,18.0,105,100,2%,15,11,12,30,25,25,27.6,25.3,14.7,35.9,26.5,26.2,4.9,21.8,23.0,4.3
2017-11-27,Larry Nance Jr.,,,SF/PF,5400,LAL,@LAC,4,109.0,17.0,19.0,99,106,7%,7,6,7,23,24,23,26.1,25.3,15.0,35.5,21.5,19.7,3.6,29.7,29.0,5.4
2017-11-27,Dwyane Wade,2.0,,PG/SG,5400,CLE,@PHI,2,109.0,24.0,14.0,105,102,5%,12,11,10,26,26,23,29.2,23.3,11.3,35.4,22.5,23.9,4.4,24.7,31.0,5.7
2017-11-27,Julius Randle,4.0,,PF/C,5300,LAL,@LAC,4,109.0,23.0,18.0,99,106,7%,10,12,9,29,27,22,28.4,25.2,17.5,32.9,21.5,23.5,4.4,24.1,16.8,3.2
2017-11-27,Kentavious Caldwell-Pope,9.0,,SG,5300,LAL,@LAC,4,109.0,16.0,12.0,99,106,5%,12,11,11,37,38,34,33.5,27.4,19.7,35.2,35.5,26.1,4.9,37.3,46.0,8.7
2017-11-27,Marcus Smart,2.0,,SG/SF,5300,BOS,DET,1,114.0,20.0,10.0,98,104,-2%,8,9,10,30,31,31,24.6,25.7,17.8,33.5,31.0,26.0,4.9,31.5,37.3,7.0
2017-11-27,Dario Saric,1.0,,PF/C,5200,PHI,CLE,1,109.0,17.0,11.0,101,109,3%,12,11,10,30,31,28,28.1,22.4,12.3,32.5,27.0,23.0,4.4,30.3,22.0,4.2
2017-11-27,Eric Gordon,2.0,,SG,5200,HOU,BKN,1,,26.0,16.0,107,108,6%,12,12,16,27,29,32,20.9,29.5,20.5,38.5,26.5,24.8,4.8,28.6,18.5,3.6
2017-11-27,Trevor Ariza,4.0,,SG/SF,5200,HOU,BKN,1,,13.0,13.0,107,108,-2%,13,10,10,33,34,35,27.9,25.3,17.9,32.6,31.5,25.7,4.9,28.9,19.5,3.8
2017-11-27,J.J. Redick,12.0,,SG/SF,5100,PHI,CLE,1,109.0,19.0,14.0,101,109,9%,14,14,13,32,34,34,29.6,28.0,19.2,36.9,32.5,27.5,5.4,36.5,19.5,3.8
2017-11-27,Willie Cauley-Stein,7.0,,PF/C,5100,SAC,@GSW,1,94.0,19.0,17.0,105,100,5%,12,12,9,29,29,25,30.9,23.7,13.3,34.1,27.0,25.6,5.0,29.3,43.0,8.4
2017-11-27,Kyle Anderson,4.0,,PG/SF,5100,SAS,DAL,1,,15.0,18.0,98,106,9%,9,8,7,28,29,28,28.2,24.9,17.4,32.4,31.0,26.7,5.2,34.0,36.0,7.1
2017-11-27,Patrick Beverley,,O,PG/SG,5000,LAC,LAL,1,102.0,20.0,13.0,106,101,7%,10,11,11,26,29,30,24.1,26.0,18.5,33.4,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Rudy Gay,,O,SF/PF,5000,SAS,DAL,1,,25.0,18.0,98,106,9%,12,9,10,25,21,23,21.3,24.2,16.8,31.6,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Dennis Smith Jr.,1.0,,PG/SG,5000,DAL,@SAS,1,107.0,29.0,11.0,97,101,-18%,17,14,15,28,26,29,23.0,29.0,20.8,37.1,29.0,26.6,5.3,28.3,27.3,5.5
2017-11-27,Austin Rivers,7.0,,PG/SG,4900,LAC,LAL,1,102.0,20.0,10.0,106,101,7%,13,13,12,37,35,34,23.9,23.4,15.2,31.6,35.5,26.8,5.5,37.5,39.0,8.0
2017-11-27,Allen Crabbe,,O,SG/SF,4900,BKN,@HOU,0,111.0,17.0,13.0,102,102,8%,13,14,10,31,32,27,28.2,22.1,12.5,31.8,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Jordan Clarkson,1.0,,PG/SG,4800,LAL,@LAC,4,109.0,28.0,19.0,99,106,-5%,12,12,12,21,23,22,21.9,23.3,14.5,32.2,23.5,22.2,4.6,25.5,34.0,7.1
2017-11-27,Marcus Morris,1.0,,SF/PF,4800,BOS,DET,1,114.0,23.0,17.0,98,104,-2%,11,10,11,24,25,24,23.9,24.6,19.2,29.9,25.0,21.6,4.5,22.5,23.5,4.9
2017-11-27,Bojan Bogdanovic,6.0,,SG/SF,4800,IND,ORL,1,,17.0,15.0,103,107,9%,14,14,11,35,35,31,26.6,23.5,14.0,33.0,32.5,24.5,5.1,37.2,26.3,5.5
2017-11-27,Courtney Lee,3.0,,SG/SF,4700,NYK,POR,1,,16.0,15.0,99,100,-7%,13,10,10,35,33,33,29.7,25.6,18.2,33.0,35.0,25.5,5.4,35.6,19.0,4.0
2017-11-27,T.J. McConnell,2.0,,PG,4700,PHI,CLE,1,109.0,16.0,14.0,101,109,11%,10,7,6,32,28,25,26.1,22.3,10.7,33.8,25.0,23.0,4.9,27.6,23.5,5.0
2017-11-27,Ryan Anderson,3.0,,PF/C,4700,HOU,BKN,1,,14.0,14.0,107,108,8%,10,9,9,28,29,31,23.4,22.8,15.3,30.3,25.5,20.3,4.3,26.1,18.0,3.8
2017-11-27,Al-Farouq Aminu,,O,SF/PF,4600,POR,@NYK,1,108.0,13.0,16.0,99,106,-11%,7,7,8,33,31,30,25.6,27.0,16.9,37.2,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,De'Aaron Fox,5.0,,PG,4600,SAC,@GSW,1,94.0,24.0,11.0,105,100,-4%,10,9,11,26,28,27,20.9,23.1,16.9,29.4,28.0,22.8,5.0,23.1,20.0,4.3
2017-11-27,Trevor Booker,14.0,,PF/C,4600,BKN,@HOU,0,111.0,21.0,16.0,102,102,-12%,10,10,9,25,25,23,27.3,24.7,16.4,33.0,31.0,31.0,6.7,20.3,19.3,4.2
2017-11-27,Buddy Hield,1.0,,SG/SF,4500,SAC,@GSW,1,94.0,24.0,17.0,105,100,-4%,13,10,11,21,21,23,22.0,23.0,12.8,33.2,25.0,21.9,4.9,15.2,6.8,1.5
2017-11-27,Danny Green,0.0,,SG/SF,4400,SAS,DAL,1,,18.0,12.0,98,106,-2%,12,10,10,30,31,30,25.5,24.4,14.6,34.2,30.0,22.8,5.2,33.8,32.8,7.5
2017-11-27,Terry Rozier,,,PG/SG,4400,BOS,DET,1,114.0,19.0,15.0,98,104,-2%,10,8,9,25,23,24,23.0,22.5,13.3,31.7,20.0,16.1,3.7,19.3,5.0,1.1
2017-11-27,Wesley Johnson,7.0,,SF/PF,4400,LAC,LAL,1,102.0,13.0,13.0,106,101,-1%,8,9,6,38,35,25,29.4,18.4,8.7,28.1,33.0,24.6,5.6,29.0,9.3,2.1
2017-11-27,Caris LeVert,12.0,,SG/SF,4300,BKN,@HOU,0,111.0,21.0,11.0,102,102,8%,8,9,9,28,24,26,24.1,22.2,16.8,27.7,33.5,29.7,6.9,29.0,27.5,6.4
2017-11-27,Dirk Nowitzki,1.0,,PF/C,4300,DAL,@SAS,1,107.0,19.0,15.0,97,101,-5%,11,11,10,25,26,25,30.4,23.2,15.0,31.3,25.5,22.5,5.2,25.6,19.0,4.4
2017-11-27,Patty Mills,,,PG,4300,SAS,DAL,1,,18.0,11.0,98,106,7%,6,8,9,24,29,26,21.9,19.4,10.9,27.9,23.5,19.2,4.5,28.4,22.0,5.1
2017-11-27,Jonathon Simmons,1.0,,SG/SF,4200,ORL,@IND,1,,23.0,15.0,101,106,-13%,13,9,10,24,23,25,15.7,21.6,13.3,29.9,28.0,21.6,5.1,34.4,26.8,6.4
2017-11-27,George Hill,,,PG/SG,4200,SAC,@GSW,1,94.0,17.0,12.0,105,100,-4%,5,8,8,23,27,26,20.9,18.8,10.4,27.2,25.0,19.2,4.6,30.7,21.5,5.1
2017-11-27,Dejounte Murray,,,PG,4100,SAS,DAL,1,,21.0,13.0,98,106,7%,8,5,7,24,19,22,14.3,20.4,10.4,30.4,0.0,0.0,0.0,5.5,5.3,1.3
2017-11-27,Lance Stephenson,10.0,,SG/SF,4100,IND,ORL,1,,19.0,11.0,103,107,11%,9,6,7,29,24,21,23.6,18.2,10.1,26.4,22.5,19.8,4.8,24.0,38.5,9.4
2017-11-27,J.R. Smith,2.0,,SG/SF,4100,CLE,@PHI,2,109.0,13.0,7.0,105,102,5%,9,8,8,35,33,30,17.8,17.0,9.6,24.4,32.5,19.4,4.7,27.8,17.8,4.3
2017-11-27,Evan Turner,1.0,,SG/SF,4000,POR,@NYK,1,108.0,17.0,8.0,99,106,3%,10,7,8,21,23,27,12.8,18.2,10.0,26.4,22.5,15.2,3.8,20.4,19.3,4.8
2017-11-27,Wesley Matthews,1.0,,SG/SF,4000,DAL,@SAS,1,107.0,16.0,10.0,97,101,0%,9,11,11,35,36,36,25.9,24.0,13.2,34.9,35.5,22.2,5.5,32.5,26.0,6.5
2017-11-27,Kyle O'Quinn,7.0,,PF/C,4000,NYK,POR,1,,19.0,18.0,99,100,-12%,6,5,5,25,18,17,20.3,19.6,7.7,31.4,24.5,27.3,6.8,24.9,25.8,6.5
2017-11-27,Derrick Rose,,O,PG,4000,CLE,@PHI,2,109.0,25.0,12.0,105,102,3%,11,13,12,23,27,27,19.5,19.8,15.2,24.3,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Terrence Ross,,,SG/SF,4000,ORL,@IND,1,,15.0,11.0,101,106,0%,3,6,8,25,26,27,18.7,18.9,10.3,27.5,25.5,17.8,4.5,25.4,21.8,5.5
2017-11-27,Milos Teodosic,,O,PG/SG,4000,LAC,LAL,1,102.0,,,106,101,7%,6,6,6,16,16,16,13.1,13.1,5.9,20.4,0.0,0.0,0.0,0.0,0.0,0.0
