"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Kevin Durant","SF/PFSFPF","GSW","vs LAL","23rd",113.5,11600,37.2,76.5,49,1.43,31.4,19,34.2,35.6,54.01,54.01,"%",77,4.7,37,65.25,5.6
"James Harden","PG/SGPGSG","HOU","vs LAC","27th",116.5,11500,47.5,88.5,57.1,1.61,36.5,21.1,35.5,37.43,65.05,65.05,"%",80,5.7,41,73,6.3
"Russell Westbrook","PG","OKC","vs ATL","23rd",107.25,11400,41.6,82.5,54.8,1.54,34,20.5,35.7,36.11,59.15,59.15,"%",79,5.2,35,67.75,5.9
"Giannis Antetokounmpo","SF/PFSFPF","MIL","vs CHA","25th",107.25,11300,47.5,72,56,1.49,33.7,19.9,37.5,38,58.03,58.03,"%",88,5.1,36,44.75,4
"DeMarcus Cousins","PF/CPFC","NOP","@ ORL","21st",112.5,11100,32.4,75.6,54.8,1.57,34.4,19,35,33.99,50.92,50.92,"%",77,4.6,32,54.25,4.9
"Anthony Davis","PF/CPFC","NOP","@ ORL","23rd",112.5,10500,28.6,81.9,48.8,1.39,27.3,16.4,35,37.62,51.43,51.43,"%",69,4.9,30,39.25,3.7
"Nikola Vucevic","C","ORL","vs NOP","23rd",106.5,8900,28.1,76,40.1,1.33,25.4,15.1,30.2,33.22,48.63,48.63,"%",66,5.5,27,36.5,4.1
"John Wall","PG","WAS","@ BKN","30th",108.75,8700,32.8,64.1,41.3,1.24,28.5,16,33.3,31.3,46.2,46.2,"%",78,5.3,16,19,2.2
"Andre Drummond","C","DET","vs NYK","5th",104.25,8600,20.9,60.2,42.9,1.34,21,10,32.1,32.3,37.73,37.73,"%",74,4.4,26,44.75,5.2
"Kristaps Porzingis","PF/CPFC","NYK","@ DET","14th",98.25,8400,16.7,71.6,39.7,1.28,35.4,19.2,31.1,32.98,40.2,40.2,"%",61,4.8,38,47.25,5.6
